,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
0,1.88,0.12,1,1,2,0,1,0,0.538,0.88,-0.46199999999999997,1,1
1,1.14,0.86,1,1,2,0,1,0,0.53,0.14,-0.47,1,1
2,1.84,0.16,0,0,0,0,0,0,0.498,0.84,0.498,0,0
3,1.83,0.17,1,1,2,0,1,0,0.512,0.83,-0.488,1,1
4,1.08,0.92,0,0,0,0,0,0,0.508,0.08,0.508,0,0
5,1.49,0.51,1,1,2,0,1,0,0.486,0.49,-0.514,1,1
6,1.62,0.38,0,0,0,0,0,0,0.518,0.62,0.518,0,0
7,1.38,0.62,0,0,0,0,0,0,0.502,0.38,0.502,0,0
8,1.63,0.37,1,1,2,0,1,0,0.524,0.63,-0.476,1,1
9,1.21,0.79,0,0,0,0,0,0,0.488,0.21,0.488,0,0
10,1.84,0.16,1,1,2,0,1,0,0.472,0.84,-0.528,1,1
11,1.12,0.88,1,1,2,0,1,0,0.504,0.12,-0.496,1,1
12,1.41,0.59,0,0,0,0,0,0,0.502,0.41,0.502,0,0
13,1.17,0.83,1,1,2,0,1,0,0.522,0.17,-0.478,1,1
14,1.37,0.63,0,0,0,0,0,0,0.448,0.37,0.448,0,0
15,1.07,0.93,0,0,0,0,0,0,0.488,0.07,0.488,0,0
16,1.59,0.41,0,0,0,0,0,0,0.53,0.59,0.53,0,0
17,1.64,0.36,0,0,0,0,0,0,0.494,0.64,0.494,0,0
18,1.11,0.89,1,1,2,0,1,0,0.48,0.11,-0.52,1,1
19,1.95,0.05,1,1,2,0,1,0,0.512,0.95,-0.488,1,1
20,1.05,0.95,1,1,2,0,1,0,0.52,0.05,-0.48,1,1
21,1.6,0.4,1,1,2,0,1,0,0.494,0.6,-0.506,1,1
22,1.08,0.92,0,0,0,0,0,0,0.484,0.08,0.484,0,0
23,1.75,0.25,1,1,2,0,1,0,0.496,0.75,-0.504,1,1
24,1.64,0.36,1,1,2,0,1,0,0.504,0.64,-0.496,1,1
