,G,M,n,p,post,pre,x
0,True,18,16,0.29,11,11.58,11
1,True,16,4,0.28,16,19.36,16
2,True,20,14,0.71,2,6.26,2
3,True,11,1,0.55,3,8.5,3
4,True,13,0,0.53,0,6.890000000000001,0
5,True,19,4,0.92,13,26.8,13
6,True,12,5,0.12,6,6.84,6
7,True,15,4,0.94,14,24.34,14
8,True,12,5,0.72,9,14.040000000000001,9
9,True,17,8,0.7,4,10.299999999999999,4
10,True,18,4,0.2,18,20.8,18
11,True,18,10,0.93,14,21.44,14
12,True,15,13,0.47,3,3.9400000000000004,3
13,True,18,1,0.51,3,11.67,3
14,True,16,7,0.65,15,20.85,15
15,True,18,15,0.34,3,4.02,3
16,True,18,1,0.11,7,8.87,7
17,True,15,6,0.35,2,5.15,2
18,True,17,1,0.25,9,13.0,9
19,True,10,6,0.31,14,15.24,14
20,True,9,7,0.74,18,19.48,18
21,True,8,0,0.72,17,22.759999999999998,17
22,True,3,2,0.69,10,10.69,10
23,True,14,0,0.72,1,11.08,1
24,True,14,3,0.44,18,22.84,18
25,True,17,1,0.67,19,29.72,19
26,True,8,1,0.92,0,6.44,0
27,True,19,2,0.55,1,10.350000000000001,1
28,True,19,14,0.56,7,9.8,7
29,True,10,2,0.26,15,17.08,15
30,True,4,3,0.85,17,17.85,17
31,True,16,7,0.53,12,16.77,12
32,True,6,3,0.65,2,3.95,2
33,True,7,0,0.75,6,11.25,6
34,True,13,8,0.2,0,1.0,0
35,True,12,2,0.9,4,13.0,4
36,True,20,13,0.23,2,3.6100000000000003,2
37,True,12,9,0.33,18,18.99,18
38,True,9,4,0.61,3,6.050000000000001,3
39,True,12,1,0.36,14,17.96,14
40,True,17,6,0.66,19,26.26,19
41,True,5,2,0.38,18,19.14,18
42,True,18,0,0.45,5,13.1,5
43,True,13,4,0.72,9,15.48,9
44,True,19,14,0.32,2,3.5999999999999996,2
45,True,14,7,0.44,16,19.08,16
46,True,17,13,0.67,15,17.68,15
47,True,12,0,0.57,8,14.84,8
48,True,19,13,0.69,2,6.140000000000001,2
49,True,15,8,0.17,15,16.19,15
50,True,18,2,0.09,3,4.4399999999999995,3
51,True,7,6,0.31,16,16.31,16
52,True,7,4,0.94,17,19.82,17
53,True,20,19,0.48,15,15.48,15
