,G,count,post,pre,x
0,True,11,11,12,4
1,True,19,19,20,6
2,True,14,14,15,2
3,True,7,7,8,1
4,True,13,13,14,3
5,True,17,17,18,6
6,True,8,8,9,8
7,True,4,4,5,9
8,True,1,1,2,9
9,True,2,2,3,7
10,True,20,20,21,0
11,True,4,4,5,9
12,True,7,7,8,3
13,True,1,1,2,5
14,True,2,2,3,6
15,True,10,10,11,4
16,True,19,19,20,0
17,True,9,9,10,1
18,True,3,3,4,3
19,True,8,8,9,10
20,True,15,15,16,4
21,True,0,0,1,1
22,True,4,4,5,4
23,True,9,9,10,6
24,True,1,1,2,4
25,True,16,16,17,7
26,True,4,4,5,1
27,True,6,6,7,8
28,True,8,8,9,3
29,True,8,8,9,2
30,True,13,13,14,2
31,True,17,17,18,5
32,True,18,18,19,1
33,True,19,19,20,1
34,True,12,12,13,8
35,True,16,16,17,10
36,True,7,7,8,5
37,True,2,2,3,9
38,True,16,16,17,2
39,True,2,2,3,6
40,True,10,10,11,4
41,True,3,3,4,8
42,True,13,13,14,1
43,True,12,12,13,4
44,True,0,0,1,7
45,True,7,7,8,7
46,True,7,7,8,1
47,True,3,3,4,3
48,True,19,19,20,4
49,True,12,12,13,4
50,True,13,13,14,5
51,True,8,8,9,7
52,True,9,9,10,5
53,True,16,16,17,4
54,True,14,14,15,0
55,True,17,17,18,7
56,True,16,16,17,10
57,True,10,10,11,7
58,True,18,18,19,9
59,True,11,11,12,1
60,True,8,8,9,1
61,True,16,16,17,5
62,True,9,9,10,0
63,True,12,12,13,0
64,True,2,2,3,5
65,True,13,13,14,6
66,True,0,0,1,5
67,True,16,16,17,3
68,True,0,0,1,9
69,True,16,16,17,0
70,True,16,16,17,5
71,True,1,1,2,0
72,True,3,3,4,9
73,True,1,1,2,4
74,True,18,18,19,1
75,True,7,7,8,0
76,True,4,4,5,2
77,True,10,10,11,10
78,True,20,20,21,1
79,True,15,15,16,0
80,True,19,19,20,8
81,True,12,12,13,6
82,True,20,20,21,3
83,True,4,4,5,10
84,True,3,3,4,1
85,True,2,2,3,10
86,True,9,9,10,10
87,True,12,12,13,4
88,True,11,11,12,4
89,True,5,5,6,10
90,True,7,7,8,7
91,True,13,13,14,7
92,True,17,17,18,2
93,True,2,2,3,1
94,True,10,10,11,0
95,True,13,13,14,8
96,True,7,7,8,8
97,True,5,5,6,4
98,True,2,2,3,5
99,True,17,17,18,6
100,True,1,1,2,8
101,True,18,18,19,0
102,True,5,5,6,9
