,(count*count),(count*x),(count+x),(count-x),(x*x),(x-count),count,expected_post,post-init,x
0,169,117,22,4,81,-4,13,15.0,2.0,9
1,4,20,12,-8,100,8,2,3.0,1.0,10
2,169,117,22,4,81,-4,13,15.0,2.0,9
3,144,60,17,7,25,-7,12,18.0,6.0,5
4,121,22,13,9,4,-9,11,20.0,9.0,2
5,121,110,21,1,100,-1,11,12.0,1.0,10
6,324,144,26,10,64,-10,18,21.0,3.0,8
7,324,90,23,13,25,-13,18,24.0,6.0,5
8,256,0,16,16,0,-16,16,27.0,11.0,0
9,144,24,14,10,4,-10,12,21.0,9.0,2
10,64,8,9,7,1,-7,8,18.0,10.0,1
11,64,48,14,2,36,-2,8,13.0,5.0,6
12,400,200,30,10,100,-10,20,21.0,1.0,10
13,81,63,16,2,49,-2,9,13.0,4.0,7
14,400,140,27,13,49,-13,20,24.0,4.0,7
15,1,5,6,-4,25,4,1,7.0,6.0,5
16,9,24,11,-5,64,5,3,6.0,3.0,8
17,64,40,13,3,25,-3,8,14.0,6.0,5
18,4,4,4,0,4,0,2,11.0,9.0,2
19,0,0,10,-10,100,10,0,1.0,1.0,10
20,4,0,2,2,0,-2,2,13.0,11.0,0
21,169,104,21,5,64,-5,13,16.0,3.0,8
22,4,18,11,-7,81,7,2,4.0,2.0,9
23,100,90,19,1,81,-1,10,12.0,2.0,9
24,4,0,2,2,0,-2,2,13.0,11.0,0
25,256,48,19,13,9,-13,16,24.0,8.0,3
26,81,0,9,9,0,-9,9,20.0,11.0,0
27,81,27,12,6,9,-6,9,17.0,8.0,3
28,1,8,9,-7,64,7,1,4.0,3.0,8
29,256,48,19,13,9,-13,16,24.0,8.0,3
30,169,78,19,7,36,-7,13,18.0,5.0,6
31,25,20,9,1,16,-1,5,12.0,7.0,4
32,0,0,2,-2,4,2,0,9.0,9.0,2
33,196,56,18,10,16,-10,14,21.0,7.0,4
34,324,126,25,11,49,-11,18,22.0,4.0,7
35,144,48,16,8,16,-8,12,19.0,7.0,4
36,9,18,9,-3,36,3,3,8.0,5.0,6
37,400,200,30,10,100,-10,20,21.0,1.0,10
38,49,63,16,-2,81,2,7,9.0,2.0,9
39,0,0,0,0,0,0,0,11.0,11.0,0
40,196,28,16,12,4,-12,14,23.0,9.0,2
41,100,90,19,1,81,-1,10,12.0,2.0,9
42,400,140,27,13,49,-13,20,24.0,4.0,7
43,361,133,26,12,49,-12,19,23.0,4.0,7
44,0,0,7,-7,49,7,0,4.0,4.0,7
45,361,19,20,18,1,-18,19,29.0,10.0,1
46,169,26,15,11,4,-11,13,22.0,9.0,2
47,225,120,23,7,64,-7,15,18.0,3.0,8
48,16,0,4,4,0,-4,4,15.0,11.0,0
49,25,35,12,-2,49,2,5,9.0,4.0,7
50,225,75,20,10,25,-10,15,21.0,6.0,5
51,361,133,26,12,49,-12,19,23.0,4.0,7
52,169,26,15,11,4,-11,13,22.0,9.0,2
53,169,104,21,5,64,-5,13,16.0,3.0,8
54,289,102,23,11,36,-11,17,22.0,5.0,6
55,0,0,0,0,0,0,0,11.0,11.0,0
56,9,6,5,1,4,-1,3,12.0,9.0,2
57,324,108,24,12,36,-12,18,23.0,5.0,6
58,256,16,17,15,1,-15,16,26.0,10.0,1
59,289,102,23,11,36,-11,17,22.0,5.0,6
60,0,0,3,-3,9,3,0,8.0,8.0,3
61,9,0,3,3,0,-3,3,14.0,11.0,0
62,100,60,16,4,36,-4,10,15.0,5.0,6
63,256,0,16,16,0,-16,16,27.0,11.0,0
64,9,30,13,-7,100,7,3,4.0,1.0,10
