,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c*c),(c*t),(c+t),(c-t),(p1 + p2 - p1 * p2*p1 + p2 - p1 * p2),(p1*p2),(p1+p2),(t*t),(t-c),c,expected_post,p1,p1 + p2 - p1 * p2,p2,post-init,t
0,0.58,1.16,1.5,0.84,0.5,1,0,1,1,1.07,0.08,0.66,0,-1,1,0.128,0.16,0.58,0.5,0.128,0
1,0.82,1.21,1.77,0.79,0.23,1,0,1,1,1.55,0.16,0.98,0,-1,1,0.072,0.21,0.82,0.77,0.072,0
2,0.75,1.49,1.51,0.51,0.49,1,0,1,1,1.14,0.25,1.0,0,-1,1,0.32,0.49,0.75,0.51,0.32,0
3,0.71,1.26,1.61,0.74,0.39,1,0,1,1,1.28,0.16,0.87,0,-1,1,0.16,0.26,0.71,0.61,0.16,0
4,0.83,1.31,1.75,0.69,0.25,1,1,2,0,1.51,0.23,1.06,1,0,1,0.386,0.31,0.83,0.75,-0.614,1
5,0.82,1.6,1.54,0.4,0.46,1,1,2,0,1.16,0.32,1.14,1,0,1,0.72,0.6,0.82,0.54,-0.28,1
6,0.86,1.08,1.85,0.92,0.15,1,0,1,1,1.71,0.07,0.93,0,-1,1,0.028,0.08,0.86,0.85,0.028,0
7,0.84,1.64,1.55,0.36,0.45,1,0,1,1,1.16,0.35,1.19,0,-1,1,0.36,0.64,0.84,0.55,0.36,0
8,0.92,1.8,1.61,0.2,0.39,1,0,1,1,1.14,0.49,1.41,0,-1,1,0.334,0.8,0.92,0.61,0.334,0
9,0.92,1.9,1.21,0.1,0.79,1,0,1,1,0.96,0.19,1.11,0,-1,1,0.78,0.9,0.92,0.21,0.78,0
10,0.92,1.09,1.91,0.91,0.09,1,1,2,0,1.82,0.08,1.0,1,0,1,0.12,0.09,0.92,0.91,-0.88,1
11,0.96,1.86,1.74,0.14,0.26,1,0,1,1,1.16,0.64,1.6,0,-1,1,0.224,0.86,0.96,0.74,0.224,0
