,G,c1,c2,count,p1,p2,post,pre
0,False,0,1,4,0.11,0.46,4,4.0
1,False,0,1,4,0.11,0.46,4,4.0
2,True,0,0,3,0.11,0.46,3,3.5700000000000003
3,True,0,0,3,0.11,0.46,3,3.5700000000000003
4,True,0,0,3,0.11,0.46,3,3.5700000000000003
5,True,0,0,3,0.11,0.46,3,3.5700000000000003
6,True,0,0,3,0.11,0.46,3,3.5700000000000003
7,False,1,0,4,0.11,0.46,4,4.0
8,False,0,1,4,0.11,0.46,4,4.0
9,False,0,1,4,0.11,0.46,4,4.0
10,False,0,1,4,0.11,0.46,4,4.0
11,False,0,1,4,0.11,0.46,4,4.0
12,False,1,0,4,0.11,0.46,4,4.0
13,False,0,1,4,0.11,0.46,4,4.0
14,True,0,0,3,0.11,0.46,3,3.5700000000000003
15,True,0,0,3,0.11,0.46,3,3.5700000000000003
16,False,0,1,4,0.11,0.46,4,4.0
17,True,0,0,3,0.11,0.46,3,3.5700000000000003
18,False,0,1,4,0.11,0.46,4,4.0
19,True,0,0,3,0.11,0.46,3,3.5700000000000003
20,False,0,1,4,0.11,0.46,4,4.0
21,True,0,0,3,0.11,0.46,3,3.5700000000000003
22,True,0,0,3,0.11,0.46,3,3.5700000000000003
23,True,0,0,3,0.11,0.46,3,3.5700000000000003
24,False,0,1,4,0.11,0.46,4,4.0
25,False,0,1,4,0.11,0.46,4,4.0
26,True,0,0,3,0.11,0.46,3,3.5700000000000003
27,False,0,1,4,0.11,0.46,4,4.0
28,False,0,1,4,0.11,0.46,4,4.0
29,False,0,1,4,0.11,0.46,4,4.0
30,False,0,1,4,0.11,0.46,4,4.0
31,True,0,0,3,0.11,0.46,3,3.5700000000000003
32,True,0,0,3,0.11,0.46,3,3.5700000000000003
33,False,0,1,4,0.11,0.46,4,4.0
34,True,0,0,3,0.11,0.46,3,3.5700000000000003
35,True,0,0,3,0.11,0.46,3,3.5700000000000003
36,True,0,0,3,0.11,0.46,3,3.5700000000000003
37,False,1,1,5,0.11,0.46,5,5.0
38,True,0,0,3,0.11,0.46,3,3.5700000000000003
39,False,0,1,4,0.11,0.46,4,4.0
40,False,0,1,4,0.11,0.46,4,4.0
41,False,1,0,4,0.11,0.46,4,4.0
42,False,0,1,4,0.11,0.46,4,4.0
43,False,1,0,4,0.11,0.46,4,4.0
44,False,1,1,5,0.11,0.46,5,5.0
45,True,0,0,3,0.11,0.46,3,3.5700000000000003
46,False,0,1,4,0.11,0.46,4,4.0
47,True,0,0,3,0.11,0.46,3,3.5700000000000003
48,True,0,0,3,0.11,0.46,3,3.5700000000000003
49,False,0,1,4,0.11,0.46,4,4.0
50,True,0,0,3,0.11,0.46,3,3.5700000000000003
51,True,0,0,3,0.11,0.46,3,3.5700000000000003
52,True,0,0,3,0.11,0.46,3,3.5700000000000003
53,True,0,0,3,0.11,0.46,3,3.5700000000000003
54,False,1,0,4,0.11,0.46,4,4.0
55,False,0,1,4,0.11,0.46,4,4.0
56,True,0,0,3,0.11,0.46,3,3.5700000000000003
57,False,0,1,4,0.11,0.46,4,4.0
58,True,0,0,3,0.11,0.46,3,3.5700000000000003
59,False,1,0,4,0.11,0.46,4,4.0
60,True,0,0,3,0.11,0.46,3,3.5700000000000003
61,True,0,0,3,0.11,0.46,3,3.5700000000000003
62,True,0,0,3,0.11,0.46,3,3.5700000000000003
63,True,0,0,3,0.11,0.46,3,3.5700000000000003
64,False,0,1,4,0.11,0.46,4,4.0
65,False,0,1,4,0.11,0.46,4,4.0
66,False,0,1,4,0.11,0.46,4,4.0
67,False,1,0,4,0.11,0.46,4,4.0
68,False,0,1,4,0.11,0.46,4,4.0
69,True,0,0,3,0.11,0.46,3,3.5700000000000003
70,True,0,0,3,0.11,0.46,3,3.5700000000000003
71,False,0,1,4,0.11,0.46,4,4.0
72,False,0,1,4,0.11,0.46,4,4.0
73,False,1,1,5,0.11,0.46,5,5.0
74,True,0,0,3,0.11,0.46,3,3.5700000000000003
75,False,0,1,4,0.11,0.46,4,4.0
76,True,0,0,3,0.11,0.46,3,3.5700000000000003
77,True,0,0,3,0.11,0.46,3,3.5700000000000003
78,False,1,1,5,0.11,0.46,5,5.0
79,False,1,0,4,0.11,0.46,4,4.0
80,True,0,0,3,0.11,0.46,3,3.5700000000000003
81,True,0,0,3,0.11,0.46,3,3.5700000000000003
82,False,0,1,4,0.11,0.46,4,4.0
83,False,0,1,4,0.11,0.46,4,4.0
84,False,0,1,4,0.11,0.46,4,4.0
85,False,1,0,4,0.11,0.46,4,4.0
86,True,0,0,3,0.11,0.46,3,3.5700000000000003
87,True,0,0,3,0.11,0.46,3,3.5700000000000003
88,True,0,0,3,0.11,0.46,3,3.5700000000000003
89,False,0,1,4,0.11,0.46,4,4.0
90,True,0,0,3,0.11,0.46,3,3.5700000000000003
91,True,0,0,3,0.11,0.46,3,3.5700000000000003
92,True,0,0,3,0.11,0.46,3,3.5700000000000003
93,True,0,0,3,0.11,0.46,3,3.5700000000000003
94,False,0,1,4,0.11,0.46,4,4.0
95,False,0,1,4,0.11,0.46,4,4.0
96,False,1,1,5,0.11,0.46,5,5.0
97,False,0,1,4,0.11,0.46,4,4.0
98,False,0,1,4,0.11,0.46,4,4.0
99,True,0,0,3,0.11,0.46,3,3.5700000000000003
100,False,0,1,4,0.11,0.46,4,4.0
101,False,0,1,4,0.11,0.46,4,4.0
102,False,1,0,4,0.11,0.46,4,4.0
103,True,0,0,3,0.11,0.46,3,3.5700000000000003
104,False,0,1,4,0.11,0.46,4,4.0
105,False,0,1,4,0.11,0.46,4,4.0
106,True,0,0,3,0.11,0.46,3,3.5700000000000003
107,True,0,0,3,0.11,0.46,3,3.5700000000000003
108,True,0,0,3,0.11,0.46,3,3.5700000000000003
109,True,0,0,3,0.11,0.46,3,3.5700000000000003
110,False,0,1,4,0.11,0.46,4,4.0
111,True,0,0,3,0.11,0.46,3,3.5700000000000003
112,False,0,1,4,0.11,0.46,4,4.0
113,False,0,1,4,0.11,0.46,4,4.0
114,True,0,0,3,0.11,0.46,3,3.5700000000000003
115,False,0,1,4,0.11,0.46,4,4.0
116,True,0,0,3,0.11,0.46,3,3.5700000000000003
117,False,0,1,4,0.11,0.46,4,4.0
118,True,0,0,3,0.11,0.46,3,3.5700000000000003
119,True,0,0,3,0.11,0.46,3,3.5700000000000003
120,True,0,0,3,0.11,0.46,3,3.5700000000000003
121,False,0,1,4,0.11,0.46,4,4.0
122,True,0,0,3,0.11,0.46,3,3.5700000000000003
123,True,0,0,3,0.11,0.46,3,3.5700000000000003
