,(x*x),(x*y),(x+y),(x-y),(x-z),(y*y),(y-x),(y-z),(z*x),(z*y),(z*z),(z+x),(z+y),(z-x),(z-y),expected_post,post-init,x,y,z
0,256,288,34,-2,14,324,2,16,32,36,4,18,20,-14,-16,34.856,32.856,16,18,2
1,196,280,34,-6,12,400,6,18,28,40,4,16,22,-12,-18,86.844,84.844,14,20,2
2,25,65,18,-8,-2,169,8,6,35,91,49,12,20,2,-6,48.118,41.118,5,13,7
3,9,30,13,-7,-8,100,7,-1,33,110,121,14,21,8,1,31.536,20.536,3,10,11
4,36,108,24,-12,-4,324,12,8,60,180,100,16,28,4,-8,78.596,68.596,6,18,10
5,144,216,30,-6,4,324,6,10,96,144,64,20,26,-4,-10,80.128,72.128,12,18,8
6,16,28,11,-3,3,49,3,6,4,7,1,5,8,-3,-6,13.046,12.046,4,7,1
7,16,20,9,-1,-15,25,1,-14,76,95,361,23,24,15,14,23.02,4.02,4,5,19
8,225,300,35,-5,-4,400,5,1,285,380,361,34,39,4,-1,96.968,77.968,15,20,19
9,64,96,20,-4,8,144,4,12,0,0,0,8,12,-8,-12,32.168,32.168,8,12,0
10,1,14,15,-13,-13,196,13,0,14,196,196,15,28,13,0,27.116,13.116,1,14,14
11,4,28,16,-12,-12,196,12,0,28,196,196,16,28,12,0,37.452,23.451999999999998,2,14,14
12,100,180,28,-8,2,324,8,10,80,144,64,18,26,-2,-10,88.272,80.272,10,18,8
13,81,117,22,-4,6,169,4,10,27,39,9,12,16,-6,-10,36.056,33.056,9,13,3
14,36,42,13,-1,4,49,1,5,12,14,4,8,9,-4,-5,8.488,6.4879999999999995,6,7,2
15,100,180,28,-8,-6,324,8,2,160,288,256,26,34,6,-2,93.788,77.788,10,18,16
16,16,76,23,-15,-13,361,15,2,68,323,289,21,36,13,-2,74.988,57.988,4,19,17
17,100,190,29,-9,-4,361,9,5,140,266,196,24,33,4,-5,102.584,88.584,10,19,14
18,169,195,28,-2,-5,225,2,-3,234,270,324,31,33,5,3,45.594,27.594,13,15,18
19,1,18,19,-17,-16,324,17,1,17,306,289,18,35,16,-1,33.104,16.104,1,18,17
20,100,120,22,-2,-5,144,2,-3,150,180,225,25,27,5,3,35.4,20.4,10,12,15
21,9,39,16,-10,-16,169,10,-6,57,247,361,22,32,16,6,49.254,30.253999999999998,3,13,19
22,1,17,18,-16,-18,289,16,-2,19,323,361,20,36,18,2,36.362,17.362000000000002,1,17,19
23,49,133,26,-12,-2,361,12,10,63,171,81,16,28,2,-10,93.456,84.456,7,19,9
24,64,72,17,-1,-4,81,1,-3,96,108,144,20,21,4,3,19.222,7.222000000000001,8,9,12
25,324,360,38,-2,-2,400,2,0,360,400,400,38,40,2,0,58.936,38.936,18,20,20
26,144,156,25,-1,-7,169,1,-6,228,247,361,31,32,7,6,30.134,11.134,12,13,19
