,G,flip,p1,post,pre,z
0,True,0,0.88,18,18.12,18
1,True,0,0.95,9,9.05,9
2,True,0,0.33,7,7.67,7
3,True,0,0.44,2,2.56,2
4,True,0,0.38,14,14.62,14
5,True,0,0.33,18,18.67,18
6,True,0,0.27,14,14.73,14
7,True,0,0.28,3,3.7199999999999998,3
8,True,0,0.79,13,13.21,13
9,True,0,0.6,17,17.4,17
10,True,0,0.81,17,17.19,17
11,True,0,0.17,0,0.83,0
12,True,0,0.85,20,20.15,20
13,True,0,0.7,5,5.3,5
14,True,0,0.92,12,12.08,12
15,True,0,0.54,3,3.46,3
16,True,0,0.58,8,8.42,8
17,True,0,0.8,15,15.2,15
18,True,0,0.26,0,0.74,0
19,True,0,0.45,4,4.55,4
20,True,0,0.78,17,17.22,17
21,True,0,0.32,19,19.68,19
22,True,0,0.64,8,8.36,8
23,True,0,0.59,14,14.41,14
24,True,0,0.33,9,9.67,9
25,True,0,0.79,4,4.21,4
26,True,0,0.83,4,4.17,4
27,True,0,0.19,9,9.81,9
28,True,0,0.86,6,6.14,6
29,True,0,0.82,14,14.18,14
30,True,0,0.86,10,10.14,10
31,True,0,0.14,13,13.86,13
32,True,0,0.92,7,7.08,7
33,True,0,0.87,14,14.13,14
34,True,0,0.76,4,4.24,4
35,True,0,0.6,12,12.4,12
36,True,0,0.71,2,2.29,2
37,True,0,0.55,2,2.45,2
38,True,0,0.81,4,4.1899999999999995,4
39,True,0,0.6,5,5.4,5
40,True,0,0.68,0,0.31999999999999995,0
41,True,0,0.63,6,6.37,6
42,True,0,0.94,15,15.06,15
43,True,0,0.26,19,19.74,19
44,True,0,0.8,19,19.2,19
45,True,0,0.14,18,18.86,18
46,True,0,0.83,17,17.17,17
47,True,0,0.53,5,5.47,5
48,True,0,0.41,7,7.59,7
49,True,0,0.26,4,4.74,4
50,True,0,0.14,2,2.86,2
51,True,0,0.68,2,2.32,2
52,True,0,0.15,13,13.85,13
53,True,0,0.73,11,11.27,11
54,True,0,0.74,16,16.26,16
55,True,0,0.12,5,5.88,5
56,True,0,0.38,18,18.62,18
57,True,0,0.85,13,13.15,13
58,True,0,0.41,14,14.59,14
59,True,0,0.07,1,1.93,1
60,True,0,0.08,1,1.92,1
61,True,0,0.71,12,12.29,12
62,True,0,0.8,7,7.2,7
63,True,0,0.61,17,17.39,17
64,True,0,0.1,10,10.9,10
65,True,0,0.81,8,8.19,8
66,True,0,0.18,20,20.82,20
67,True,0,0.88,2,2.12,2
68,True,0,0.25,5,5.75,5
69,True,0,0.85,18,18.15,18
70,True,0,0.06,10,10.94,10
71,True,0,0.69,8,8.31,8
72,True,0,0.63,7,7.37,7
73,True,0,0.66,9,9.34,9
74,True,0,0.34,0,0.6599999999999999,0
75,True,0,0.05,4,4.95,4
76,True,0,0.4,8,8.6,8
77,True,0,0.13,18,18.87,18
78,True,0,0.28,8,8.72,8
79,True,0,0.25,8,8.75,8
80,True,0,0.63,5,5.37,5
81,True,0,0.71,8,8.29,8
82,True,0,0.7,13,13.3,13
83,True,0,0.43,8,8.57,8
84,True,0,0.84,20,20.16,20
85,True,0,0.78,20,20.22,20
86,True,0,0.54,17,17.46,17
87,True,0,0.71,3,3.29,3
88,True,0,0.54,7,7.46,7
89,True,0,0.54,16,16.46,16
90,True,0,0.08,5,5.92,5
91,True,0,0.45,12,12.55,12
92,True,0,0.08,3,3.92,3
93,True,0,0.34,12,12.66,12
94,True,0,0.8,19,19.2,19
95,True,0,0.07,3,3.9299999999999997,3
96,True,0,0.21,0,0.79,0
97,True,0,0.06,16,16.94,16
98,True,0,0.46,16,16.54,16
99,True,0,0.27,8,8.73,8
100,True,0,0.12,7,7.88,7
101,True,0,0.08,10,10.92,10
102,True,0,0.39,16,16.61,16
103,True,0,0.68,11,11.32,11
104,True,0,0.17,8,8.83,8
105,True,0,0.83,5,5.17,5
106,True,0,0.61,8,8.39,8
107,True,0,0.51,14,14.49,14
108,True,0,0.3,13,13.7,13
109,True,0,0.66,9,9.34,9
110,True,0,0.84,19,19.16,19
111,True,0,0.39,20,20.61,20
112,True,0,0.42,16,16.58,16
113,True,0,0.22,3,3.7800000000000002,3
114,True,0,0.3,15,15.7,15
115,True,0,0.95,4,4.05,4
116,True,0,0.95,13,13.05,13
117,True,0,0.13,9,9.87,9
118,True,0,0.24,0,0.76,0
119,True,0,0.47,8,8.53,8
120,True,0,0.88,8,8.12,8
121,True,0,0.87,10,10.13,10
