,(1+p1),(1-p1),(flip*flip),(z*z),expected_post,flip,p1,post-init,z
0,1.06,0.94,0,100,24.778,0,0.06,14.777999999999999,10
1,1.77,0.23,0,25,5.332,0,0.77,0.33199999999999985,5
2,1.13,0.87,0,64,15.066,0,0.13,7.066000000000001,8
3,1.15,0.85,0,256,21.958,0,0.15,5.957999999999998,16
4,1.35,0.65,0,81,10.958,0,0.35,1.9580000000000002,9
5,1.45,0.55,0,49,8.268,0,0.45,1.2680000000000007,7
6,1.86,0.14,0,256,16.164,0,0.86,0.16400000000000148,16
7,1.57,0.43,0,4,2.738,0,0.57,0.738,2
8,1.65,0.35,0,289,17.538,0,0.65,0.5380000000000003,17
9,1.69,0.31,0,361,19.424,0,0.69,0.4239999999999995,19
10,1.14,0.86,0,225,21.398,0,0.14,6.398,15
11,1.87,0.13,0,49,7.138,0,0.87,0.1379999999999999,7
12,1.58,0.42,0,0,0.706,0,0.58,0.706,0
13,1.22,0.78,0,49,10.274,0,0.22,3.273999999999999,7
14,1.68,0.32,0,64,8.44,0,0.68,0.4399999999999995,8
15,1.89,0.11,0,324,18.134,0,0.89,0.13400000000000034,18
16,1.3,0.7,0,400,22.254,0,0.3,2.2540000000000013,20
17,1.86,0.14,0,81,9.126,0,0.86,0.12599999999999945,9
18,1.55,0.45,0,0,0.842,0,0.55,0.842,0
19,1.41,0.59,0,196,15.45,0,0.41,1.4499999999999993,14
20,1.83,0.17,0,256,16.204,0,0.83,0.20400000000000063,16
21,1.26,0.74,0,121,13.898,0,0.26,2.8979999999999997,11
22,1.51,0.49,0,36,6.918,0,0.51,0.9180000000000001,6
23,1.53,0.47,0,400,20.848,0,0.53,0.847999999999999,20
24,1.51,0.49,0,361,19.878,0,0.51,0.8780000000000001,19
25,1.17,0.83,0,361,23.866,0,0.17,4.866,19
26,1.56,0.44,0,64,8.786,0,0.56,0.7859999999999996,8
27,1.84,0.16,0,289,17.172,0,0.84,0.1720000000000006,17
28,1.06,0.94,0,25,21.398,0,0.06,16.398,5
29,1.66,0.34,0,9,3.528,0,0.66,0.528,3
30,1.27,0.73,0,324,20.426,0,0.27,2.4259999999999984,18
31,1.79,0.21,0,169,13.28,0,0.79,0.27999999999999936,13
32,1.66,0.34,0,16,4.536,0,0.66,0.5359999999999996,4
33,1.27,0.73,0,25,7.776,0,0.27,2.776,5
34,1.19,0.81,0,225,19.226,0,0.19,4.225999999999999,15
35,1.16,0.84,0,64,13.148,0,0.16,5.148,8
36,1.73,0.27,0,25,5.372,0,0.73,0.3719999999999999,5
37,1.47,0.53,0,36,7.152,0,0.47,1.1520000000000001,6
38,1.37,0.63,0,1,2.694,0,0.37,1.694,1
39,1.79,0.21,0,1,1.28,0,0.79,0.28,1
40,1.12,0.88,0,289,24.72,0,0.12,7.719999999999999,17
41,1.33,0.67,0,25,7.106,0,0.33,2.106,5
42,1.06,0.94,0,225,30.762,0,0.06,15.762,15
43,1.22,0.78,0,4,5.512,0,0.22,3.5119999999999996,2
44,1.16,0.84,0,16,9.006,0,0.16,5.006,4
45,1.6,0.4,0,81,9.562,0,0.6,0.5619999999999994,9
46,1.37,0.63,0,49,8.892,0,0.37,1.8919999999999995,7
47,1.64,0.36,0,324,18.596,0,0.64,0.5960000000000001,18
48,1.5,0.5,0,4,2.876,0,0.5,0.8759999999999999,2
49,1.34,0.66,0,25,6.874,0,0.34,1.8739999999999997,5
50,1.39,0.61,0,36,7.644,0,0.39,1.6440000000000001,6
51,1.39,0.61,0,0,1.452,0,0.39,1.452,0
52,1.43,0.57,0,289,18.37,0,0.43,1.370000000000001,17
53,1.2,0.8,0,16,7.674,0,0.2,3.6740000000000004,4
54,1.7,0.3,0,49,7.45,0,0.7,0.4500000000000002,7
55,1.24,0.76,0,16,7.236,0,0.24,3.2359999999999998,4
56,1.82,0.18,0,361,19.218,0,0.82,0.21799999999999997,19
57,1.29,0.71,0,144,14.366,0,0.29,2.3659999999999997,12
58,1.11,0.89,0,81,16.376,0,0.11,7.376000000000001,9
59,1.61,0.39,0,0,0.638,0,0.61,0.638,0
60,1.47,0.53,0,49,8.18,0,0.47,1.1799999999999997,7
61,1.84,0.16,0,324,18.174,0,0.84,0.1739999999999995,18
62,1.37,0.63,0,256,17.802,0,0.37,1.8019999999999996,16
63,1.88,0.12,0,81,9.12,0,0.88,0.11999999999999922,9
64,1.13,0.87,0,121,16.954,0,0.13,5.954000000000001,11
65,1.27,0.73,0,400,22.702,0,0.27,2.7020000000000017,20
66,1.63,0.37,0,81,9.558,0,0.63,0.5579999999999998,9
67,1.71,0.29,0,64,8.39,0,0.71,0.39000000000000057,8
68,1.5,0.5,0,81,10.004,0,0.5,1.0039999999999996,9
69,1.42,0.58,0,289,18.504,0,0.42,1.5040000000000013,17
70,1.44,0.56,0,4,3.288,0,0.44,1.2879999999999998,2
71,1.7,0.3,0,121,11.482,0,0.7,0.4819999999999993,11
72,1.42,0.58,0,100,11.438,0,0.42,1.4380000000000006,10
73,1.4,0.6,0,64,9.392,0,0.4,1.3919999999999995,8
74,1.46,0.54,0,49,8.29,0,0.46,1.2899999999999991,7
75,1.88,0.12,0,225,15.118,0,0.88,0.11800000000000033,15
76,1.53,0.47,0,16,4.884,0,0.53,0.8840000000000003,4
77,1.07,0.93,0,25,18.952,0,0.07,13.952000000000002,5
78,1.09,0.91,0,0,10.058,0,0.09,10.058,0
79,1.45,0.55,0,196,15.226,0,0.45,1.2260000000000009,14
80,1.76,0.24,0,0,0.338,0,0.76,0.338,0
81,1.07,0.93,0,121,24.05,0,0.07,13.05,11
82,1.27,0.73,0,9,5.56,0,0.27,2.5599999999999996,3
83,1.25,0.75,0,144,14.766,0,0.25,2.766,12
84,1.8,0.2,0,121,11.24,0,0.8,0.2400000000000002,11
85,1.17,0.83,0,121,16.066,0,0.17,5.065999999999999,11
86,1.92,0.08,0,289,17.092,0,0.92,0.09199999999999875,17
87,1.84,0.16,0,16,4.214,0,0.84,0.2140000000000004,4
88,1.81,0.19,0,121,11.248,0,0.81,0.24799999999999933,11
89,1.38,0.62,0,9,4.57,0,0.38,1.5700000000000003,3
90,1.4,0.6,0,64,9.504,0,0.4,1.5039999999999996,8
91,1.44,0.56,0,121,12.17,0,0.44,1.17,11
92,1.73,0.27,0,4,2.396,0,0.73,0.3959999999999999,2
93,1.68,0.32,0,4,2.504,0,0.68,0.504,2
94,1.51,0.49,0,9,3.95,0,0.51,0.9500000000000002,3
95,1.27,0.73,0,36,8.622,0,0.27,2.622,6
96,1.21,0.79,0,169,16.574,0,0.21,3.5740000000000016,13
97,1.18,0.82,0,0,4.568,0,0.18,4.568,0
98,1.88,0.12,0,121,11.114,0,0.88,0.11400000000000077,11
99,1.23,0.77,0,64,11.15,0,0.23,3.1500000000000004,8
100,1.8,0.2,0,16,4.242,0,0.8,0.242,4
101,1.13,0.87,0,400,26.66,0,0.13,6.66,20
102,1.63,0.37,0,100,10.532,0,0.63,0.532,10
103,1.12,0.88,0,324,25.954,0,0.12,7.954000000000001,18
104,1.42,0.58,0,25,6.276,0,0.42,1.2759999999999998,5
105,1.33,0.67,0,100,11.734,0,0.33,1.734,10
106,1.81,0.19,0,64,8.228,0,0.81,0.22799999999999976,8
107,1.65,0.35,0,49,7.606,0,0.65,0.6059999999999999,7
108,1.88,0.12,0,361,19.148,0,0.88,0.1479999999999997,19
109,1.44,0.56,0,81,10.254,0,0.44,1.2539999999999996,9
110,1.85,0.15,0,196,14.174,0,0.85,0.1739999999999995,14
111,1.22,0.78,0,100,13.384,0,0.22,3.3840000000000003,10
112,1.07,0.93,0,9,15.874,0,0.07,12.874,3
113,1.9,0.1,0,9,3.11,0,0.9,0.10999999999999988,3
114,1.37,0.63,0,121,12.722,0,0.37,1.7219999999999995,11
115,1.11,0.89,0,324,25.98,0,0.11,7.98,18
116,1.81,0.19,0,36,6.278,0,0.81,0.2779999999999996,6
117,1.55,0.45,0,4,2.846,0,0.55,0.8460000000000001,2
118,1.55,0.45,0,9,3.964,0,0.55,0.964,3
119,1.24,0.76,0,81,12.252,0,0.24,3.2520000000000007,9
120,1.85,0.15,0,121,11.164,0,0.85,0.1639999999999997,11
121,1.18,0.82,0,9,7.072,0,0.18,4.072,3
122,1.53,0.47,0,289,17.87,0,0.53,0.870000000000001,17
123,1.9,0.1,0,4,2.106,0,0.9,0.10599999999999987,2
124,1.22,0.78,0,4,5.522,0,0.22,3.5220000000000002,2
125,1.51,0.49,0,361,19.886,0,0.51,0.8859999999999992,19
126,1.74,0.26,0,25,5.3,0,0.74,0.2999999999999998,5
127,1.62,0.38,0,16,4.604,0,0.62,0.6040000000000001,4
128,1.13,0.87,0,36,12.242,0,0.13,6.242000000000001,6
129,1.9,0.1,0,400,20.114,0,0.9,0.11400000000000077,20
130,1.86,0.14,0,100,10.13,0,0.86,0.13000000000000078,10
131,1.63,0.37,0,1,1.528,0,0.63,0.528,1
132,1.39,0.61,0,36,7.512,0,0.39,1.5119999999999996,6
133,1.56,0.44,0,225,15.756,0,0.56,0.7560000000000002,15
134,1.23,0.77,0,0,3.11,0,0.23,3.11,0
135,1.71,0.29,0,64,8.366,0,0.71,0.36599999999999966,8
136,1.39,0.61,0,169,14.754,0,0.39,1.7539999999999996,13
137,1.49,0.51,0,25,6.18,0,0.49,1.1799999999999997,5
138,1.38,0.62,0,4,3.642,0,0.38,1.642,2
139,1.45,0.55,0,4,3.26,0,0.45,1.2599999999999998,2
140,1.79,0.21,0,196,14.288,0,0.79,0.28800000000000026,14
141,1.61,0.39,0,324,18.676,0,0.61,0.6759999999999984,18
142,1.65,0.35,0,25,5.682,0,0.65,0.6820000000000004,5
143,1.36,0.64,0,25,6.76,0,0.36,1.7599999999999998,5
144,1.73,0.27,0,144,12.292,0,0.73,0.2919999999999998,12
145,1.46,0.54,0,49,8.344,0,0.46,1.3439999999999994,7
146,1.35,0.65,0,4,3.76,0,0.35,1.7599999999999998,2
147,1.54,0.46,0,81,9.846,0,0.54,0.8460000000000001,9
148,1.34,0.66,0,256,18.254,0,0.34,2.2540000000000013,16
149,1.77,0.23,0,196,14.272,0,0.77,0.27200000000000024,14
150,1.87,0.13,0,16,4.17,0,0.87,0.16999999999999993,4
151,1.48,0.52,0,36,7.2,0,0.48,1.2000000000000002,6
152,1.14,0.86,0,25,11.846,0,0.14,6.846,5
153,1.47,0.53,0,225,16.074,0,0.47,1.0740000000000016,15
154,1.63,0.37,0,81,9.598,0,0.63,0.5980000000000008,9
155,1.83,0.17,0,16,4.18,0,0.83,0.17999999999999972,4
156,1.72,0.28,0,9,3.362,0,0.72,0.3620000000000001,3
157,1.26,0.74,0,64,10.776,0,0.26,2.776,8
158,1.54,0.46,0,256,16.722,0,0.54,0.7220000000000013,16
159,1.38,0.62,0,1,2.648,0,0.38,1.6480000000000001,1
160,1.05,0.95,0,169,31.476,0,0.05,18.476,13
161,1.16,0.84,0,256,20.808,0,0.16,4.808,16
162,1.08,0.92,0,100,21.262,0,0.08,11.262,10
163,1.87,0.13,0,9,3.158,0,0.87,0.15799999999999992,3
164,1.5,0.5,0,36,7.064,0,0.5,1.064,6
165,1.15,0.85,0,196,19.642,0,0.15,5.6419999999999995,14
166,1.09,0.91,0,196,24.25,0,0.09,10.25,14
167,1.62,0.38,0,0,0.576,0,0.62,0.576,0
168,1.89,0.11,0,289,17.11,0,0.89,0.10999999999999943,17
169,1.06,0.94,0,289,31.592,0,0.06,14.591999999999999,17
170,1.28,0.72,0,324,20.404,0,0.28,2.404,18
171,1.91,0.09,0,25,5.106,0,0.91,0.10599999999999987,5
172,1.78,0.22,0,144,12.3,0,0.78,0.3000000000000007,12
173,1.23,0.77,0,100,13.582,0,0.23,3.5820000000000007,10
174,1.72,0.28,0,16,4.33,0,0.72,0.33000000000000007,4
175,1.26,0.74,0,169,16.03,0,0.26,3.030000000000001,13
176,1.15,0.85,0,400,25.756,0,0.15,5.756,20
177,1.77,0.23,0,4,2.262,0,0.77,0.262,2
178,1.16,0.84,0,169,18.522,0,0.16,5.5219999999999985,13
179,1.43,0.57,0,324,19.276,0,0.43,1.2759999999999998,18
180,1.59,0.41,0,100,10.716,0,0.59,0.7159999999999993,10
181,1.91,0.09,0,1,1.096,0,0.91,0.09600000000000009,1
182,1.7,0.3,0,256,16.406,0,0.7,0.4059999999999988,16
183,1.49,0.51,0,361,19.936,0,0.49,0.9359999999999999,19
184,1.31,0.69,0,289,19.174,0,0.31,2.1739999999999995,17
185,1.79,0.21,0,121,11.3,0,0.79,0.3000000000000007,11
186,1.59,0.41,0,256,16.67,0,0.59,0.6700000000000017,16
187,1.3,0.7,0,16,6.458,0,0.3,2.458,4
188,1.83,0.17,0,144,12.162,0,0.83,0.1620000000000008,12
189,1.94,0.06,0,289,17.068,0,0.94,0.06800000000000139,17
190,1.65,0.35,0,1,1.492,0,0.65,0.492,1
191,1.14,0.86,0,400,26.174,0,0.14,6.1739999999999995,20
192,1.33,0.67,0,1,3.176,0,0.33,2.176,1
193,1.51,0.49,0,196,15.038,0,0.51,1.0380000000000003,14
194,1.7,0.3,0,16,4.41,0,0.7,0.41000000000000014,4
195,1.42,0.58,0,256,17.324,0,0.42,1.3240000000000016,16
196,1.15,0.85,0,121,16.704,0,0.15,5.704000000000001,11
197,1.72,0.28,0,361,19.354,0,0.72,0.3539999999999992,19
198,1.87,0.13,0,196,14.17,0,0.87,0.16999999999999993,14
199,1.76,0.24,0,324,18.33,0,0.76,0.3299999999999983,18
200,1.3,0.7,0,144,14.544,0,0.3,2.5440000000000005,12
201,1.87,0.13,0,36,6.168,0,0.87,0.16800000000000015,6
