,G,flip,p1,post,pre,x,z
0,False,1,0.84,15,15,2,15
1,True,0,0.84,16,16,4,16
2,False,1,0.84,15,15,2,15
3,True,0,0.84,16,16,4,16
4,False,1,0.84,15,15,2,15
5,True,0,0.84,16,16,4,16
6,False,1,0.84,15,15,2,15
7,False,1,0.84,15,15,2,15
8,True,0,0.84,16,16,4,16
9,True,0,0.84,16,16,4,16
10,False,1,0.84,15,15,2,15
11,False,1,0.84,15,15,2,15
12,True,0,0.84,16,16,4,16
13,False,1,0.84,15,15,2,15
14,False,1,0.84,15,15,2,15
15,True,0,0.84,16,16,4,16
16,False,1,0.84,15,15,2,15
17,False,1,0.84,15,15,2,15
18,False,1,0.84,15,15,2,15
19,False,1,0.84,15,15,2,15
20,True,0,0.84,16,16,4,16
21,False,1,0.84,15,15,2,15
22,True,0,0.84,16,16,4,16
23,False,1,0.84,15,15,2,15
24,False,1,0.84,15,15,2,15
25,True,0,0.84,16,16,4,16
26,False,1,0.84,15,15,2,15
27,False,1,0.84,15,15,2,15
28,False,1,0.84,15,15,2,15
29,False,1,0.84,15,15,2,15
30,False,1,0.84,15,15,2,15
31,False,1,0.84,15,15,2,15
32,True,0,0.84,16,16,4,16
33,False,1,0.84,15,15,2,15
34,False,1,0.84,15,15,2,15
35,False,1,0.84,15,15,2,15
36,False,1,0.84,15,15,2,15
37,False,1,0.84,15,15,2,15
38,False,1,0.84,15,15,2,15
39,False,1,0.84,15,15,2,15
40,False,1,0.84,15,15,2,15
41,False,1,0.84,15,15,2,15
42,False,1,0.84,15,15,2,15
43,True,0,0.84,16,16,4,16
44,False,1,0.84,15,15,2,15
45,False,1,0.84,15,15,2,15
46,False,1,0.84,15,15,2,15
47,False,1,0.84,15,15,2,15
48,False,1,0.84,15,15,2,15
49,False,1,0.84,15,15,2,15
50,False,1,0.84,15,15,2,15
51,False,1,0.84,15,15,2,15
52,False,1,0.84,15,15,2,15
53,False,1,0.84,15,15,2,15
54,False,1,0.84,15,15,2,15
55,True,0,0.84,16,16,4,16
56,False,1,0.84,15,15,2,15
57,False,1,0.84,15,15,2,15
58,False,1,0.84,15,15,2,15
59,False,1,0.84,15,15,2,15
60,True,0,0.84,16,16,4,16
61,False,1,0.84,15,15,2,15
62,False,1,0.84,15,15,2,15
63,False,1,0.84,15,15,2,15
64,False,1,0.84,15,15,2,15
65,False,1,0.84,15,15,2,15
66,False,1,0.84,15,15,2,15
67,False,1,0.84,15,15,2,15
68,False,1,0.84,15,15,2,15
69,True,0,0.84,16,16,4,16
70,False,1,0.84,15,15,2,15
71,True,0,0.84,16,16,4,16
72,False,1,0.84,15,15,2,15
73,False,1,0.84,15,15,2,15
74,True,0,0.84,16,16,4,16
75,False,1,0.84,15,15,2,15
76,False,1,0.84,15,15,2,15
77,False,1,0.84,15,15,2,15
78,False,1,0.84,15,15,2,15
79,True,0,0.84,16,16,4,16
80,True,0,0.84,16,16,4,16
81,False,1,0.84,15,15,2,15
