,(1+p1),(1-p1),(flip*flip),(x*x),(x-z),(z*x),(z*z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
0,1.62,0.38,0,225,-4,285,361,34,4,19.658,0,0.62,0.6580000000000013,15,19
1,1.74,0.26,0,0,-9,0,81,9,9,9.406,0,0.74,0.4060000000000006,0,9
2,1.2,0.8,0,49,5,14,4,9,-5,6.2,0,0.2,4.2,7,2
3,1.54,0.46,0,144,-2,168,196,26,2,14.798,0,0.54,0.798,12,14
4,1.61,0.39,0,9,-7,30,100,13,7,10.612,0,0.61,0.6120000000000001,3,10
5,1.11,0.89,0,100,4,60,36,16,-4,13.778,0,0.11,7.7780000000000005,10,6
6,1.06,0.94,0,0,-16,0,256,16,16,31.578,0,0.06,15.578,0,16
7,1.78,0.22,0,16,-12,64,256,20,12,16.262,0,0.78,0.26200000000000045,4,16
8,1.75,0.25,0,4,-18,40,400,22,18,20.288,0,0.75,0.28800000000000026,2,20
9,1.69,0.31,0,49,-4,77,121,18,4,11.462,0,0.69,0.46199999999999974,7,11
10,1.52,0.48,0,4,-3,10,25,7,3,5.946,0,0.52,0.9459999999999997,2,5
11,1.36,0.64,0,1,1,0,0,1,-1,1.882,0,0.36,1.882,1,0
12,1.63,0.37,0,9,0,9,9,6,0,3.58,0,0.63,0.5800000000000001,3,3
13,1.09,0.91,0,64,-5,104,169,21,5,22.482,0,0.09,9.482,8,13
14,1.2,0.8,0,324,2,288,256,34,-2,19.698,0,0.2,3.6980000000000004,18,16
15,1.23,0.77,0,256,11,80,25,21,-11,8.434,0,0.23,3.4339999999999993,16,5
16,1.57,0.43,0,64,-6,112,196,22,6,14.776,0,0.57,0.7759999999999998,8,14
17,1.83,0.17,0,324,-2,360,400,38,2,20.21,0,0.83,0.21000000000000085,18,20
18,1.39,0.61,0,400,20,0,0,20,-20,1.49,0,0.39,1.49,20,0
19,1.4,0.6,0,256,8,128,64,24,-8,9.606,0,0.4,1.6059999999999999,16,8
20,1.75,0.25,0,64,-4,96,144,20,4,12.354,0,0.75,0.3539999999999992,8,12
21,1.77,0.23,0,196,14,0,0,14,-14,0.292,0,0.77,0.292,14,0
22,1.36,0.64,0,196,5,126,81,23,-5,10.764,0,0.36,1.7639999999999993,14,9
23,1.76,0.24,0,64,-1,72,81,17,1,9.32,0,0.76,0.3200000000000003,8,9
24,1.41,0.59,0,9,-8,33,121,14,8,12.544,0,0.41,1.5440000000000005,3,11
25,1.78,0.22,0,144,4,96,64,20,-4,8.282,0,0.78,0.28200000000000003,12,8
26,1.4,0.6,0,400,1,380,361,39,-1,20.426,0,0.4,1.4259999999999984,20,19
27,1.7,0.3,0,49,-7,98,196,21,7,14.424,0,0.7,0.4239999999999995,7,14
28,1.66,0.34,0,121,-1,132,144,23,1,12.556,0,0.66,0.5559999999999992,11,12
29,1.72,0.28,0,9,3,0,0,3,-3,0.378,0,0.72,0.378,3,0
30,1.32,0.68,0,324,14,72,16,22,-14,6.088,0,0.32,2.088,18,4
31,1.87,0.13,0,16,-4,32,64,12,4,8.182,0,0.87,0.18200000000000038,4,8
32,1.65,0.35,0,49,-7,98,196,21,7,14.596,0,0.65,0.5960000000000001,7,14
33,1.43,0.57,0,196,12,28,4,16,-12,3.364,0,0.43,1.3639999999999999,14,2
34,1.55,0.45,0,36,2,24,16,10,-2,4.796,0,0.55,0.7960000000000003,6,4
35,1.93,0.07,0,81,0,81,81,18,0,9.08,0,0.93,0.08000000000000007,9,9
36,1.16,0.84,0,400,19,20,1,21,-19,6.228,0,0.16,5.228,20,1
37,1.52,0.48,0,25,5,0,0,5,-5,0.926,0,0.52,0.926,5,0
38,1.79,0.21,0,225,11,60,16,19,-11,4.286,0,0.79,0.2859999999999996,15,4
39,1.06,0.94,0,100,2,80,64,18,-2,24.362,0,0.06,16.362,10,8
40,1.23,0.77,0,25,-7,60,144,17,7,15.072,0,0.23,3.071999999999999,5,12
41,1.46,0.54,0,36,-11,102,289,23,11,18.156,0,0.46,1.1559999999999988,6,17
42,1.7,0.3,0,400,20,0,0,20,-20,0.394,0,0.7,0.394,20,0
43,1.84,0.16,0,100,6,40,16,14,-6,4.186,0,0.84,0.18599999999999994,10,4
44,1.23,0.77,0,81,-8,153,289,26,8,20.148,0,0.23,3.1479999999999997,9,17
45,1.64,0.36,0,64,2,48,36,14,-2,6.566,0,0.64,0.5659999999999998,8,6
46,1.68,0.32,0,49,-9,112,256,23,9,16.436,0,0.68,0.43599999999999994,7,16
47,1.3,0.7,0,289,1,272,256,33,-1,18.476,0,0.3,2.475999999999999,17,16
48,1.22,0.78,0,64,7,8,1,9,-7,4.322,0,0.22,3.322,8,1
49,1.11,0.89,0,25,-10,75,225,20,10,22.73,0,0.11,7.73,5,15
50,1.32,0.68,0,0,-17,0,289,17,17,19.212,0,0.32,2.2119999999999997,0,17
51,1.62,0.38,0,1,-18,19,361,20,18,19.608,0,0.62,0.6080000000000005,1,19
52,1.7,0.3,0,100,-3,130,169,23,3,13.476,0,0.7,0.47600000000000087,10,13
53,1.82,0.18,0,64,-4,96,144,20,4,12.182,0,0.82,0.18200000000000038,8,12
54,1.51,0.49,0,169,8,65,25,18,-8,5.882,0,0.51,0.8819999999999997,13,5
55,1.1,0.9,0,0,-18,0,324,18,18,26.766,0,0.1,8.765999999999998,0,18
56,1.47,0.53,0,4,-6,16,64,10,6,9.16,0,0.47,1.1600000000000001,2,8
57,1.12,0.88,0,225,15,0,0,15,-15,7.244,0,0.12,7.244,15,0
58,1.76,0.24,0,289,15,34,4,19,-15,2.334,0,0.76,0.3340000000000001,17,2
59,1.43,0.57,0,100,-4,140,196,24,4,15.27,0,0.43,1.2699999999999996,10,14
60,1.49,0.51,0,169,13,0,0,13,-13,1.058,0,0.49,1.058,13,0
61,1.8,0.2,0,0,-18,0,324,18,18,18.24,0,0.8,0.23999999999999844,0,18
62,1.19,0.81,0,36,-3,54,81,15,3,13.16,0,0.19,4.16,6,9
63,1.18,0.82,0,36,2,24,16,10,-2,8.436,0,0.18,4.436,6,4
64,1.26,0.74,0,144,11,12,1,13,-11,3.978,0,0.26,2.978,12,1
65,1.21,0.79,0,4,-17,38,361,21,17,22.568,0,0.21,3.5680000000000014,2,19
66,1.54,0.46,0,361,19,0,0,19,-19,0.782,0,0.54,0.782,19,0
67,1.77,0.23,0,36,-14,120,400,26,14,20.326,0,0.77,0.3260000000000005,6,20
68,1.72,0.28,0,25,-12,85,289,22,12,17.368,0,0.72,0.36799999999999855,5,17
69,1.52,0.48,0,25,0,25,25,10,0,6.048,0,0.52,1.048,5,5
70,1.55,0.45,0,121,-8,209,361,30,8,19.78,0,0.55,0.7800000000000011,11,19
71,1.56,0.44,0,49,-7,98,196,21,7,14.808,0,0.56,0.8079999999999998,7,14
72,1.43,0.57,0,256,2,224,196,30,-2,15.242,0,0.43,1.2420000000000009,16,14
73,1.83,0.17,0,324,17,18,1,19,-17,1.226,0,0.83,0.22599999999999998,18,1
74,1.8,0.2,0,289,4,221,169,30,-4,13.232,0,0.8,0.23199999999999932,17,13
75,1.05,0.95,0,81,9,0,0,9,-9,18.416,0,0.05,18.416,9,0
76,1.33,0.67,0,144,-3,180,225,27,3,16.866,0,0.33,1.8659999999999997,12,15
77,1.16,0.84,0,225,11,60,16,19,-11,9.326,0,0.16,5.3260000000000005,15,4
78,1.81,0.19,0,121,4,77,49,18,-4,7.202,0,0.81,0.20199999999999996,11,7
79,1.45,0.55,0,169,-5,234,324,31,5,19.194,0,0.45,1.193999999999999,13,18
80,1.56,0.44,0,25,2,15,9,8,-2,3.822,0,0.56,0.8220000000000001,5,3
81,1.11,0.89,0,0,-18,0,324,18,18,26.404,0,0.11,8.404,0,18
82,1.47,0.53,0,225,15,0,0,15,-15,0.992,0,0.47,0.992,15,0
83,1.78,0.22,0,25,-12,85,289,22,12,17.244,0,0.78,0.24399999999999977,5,17
84,1.86,0.14,0,1,-7,8,64,9,7,8.146,0,0.86,0.1460000000000008,1,8
85,1.55,0.45,0,9,-16,57,361,22,16,19.856,0,0.55,0.8560000000000016,3,19
86,1.16,0.84,0,4,-6,16,64,10,6,13.158,0,0.16,5.1579999999999995,2,8
87,1.54,0.46,0,256,13,48,9,19,-13,3.814,0,0.54,0.8140000000000001,16,3
88,1.44,0.56,0,64,-8,128,256,24,8,17.206,0,0.44,1.2059999999999995,8,16
89,1.12,0.88,0,4,-16,36,324,20,16,25.312,0,0.12,7.312000000000001,2,18
90,1.77,0.23,0,169,6,91,49,20,-6,7.302,0,0.77,0.3019999999999996,13,7
91,1.78,0.22,0,400,20,0,0,20,-20,0.304,0,0.78,0.304,20,0
92,1.68,0.32,0,25,-5,50,100,15,5,10.484,0,0.68,0.484,5,10
93,1.4,0.6,0,36,-12,108,324,24,12,19.59,0,0.4,1.5899999999999999,6,18
94,1.22,0.78,0,64,-8,128,256,24,8,19.682,0,0.22,3.6819999999999986,8,16
95,1.07,0.93,0,361,17,38,4,21,-17,16.242,0,0.07,14.242,19,2
96,1.86,0.14,0,121,-6,187,289,28,6,17.152,0,0.86,0.15200000000000102,11,17
97,1.63,0.37,0,289,0,289,289,34,0,17.534,0,0.63,0.5339999999999989,17,17
98,1.68,0.32,0,49,-5,84,144,19,5,12.474,0,0.68,0.4740000000000002,7,12
99,1.83,0.17,0,400,16,80,16,24,-16,4.208,0,0.83,0.20800000000000018,20,4
100,1.66,0.34,0,400,9,220,121,31,-9,11.528,0,0.66,0.5280000000000005,20,11
101,1.11,0.89,0,36,3,18,9,9,-3,11.634,0,0.11,8.634,6,3
102,1.75,0.25,0,225,13,30,4,17,-13,2.346,0,0.75,0.3460000000000001,15,2
103,1.87,0.13,0,324,6,216,144,30,-6,12.15,0,0.87,0.15000000000000036,18,12
104,1.36,0.64,0,256,6,160,100,26,-6,11.692,0,0.36,1.6920000000000002,16,10
105,1.41,0.59,0,1,-14,15,225,16,14,16.49,0,0.41,1.4899999999999984,1,15
106,1.42,0.58,0,4,-4,12,36,8,4,7.296,0,0.42,1.2960000000000003,2,6
107,1.84,0.16,0,0,-10,0,100,10,10,10.212,0,0.84,0.21199999999999974,0,10
108,1.81,0.19,0,64,-1,72,81,17,1,9.252,0,0.81,0.25200000000000067,8,9
109,1.43,0.57,0,289,16,17,1,18,-16,2.516,0,0.43,1.516,17,1
110,1.47,0.53,0,4,-5,14,49,9,5,8.174,0,0.47,1.1739999999999995,2,7
111,1.85,0.15,0,16,-6,40,100,14,6,10.164,0,0.85,0.1639999999999997,4,10
112,1.78,0.22,0,81,6,27,9,12,-6,3.292,0,0.78,0.2919999999999998,9,3
113,1.62,0.38,0,121,-4,165,225,26,4,15.604,0,0.62,0.6039999999999992,11,15
114,1.26,0.74,0,400,6,280,196,34,-6,16.754,0,0.26,2.7540000000000013,20,14
115,1.72,0.28,0,196,-5,266,361,33,5,19.358,0,0.72,0.35800000000000054,14,19
116,1.34,0.66,0,100,9,10,1,11,-9,2.916,0,0.34,1.916,10,1
117,1.32,0.68,0,361,19,0,0,19,-19,2.178,0,0.32,2.178,19,0
118,1.9,0.1,0,144,5,84,49,19,-5,7.138,0,0.9,0.1379999999999999,12,7
119,1.07,0.93,0,225,8,105,49,22,-8,20.112,0,0.07,13.111999999999998,15,7
120,1.33,0.67,0,225,3,180,144,27,-3,14.322,0,0.33,2.321999999999999,15,12
121,1.79,0.21,0,0,-16,0,256,16,16,16.216,0,0.79,0.21600000000000108,0,16
122,1.72,0.28,0,256,1,240,225,31,-1,15.36,0,0.72,0.35999999999999943,16,15
123,1.54,0.46,0,64,7,8,1,9,-7,1.876,0,0.54,0.8759999999999999,8,1
124,1.71,0.29,0,0,-3,0,9,3,3,3.424,0,0.71,0.42399999999999993,0,3
125,1.66,0.34,0,81,-6,135,225,24,6,15.586,0,0.66,0.5860000000000003,9,15
126,1.59,0.41,0,0,-6,0,36,6,6,6.668,0,0.59,0.6680000000000001,0,6
127,1.27,0.73,0,81,-8,153,289,26,8,19.636,0,0.27,2.6359999999999992,9,17
128,1.59,0.41,0,16,1,12,9,7,-1,3.726,0,0.59,0.726,4,3
129,1.22,0.78,0,16,-14,72,324,22,14,21.792,0,0.22,3.7920000000000016,4,18
130,1.49,0.51,0,0,-12,0,144,12,12,13.064,0,0.49,1.064,0,12
131,1.44,0.56,0,25,2,15,9,8,-2,4.33,0,0.44,1.33,5,3
132,1.8,0.2,0,100,-7,170,289,27,7,17.242,0,0.8,0.24200000000000088,10,17
133,1.15,0.85,0,25,-5,50,100,15,5,15.97,0,0.15,5.970000000000001,5,10
134,1.75,0.25,0,64,-11,152,361,27,11,19.366,0,0.75,0.36599999999999966,8,19
135,1.42,0.58,0,196,9,70,25,19,-9,6.472,0,0.42,1.4720000000000004,14,5
136,1.76,0.24,0,225,4,165,121,26,-4,11.316,0,0.76,0.3160000000000007,15,11
137,1.37,0.63,0,9,-6,27,81,12,6,10.834,0,0.37,1.8339999999999996,3,9
138,1.63,0.37,0,4,-1,6,9,5,1,3.598,0,0.63,0.5979999999999999,2,3
139,1.79,0.21,0,169,-7,260,400,33,7,20.25,0,0.79,0.25,13,20
140,1.69,0.31,0,9,-14,51,289,20,14,17.396,0,0.69,0.3960000000000008,3,17
141,1.6,0.4,0,49,-8,105,225,22,8,15.704,0,0.6,0.7040000000000006,7,15
