,G,p,post,pre,x,y,z
0,False,0.89,20,20,20,4,0
1,False,0.89,20,20,20,4,0
2,False,0.89,20,20,20,4,0
3,False,0.89,20,20,20,4,0
4,False,0.89,20,20,20,4,0
5,False,0.89,20,20,20,4,0
6,False,0.89,20,20,20,4,0
7,False,0.89,20,20,20,4,0
8,False,0.89,20,20,20,4,0
9,False,0.89,20,20,20,4,0
10,False,0.89,20,20,20,4,0
11,False,0.89,20,20,20,4,0
12,False,0.89,20,20,20,4,0
13,False,0.89,20,20,20,4,0
14,True,0.89,24,24,24,4,1
15,False,0.89,20,20,20,4,0
16,False,0.89,20,20,20,4,0
17,False,0.89,20,20,20,4,0
18,True,0.89,24,24,24,4,1
19,False,0.89,20,20,20,4,0
20,False,0.89,20,20,20,4,0
21,False,0.89,20,20,20,4,0
22,False,0.89,20,20,20,4,0
23,False,0.89,20,20,20,4,0
24,False,0.89,20,20,20,4,0
25,False,0.89,20,20,20,4,0
26,False,0.89,20,20,20,4,0
27,False,0.89,20,20,20,4,0
28,False,0.89,20,20,20,4,0
29,False,0.89,20,20,20,4,0
30,False,0.89,20,20,20,4,0
31,False,0.89,20,20,20,4,0
32,False,0.89,20,20,20,4,0
33,False,0.89,20,20,20,4,0
34,False,0.89,20,20,20,4,0
35,True,0.89,24,24,24,4,1
36,False,0.89,20,20,20,4,0
37,False,0.89,20,20,20,4,0
38,False,0.89,20,20,20,4,0
39,False,0.89,20,20,20,4,0
40,True,0.89,24,24,24,4,1
41,False,0.89,20,20,20,4,0
42,False,0.89,20,20,20,4,0
43,False,0.89,20,20,20,4,0
44,False,0.89,20,20,20,4,0
45,True,0.89,24,24,24,4,1
46,False,0.89,20,20,20,4,0
47,False,0.89,20,20,20,4,0
48,True,0.89,24,24,24,4,1
49,False,0.89,20,20,20,4,0
50,False,0.89,20,20,20,4,0
51,False,0.89,20,20,20,4,0
52,False,0.89,20,20,20,4,0
53,False,0.89,20,20,20,4,0
54,True,0.89,24,24,24,4,1
55,False,0.89,20,20,20,4,0
56,False,0.89,20,20,20,4,0
57,False,0.89,20,20,20,4,0
58,True,0.89,24,24,24,4,1
59,False,0.89,20,20,20,4,0
60,False,0.89,20,20,20,4,0
61,False,0.89,20,20,20,4,0
62,False,0.89,20,20,20,4,0
63,False,0.89,20,20,20,4,0
64,False,0.89,20,20,20,4,0
65,False,0.89,20,20,20,4,0
66,False,0.89,20,20,20,4,0
67,False,0.89,20,20,20,4,0
68,False,0.89,20,20,20,4,0
69,False,0.89,20,20,20,4,0
70,False,0.89,20,20,20,4,0
71,False,0.89,20,20,20,4,0
72,False,0.89,20,20,20,4,0
73,False,0.89,20,20,20,4,0
74,False,0.89,20,20,20,4,0
75,False,0.89,20,20,20,4,0
76,False,0.89,20,20,20,4,0
77,False,0.89,20,20,20,4,0
78,False,0.89,20,20,20,4,0
79,False,0.89,20,20,20,4,0
80,False,0.89,20,20,20,4,0
81,False,0.89,20,20,20,4,0
82,False,0.89,20,20,20,4,0
83,False,0.89,20,20,20,4,0
84,False,0.89,20,20,20,4,0
85,True,0.89,24,24,24,4,1
86,False,0.89,20,20,20,4,0
87,False,0.89,20,20,20,4,0
88,False,0.89,20,20,20,4,0
89,False,0.89,20,20,20,4,0
90,False,0.89,20,20,20,4,0
91,False,0.89,20,20,20,4,0
92,True,0.89,24,24,24,4,1
93,False,0.89,20,20,20,4,0
94,False,0.89,20,20,20,4,0
95,False,0.89,20,20,20,4,0
96,False,0.89,20,20,20,4,0
97,False,0.89,20,20,20,4,0
98,False,0.89,20,20,20,4,0
99,False,0.89,20,20,20,4,0
100,True,0.89,24,24,24,4,1
101,False,0.89,20,20,20,4,0
102,False,0.89,20,20,20,4,0
103,False,0.89,20,20,20,4,0
104,False,0.89,20,20,20,4,0
105,False,0.89,20,20,20,4,0
106,False,0.89,20,20,20,4,0
107,False,0.89,20,20,20,4,0
108,False,0.89,20,20,20,4,0
109,False,0.89,20,20,20,4,0
110,False,0.89,20,20,20,4,0
111,False,0.89,20,20,20,4,0
112,False,0.89,20,20,20,4,0
113,False,0.89,20,20,20,4,0
114,False,0.89,20,20,20,4,0
115,True,0.89,24,24,24,4,1
116,False,0.89,20,20,20,4,0
117,False,0.89,20,20,20,4,0
118,False,0.89,20,20,20,4,0
119,False,0.89,20,20,20,4,0
120,False,0.89,20,20,20,4,0
121,False,0.89,20,20,20,4,0
122,False,0.89,20,20,20,4,0
123,True,0.89,24,24,24,4,1
124,False,0.89,20,20,20,4,0
125,True,0.89,24,24,24,4,1
126,False,0.89,20,20,20,4,0
127,False,0.89,20,20,20,4,0
128,False,0.89,20,20,20,4,0
129,False,0.89,20,20,20,4,0
130,False,0.89,20,20,20,4,0
131,True,0.89,24,24,24,4,1
132,False,0.89,20,20,20,4,0
133,False,0.89,20,20,20,4,0
134,False,0.89,20,20,20,4,0
135,False,0.89,20,20,20,4,0
136,False,0.89,20,20,20,4,0
137,False,0.89,20,20,20,4,0
138,False,0.89,20,20,20,4,0
139,False,0.89,20,20,20,4,0
140,False,0.89,20,20,20,4,0
141,False,0.89,20,20,20,4,0
142,False,0.89,20,20,20,4,0
143,False,0.89,20,20,20,4,0
144,True,0.89,24,24,24,4,1
145,False,0.89,20,20,20,4,0
146,True,0.89,24,24,24,4,1
147,False,0.89,20,20,20,4,0
148,False,0.89,20,20,20,4,0
149,False,0.89,20,20,20,4,0
150,False,0.89,20,20,20,4,0
151,False,0.89,20,20,20,4,0
152,False,0.89,20,20,20,4,0
153,False,0.89,20,20,20,4,0
154,False,0.89,20,20,20,4,0
155,False,0.89,20,20,20,4,0
156,False,0.89,20,20,20,4,0
157,True,0.89,24,24,24,4,1
158,False,0.89,20,20,20,4,0
159,False,0.89,20,20,20,4,0
160,False,0.89,20,20,20,4,0
161,False,0.89,20,20,20,4,0
162,False,0.89,20,20,20,4,0
163,False,0.89,20,20,20,4,0
164,False,0.89,20,20,20,4,0
165,True,0.89,24,24,24,4,1
166,False,0.89,20,20,20,4,0
167,False,0.89,20,20,20,4,0
168,False,0.89,20,20,20,4,0
169,False,0.89,20,20,20,4,0
170,True,0.89,24,24,24,4,1
171,False,0.89,20,20,20,4,0
172,False,0.89,20,20,20,4,0
173,False,0.89,20,20,20,4,0
174,False,0.89,20,20,20,4,0
175,False,0.89,20,20,20,4,0
176,False,0.89,20,20,20,4,0
177,False,0.89,20,20,20,4,0
178,False,0.89,20,20,20,4,0
179,False,0.89,20,20,20,4,0
180,False,0.89,20,20,20,4,0
181,False,0.89,20,20,20,4,0
182,False,0.89,20,20,20,4,0
183,False,0.89,20,20,20,4,0
184,False,0.89,20,20,20,4,0
185,False,0.89,20,20,20,4,0
186,False,0.89,20,20,20,4,0
187,False,0.89,20,20,20,4,0
188,False,0.89,20,20,20,4,0
189,False,0.89,20,20,20,4,0
190,False,0.89,20,20,20,4,0
191,False,0.89,20,20,20,4,0
192,False,0.89,20,20,20,4,0
193,False,0.89,20,20,20,4,0
194,False,0.89,20,20,20,4,0
195,False,0.89,20,20,20,4,0
196,False,0.89,20,20,20,4,0
197,False,0.89,20,20,20,4,0
198,False,0.89,20,20,20,4,0
199,True,0.89,24,24,24,4,1
200,False,0.89,20,20,20,4,0
201,False,0.89,20,20,20,4,0
202,True,0.89,24,24,24,4,1
203,False,0.89,20,20,20,4,0
204,False,0.89,20,20,20,4,0
205,False,0.89,20,20,20,4,0
206,False,0.89,20,20,20,4,0
207,False,0.89,20,20,20,4,0
208,False,0.89,20,20,20,4,0
209,False,0.89,20,20,20,4,0
210,True,0.89,24,24,24,4,1
211,True,0.89,24,24,24,4,1
212,False,0.89,20,20,20,4,0
213,False,0.89,20,20,20,4,0
214,False,0.89,20,20,20,4,0
215,False,0.89,20,20,20,4,0
216,False,0.89,20,20,20,4,0
217,True,0.89,24,24,24,4,1
218,False,0.89,20,20,20,4,0
219,False,0.89,20,20,20,4,0
220,False,0.89,20,20,20,4,0
221,False,0.89,20,20,20,4,0
222,False,0.89,20,20,20,4,0
223,False,0.89,20,20,20,4,0
224,False,0.89,20,20,20,4,0
225,False,0.89,20,20,20,4,0
226,False,0.89,20,20,20,4,0
227,False,0.89,20,20,20,4,0
228,False,0.89,20,20,20,4,0
229,False,0.89,20,20,20,4,0
230,False,0.89,20,20,20,4,0
231,False,0.89,20,20,20,4,0
232,False,0.89,20,20,20,4,0
233,False,0.89,20,20,20,4,0
234,False,0.89,20,20,20,4,0
235,False,0.89,20,20,20,4,0
236,False,0.89,20,20,20,4,0
237,False,0.89,20,20,20,4,0
238,False,0.89,20,20,20,4,0
239,False,0.89,20,20,20,4,0
240,False,0.89,20,20,20,4,0
241,False,0.89,20,20,20,4,0
242,True,0.89,24,24,24,4,1
243,False,0.89,20,20,20,4,0
244,False,0.89,20,20,20,4,0
245,False,0.89,20,20,20,4,0
246,False,0.89,20,20,20,4,0
247,False,0.89,20,20,20,4,0
248,False,0.89,20,20,20,4,0
249,True,0.89,24,24,24,4,1
250,False,0.89,20,20,20,4,0
251,False,0.89,20,20,20,4,0
252,False,0.89,20,20,20,4,0
253,False,0.89,20,20,20,4,0
254,False,0.89,20,20,20,4,0
255,False,0.89,20,20,20,4,0
256,False,0.89,20,20,20,4,0
257,False,0.89,20,20,20,4,0
258,False,0.89,20,20,20,4,0
259,False,0.89,20,20,20,4,0
260,False,0.89,20,20,20,4,0
261,False,0.89,20,20,20,4,0
262,False,0.89,20,20,20,4,0
263,False,0.89,20,20,20,4,0
264,True,0.89,24,24,24,4,1
265,False,0.89,20,20,20,4,0
266,False,0.89,20,20,20,4,0
267,False,0.89,20,20,20,4,0
268,False,0.89,20,20,20,4,0
269,False,0.89,20,20,20,4,0
270,False,0.89,20,20,20,4,0
271,False,0.89,20,20,20,4,0
272,False,0.89,20,20,20,4,0
273,False,0.89,20,20,20,4,0
274,False,0.89,20,20,20,4,0
275,False,0.89,20,20,20,4,0
276,False,0.89,20,20,20,4,0
277,False,0.89,20,20,20,4,0
278,False,0.89,20,20,20,4,0
279,True,0.89,24,24,24,4,1
280,False,0.89,20,20,20,4,0
281,True,0.89,24,24,24,4,1
282,False,0.89,20,20,20,4,0
283,False,0.89,20,20,20,4,0
284,False,0.89,20,20,20,4,0
285,False,0.89,20,20,20,4,0
286,False,0.89,20,20,20,4,0
287,False,0.89,20,20,20,4,0
288,False,0.89,20,20,20,4,0
289,True,0.89,24,24,24,4,1
290,False,0.89,20,20,20,4,0
291,False,0.89,20,20,20,4,0
292,True,0.89,24,24,24,4,1
