,((p+(1/p))-p*(1/p)),(1+(1/p)),(1+p),(1-(1/p)),(1-p),(1/p),(p*(1/p)),(p+(1/p)),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),(z*z),expected_post,p,post-init,x,y,z
0,1.01,2.1,1.91,-0.1,0.09,1.1,1.0,2.01,361,190,29,9,100,-9,1,20.192,0.91,1.1920000000000002,19,10,1
1,15.73,17.67,1.06,-15.67,0.94,16.67,1.0,16.73,16,4,5,3,1,-3,1,295.33,0.06,291.33,4,1,1
2,1.06,2.27,1.79,-0.27,0.21,1.27,1.0,2.06,36,42,13,-1,49,1,1,8.206,0.79,2.2059999999999995,6,7,1
3,1.02,2.14,1.88,-0.14,0.12,1.14,1.0,2.02,400,80,24,16,16,-16,1,20.808,0.88,0.8079999999999998,20,4,1
4,1.9,3.5,1.4,-1.5,0.6,2.5,1.0,2.9,400,120,26,14,36,-14,1,32.118,0.4,12.118000000000002,20,6,1
5,1.28,2.69,1.59,-0.69,0.41,1.69,1.0,2.28,81,90,19,-1,100,1,1,17.412,0.59,8.411999999999999,9,10,1
6,1.01,2.1,1.91,-0.1,0.09,1.1,1.0,2.01,400,220,31,9,121,-9,1,21.004,0.91,1.0040000000000013,20,11,1
7,1.01,2.09,1.92,-0.09,0.08,1.09,1.0,2.01,16,32,12,-4,64,4,1,4.816,0.92,0.8159999999999998,4,8,1
8,1.63,3.17,1.46,-1.17,0.54,2.17,1.0,2.63,400,60,23,17,9,-17,1,25.77,0.46,5.77,20,3,1
9,3.58,5.35,1.23,-3.35,0.77,4.35,1.0,4.58,16,0,4,4,0,-4,1,19.732,0.23,15.732,4,0,1
10,1.02,2.14,1.88,-0.14,0.12,1.14,1.0,2.02,361,133,26,12,49,-12,1,19.998,0.88,0.9980000000000011,19,7,1
11,1.23,2.61,1.62,-0.61,0.38,1.61,1.0,2.23,324,216,30,6,144,-6,1,26.398,0.62,8.398,18,12,1
12,1.01,2.1,1.91,-0.1,0.09,1.1,1.0,2.01,49,28,11,3,16,-3,1,7.47,0.91,0.46999999999999975,7,4,1
13,1.03,2.2,1.83,-0.2,0.17,1.2,1.0,2.03,196,238,31,-3,289,3,1,17.52,0.83,3.5199999999999996,14,17,1
14,2.63,4.33,1.3,-2.33,0.7,3.33,1.0,3.63,1,12,13,-11,144,11,1,39.236,0.3,38.236,1,12,1
15,1.01,2.12,1.89,-0.12,0.11,1.12,1.0,2.01,16,52,17,-9,169,9,1,5.736,0.89,1.7359999999999998,4,13,1
16,13.36,15.29,1.07,-13.29,0.93,14.29,1.0,14.36,225,255,32,-2,289,2,1,450.624,0.07,435.624,15,17,1
17,2.85,4.57,1.28,-2.57,0.72,3.57,1.0,3.85,289,119,24,10,49,-10,1,45.328,0.28,28.328000000000003,17,7,1
18,3.77,5.55,1.22,-3.55,0.78,4.55,1.0,4.77,16,36,13,-5,81,5,1,50.65,0.22,46.65,4,9,1
19,1.28,2.69,1.59,-0.69,0.41,1.69,1.0,2.28,361,342,37,1,324,-1,1,31.306,0.59,12.306000000000001,19,18,1
20,10.2,12.11,1.09,-10.11,0.91,11.11,1.0,11.2,196,126,23,5,81,-5,1,211.026,0.09,197.026,14,9,1
21,6.82,8.69,1.13,-6.69,0.87,7.69,1.0,7.82,9,21,10,-4,49,4,1,94.586,0.13,91.586,3,7,1
22,3.97,5.76,1.21,-3.76,0.79,4.76,1.0,4.97,256,80,21,11,25,-11,1,53.986,0.21,37.986,16,5,1
23,2.36,4.03,1.33,-2.03,0.67,3.03,1.0,3.36,144,132,23,1,121,-1,1,43.756,0.33,31.756,12,11,1
24,1.56,3.08,1.48,-1.08,0.52,2.08,1.0,2.56,400,40,22,18,4,-18,1,23.948,0.48,3.9480000000000004,20,2,1
25,10.2,12.11,1.09,-10.11,0.91,11.11,1.0,11.2,0,0,14,-14,196,14,1,269.748,0.09,269.748,0,14,1
26,1.15,2.47,1.68,-0.47,0.32,1.47,1.0,2.15,49,56,15,-1,64,1,1,12.042,0.68,5.042,7,8,1
27,3.77,5.55,1.22,-3.55,0.78,4.55,1.0,4.77,196,168,26,2,144,-2,1,79.534,0.22,65.534,14,12,1
28,2.14,3.78,1.36,-1.78,0.64,2.78,1.0,3.14,81,81,18,0,81,0,1,29.988,0.36,20.988,9,9,1
29,1.1,2.37,1.73,-0.37,0.27,1.37,1.0,2.1,9,24,11,-5,64,5,1,6.382,0.73,3.3819999999999997,3,8,1
30,5.41,7.25,1.16,-5.25,0.84,6.25,1.0,6.41,25,35,12,-2,49,2,1,74.606,0.16,69.606,5,7,1
31,1.04,2.23,1.81,-0.23,0.19,1.23,1.0,2.04,49,49,14,0,49,0,1,8.73,0.81,1.7300000000000004,7,7,1
