,(1+p),(1-p),(b*b),(b*c),(b+c),(b-c),(b-rounds),(c*c),(c-b),(c-rounds),(rounds*b),(rounds*c),(rounds*rounds),(rounds+b),(rounds+c),(rounds-b),(rounds-c),b,c,expected_post,p,post-init,rounds
0,1.24,0.76,144,132,23,1,0,121,-1,-1,144,132,144,24,23,0,1,12,11,16.108,0.24,4.1080000000000005,12
1,1.84,0.16,400,140,27,13,15,49,-13,2,100,35,25,25,12,-15,-2,20,7,6.218,0.84,1.218,5
2,1.3,0.7,16,68,21,-13,-10,289,13,3,56,238,196,18,31,10,-3,4,17,17.292,0.3,3.2920000000000016,14
3,1.4,0.6,36,6,7,5,-6,1,-5,-11,72,12,144,18,13,6,11,6,1,14.482,0.4,2.4819999999999993,12
4,1.77,0.23,169,52,17,9,8,16,-9,-1,65,20,25,18,9,-8,1,13,4,6.312,0.77,1.3120000000000003,5
5,1.1,0.9,144,240,32,-8,-6,400,8,2,216,360,324,30,38,6,-2,12,20,28.3,0.1,10.3,18
6,1.13,0.87,4,30,17,-13,-2,225,13,11,8,60,16,6,19,2,-11,2,15,11.288,0.13,7.288,4
7,1.37,0.63,121,121,22,0,9,121,0,9,22,22,4,13,13,-9,-9,11,11,4.666,0.37,2.6660000000000004,2
8,1.56,0.44,324,306,35,1,7,289,-1,6,198,187,121,29,28,-7,-6,18,17,12.766,0.56,1.766,11
9,1.72,0.28,1,14,15,-13,-19,196,13,-6,20,280,400,21,34,19,6,1,14,21.41,0.72,1.4100000000000001,20
10,1.4,0.6,64,72,17,-1,7,81,1,8,8,9,1,9,10,-7,-8,8,9,3.37,0.4,2.37,1
11,1.82,0.18,256,112,23,9,15,49,-9,6,16,7,1,17,8,-15,-6,16,7,2.21,0.82,1.21,1
12,1.48,0.52,81,144,25,-7,4,256,7,11,45,80,25,14,21,-4,-11,9,16,7.088,0.48,2.088,5
13,1.64,0.36,4,36,20,-16,-4,324,16,12,12,108,36,8,24,4,-12,2,18,7.504,0.64,1.5039999999999996,6
14,1.52,0.48,81,144,25,-7,-11,256,7,-4,180,320,400,29,36,11,4,9,16,21.914,0.52,1.9140000000000015,20
15,1.59,0.41,225,285,34,-4,4,361,4,8,165,209,121,26,30,-4,-8,15,19,12.684,0.59,1.6839999999999993,11
16,1.21,0.79,225,255,32,-2,12,289,2,14,45,51,9,18,20,-12,-14,15,17,7.866,0.21,4.866,3
17,1.64,0.36,9,24,11,-5,-3,64,5,2,18,48,36,9,14,3,-2,3,8,7.56,0.64,1.5599999999999996,6
18,1.32,0.68,49,126,25,-11,-6,324,11,5,91,234,169,20,31,6,-5,7,18,16.202,0.32,3.2020000000000017,13
19,1.21,0.79,1,16,17,-15,-7,256,15,8,8,128,64,9,24,7,-8,1,16,12.41,0.21,4.41,8
20,1.09,0.91,256,208,29,3,15,169,-3,12,16,13,1,17,14,-15,-12,16,13,12.274,0.09,11.274,1
21,1.67,0.33,4,30,17,-13,-13,225,13,0,30,225,225,17,30,13,0,2,15,16.518,0.67,1.5180000000000007,15
22,1.54,0.46,256,128,24,8,15,64,-8,7,16,8,1,17,9,-15,-7,16,8,2.808,0.54,1.8079999999999998,1
23,1.42,0.58,25,40,13,-3,4,64,3,7,5,8,1,6,9,-4,-7,5,8,3.376,0.42,2.376,1
24,1.8,0.2,225,285,34,-4,2,361,4,6,195,247,169,28,32,-2,-6,15,19,14.262,0.8,1.2620000000000005,13
25,1.55,0.45,400,320,36,4,12,256,-4,8,160,128,64,28,24,-12,-8,20,16,9.78,0.55,1.7799999999999994,8
26,1.82,0.18,81,135,24,-6,5,225,6,11,36,60,16,13,19,-5,-11,9,15,5.228,0.82,1.2279999999999998,4
