,G,p1,p2,post,pre,x
0,False,0.73,0.41,0,0,-1
1,True,0.73,0.41,0,0,0
2,True,0.73,0.41,0,0,0
3,True,0.73,0.41,0,0,0
4,True,0.73,0.41,0,0,0
5,False,0.73,0.41,0,0,-1
6,False,0.73,0.41,0,0,-1
7,True,0.73,0.41,0,0,0
8,True,0.73,0.41,0,0,0
9,True,0.73,0.41,0,0,0
10,True,0.73,0.41,0,0,0
11,True,0.73,0.41,0,0,0
12,True,0.73,0.41,0,0,0
13,True,0.73,0.41,0,0,0
14,True,0.73,0.41,0,0,0
15,True,0.73,0.41,0,0,0
16,True,0.73,0.41,0,0,0
17,True,0.73,0.41,0,0,0
18,True,0.73,0.41,0,0,0
19,True,0.73,0.41,0,0,0
20,True,0.73,0.41,0,0,0
21,True,0.73,0.41,0,0,0
22,True,0.73,0.41,0,0,0
23,False,0.73,0.41,1,1,1
24,True,0.73,0.41,0,0,0
25,False,0.73,0.41,0,0,-1
26,False,0.73,0.41,0,0,-1
27,False,0.73,0.41,1,1,1
28,True,0.73,0.41,0,0,0
29,False,0.73,0.41,1,1,1
30,True,0.73,0.41,0,0,0
31,True,0.73,0.41,0,0,0
32,False,0.73,0.41,1,1,1
33,False,0.73,0.41,1,1,1
34,False,0.73,0.41,0,0,-1
35,True,0.73,0.41,0,0,0
36,True,0.73,0.41,0,0,0
37,True,0.73,0.41,0,0,0
38,False,0.73,0.41,0,0,-1
39,True,0.73,0.41,0,0,0
40,False,0.73,0.41,1,1,1
41,False,0.73,0.41,0,0,-1
42,False,0.73,0.41,0,0,-1
43,False,0.73,0.41,0,0,-1
44,False,0.73,0.41,1,1,1
45,True,0.73,0.41,0,0,0
46,True,0.73,0.41,0,0,0
47,False,0.73,0.41,1,1,1
48,True,0.73,0.41,0,0,0
49,True,0.73,0.41,0,0,0
50,True,0.73,0.41,0,0,0
51,False,0.73,0.41,1,1,1
52,True,0.73,0.41,0,0,0
53,False,0.73,0.41,1,1,1
54,True,0.73,0.41,0,0,0
55,False,0.73,0.41,1,1,1
56,True,0.73,0.41,0,0,0
57,False,0.73,0.41,1,1,1
58,True,0.73,0.41,0,0,0
59,True,0.73,0.41,0,0,0
60,True,0.73,0.41,0,0,0
61,False,0.73,0.41,1,1,1
62,True,0.73,0.41,0,0,0
63,False,0.73,0.41,1,1,1
64,True,0.73,0.41,0,0,0
65,True,0.73,0.41,0,0,0
66,True,0.73,0.41,0,0,0
67,False,0.73,0.41,1,1,1
68,True,0.73,0.41,0,0,0
69,True,0.73,0.41,0,0,0
70,False,0.73,0.41,1,1,1
71,True,0.73,0.41,0,0,0
72,True,0.73,0.41,0,0,0
73,False,0.73,0.41,0,0,-1
74,True,0.73,0.41,0,0,0
75,True,0.73,0.41,0,0,0
76,False,0.73,0.41,1,1,1
77,True,0.73,0.41,0,0,0
78,True,0.73,0.41,0,0,0
79,True,0.73,0.41,0,0,0
80,False,0.73,0.41,1,1,1
81,True,0.73,0.41,0,0,0
82,False,0.73,0.41,1,1,1
83,True,0.73,0.41,0,0,0
84,True,0.73,0.41,0,0,0
85,True,0.73,0.41,0,0,0
86,False,0.73,0.41,1,1,1
87,False,0.73,0.41,0,0,-1
88,True,0.73,0.41,0,0,0
89,False,0.73,0.41,0,0,-1
90,True,0.73,0.41,0,0,0
91,True,0.73,0.41,0,0,0
92,False,0.73,0.41,1,1,1
93,True,0.73,0.41,0,0,0
94,True,0.73,0.41,0,0,0
95,True,0.73,0.41,0,0,0
96,True,0.73,0.41,0,0,0
97,True,0.73,0.41,0,0,0
98,True,0.73,0.41,0,0,0
99,False,0.73,0.41,1,1,1
100,True,0.73,0.41,0,0,0
101,True,0.73,0.41,0,0,0
102,True,0.73,0.41,0,0,0
103,True,0.73,0.41,0,0,0
104,False,0.73,0.41,0,0,-1
105,True,0.73,0.41,0,0,0
106,True,0.73,0.41,0,0,0
107,True,0.73,0.41,0,0,0
108,True,0.73,0.41,0,0,0
109,True,0.73,0.41,0,0,0
110,False,0.73,0.41,1,1,1
111,False,0.73,0.41,1,1,1
112,True,0.73,0.41,0,0,0
113,False,0.73,0.41,0,0,-1
114,False,0.73,0.41,0,0,-1
115,False,0.73,0.41,0,0,-1
116,True,0.73,0.41,0,0,0
117,True,0.73,0.41,0,0,0
118,True,0.73,0.41,0,0,0
119,False,0.73,0.41,1,1,1
120,True,0.73,0.41,0,0,0
121,True,0.73,0.41,0,0,0
122,True,0.73,0.41,0,0,0
123,True,0.73,0.41,0,0,0
124,True,0.73,0.41,0,0,0
125,True,0.73,0.41,0,0,0
126,False,0.73,0.41,0,0,-1
127,False,0.73,0.41,1,1,1
128,True,0.73,0.41,0,0,0
129,True,0.73,0.41,0,0,0
130,False,0.73,0.41,0,0,-1
131,True,0.73,0.41,0,0,0
132,False,0.73,0.41,1,1,1
133,True,0.73,0.41,0,0,0
134,False,0.73,0.41,1,1,1
135,True,0.73,0.41,0,0,0
136,False,0.73,0.41,1,1,1
137,True,0.73,0.41,0,0,0
138,True,0.73,0.41,0,0,0
139,True,0.73,0.41,0,0,0
140,False,0.73,0.41,1,1,1
141,True,0.73,0.41,0,0,0
142,True,0.73,0.41,0,0,0
143,True,0.73,0.41,0,0,0
144,True,0.73,0.41,0,0,0
145,True,0.73,0.41,0,0,0
146,True,0.73,0.41,0,0,0
147,True,0.73,0.41,0,0,0
148,True,0.73,0.41,0,0,0
149,True,0.73,0.41,0,0,0
150,False,0.73,0.41,1,1,1
151,True,0.73,0.41,0,0,0
152,False,0.73,0.41,0,0,-1
153,True,0.73,0.41,0,0,0
154,True,0.73,0.41,0,0,0
155,True,0.73,0.41,0,0,0
156,True,0.73,0.41,0,0,0
157,True,0.73,0.41,0,0,0
158,True,0.73,0.41,0,0,0
159,False,0.73,0.41,1,1,1
160,True,0.73,0.41,0,0,0
161,True,0.73,0.41,0,0,0
162,False,0.73,0.41,1,1,1
163,True,0.73,0.41,0,0,0
164,False,0.73,0.41,1,1,1
165,True,0.73,0.41,0,0,0
166,True,0.73,0.41,0,0,0
167,True,0.73,0.41,0,0,0
168,False,0.73,0.41,1,1,1
169,True,0.73,0.41,0,0,0
170,True,0.73,0.41,0,0,0
171,True,0.73,0.41,0,0,0
172,True,0.73,0.41,0,0,0
173,True,0.73,0.41,0,0,0
174,False,0.73,0.41,0,0,-1
175,True,0.73,0.41,0,0,0
176,False,0.73,0.41,0,0,-1
177,True,0.73,0.41,0,0,0
178,True,0.73,0.41,0,0,0
179,True,0.73,0.41,0,0,0
180,False,0.73,0.41,0,0,-1
181,False,0.73,0.41,0,0,-1
182,True,0.73,0.41,0,0,0
183,True,0.73,0.41,0,0,0
184,True,0.73,0.41,0,0,0
185,False,0.73,0.41,1,1,1
186,True,0.73,0.41,0,0,0
187,True,0.73,0.41,0,0,0
188,True,0.73,0.41,0,0,0
189,True,0.73,0.41,0,0,0
190,True,0.73,0.41,0,0,0
191,True,0.73,0.41,0,0,0
192,True,0.73,0.41,0,0,0
193,True,0.73,0.41,0,0,0
194,True,0.73,0.41,0,0,0
195,True,0.73,0.41,0,0,0
196,True,0.73,0.41,0,0,0
197,False,0.73,0.41,0,0,-1
198,True,0.73,0.41,0,0,0
199,True,0.73,0.41,0,0,0
200,True,0.73,0.41,0,0,0
201,True,0.73,0.41,0,0,0
