,(1+p),(1-p),(x*x),(x*z),(x+z),(x-z),(z*z),(z-x),expected_post,p,post-init,x,z
0,1.85,0.15,64,8,9,7,1,-7,10.434,0.85,9.434,8,1
1,1.66,0.34,324,108,24,12,36,-12,33.242,0.66,27.241999999999997,18,6
2,1.85,0.15,289,255,32,2,225,-2,34.898,0.85,19.898000000000003,17,15
3,1.83,0.17,400,140,27,13,49,-13,30.922,0.83,23.922,20,7
4,1.91,0.09,1,4,5,-3,16,3,5.124,0.91,1.1239999999999997,1,4
5,1.1,0.9,49,105,22,-8,225,8,85.296,0.1,70.296,7,15
6,1.56,0.44,144,60,17,7,25,-7,26.386,0.56,21.386,12,5
7,1.42,0.58,64,136,25,-9,289,9,36.208,0.42,19.208,8,17
8,1.87,0.13,81,45,14,4,25,-4,15.35,0.87,10.35,9,5
9,1.37,0.63,81,18,11,7,4,-7,26.612,0.37,24.612,9,2
10,1.78,0.22,100,40,14,6,16,-6,16.804,0.78,12.803999999999998,10,4
11,1.14,0.86,25,40,13,-3,64,3,44.336,0.14,36.336,5,8
12,1.94,0.06,289,102,23,11,36,-11,24.034,0.94,18.034,17,6
13,1.54,0.46,289,187,28,6,121,-6,42.466,0.54,31.466,17,11
14,1.93,0.07,81,171,28,-10,361,10,28.612,0.93,9.611999999999998,9,19
15,1.73,0.27,100,10,11,9,1,-9,14.802,0.73,13.802,10,1
16,1.47,0.53,4,32,18,-14,256,14,20.208,0.47,4.207999999999998,2,16
17,1.76,0.24,64,112,22,-6,196,6,24.604,0.76,10.604,8,14
18,1.46,0.54,16,16,8,0,16,0,12.672,0.46,8.672,4,4
19,1.54,0.46,144,192,28,-4,256,4,38.322,0.54,22.322000000000003,12,16
20,1.49,0.51,9,60,23,-17,400,17,26.226,0.49,6.225999999999999,3,20
21,1.4,0.6,289,17,18,16,1,-16,43.37,0.4,42.37,17,1
22,1.36,0.64,324,180,28,8,100,-8,59.544,0.36,49.544,18,10
23,1.41,0.59,4,24,14,-10,144,10,16.74,0.41,4.739999999999998,2,12
24,1.76,0.24,400,100,25,15,25,-15,31.374,0.76,26.374,20,5
25,1.08,0.92,169,247,32,-6,361,6,177.958,0.08,158.958,13,19
26,1.21,0.79,400,0,20,20,0,-20,95.736,0.21,95.736,20,0
27,1.64,0.36,49,140,27,-13,400,13,31.01,0.64,11.010000000000002,7,20
28,1.56,0.44,9,33,14,-8,121,8,16.35,0.56,5.350000000000001,3,11
29,1.39,0.61,64,144,26,-10,324,10,38.466,0.39,20.466,8,18
30,1.18,0.82,25,15,8,2,9,-2,31.224,0.18,28.224,5,3
31,1.2,0.8,16,4,5,3,1,-3,20.408,0.2,19.408,4,1
32,1.84,0.16,196,0,14,14,0,-14,16.724,0.84,16.724,14,0
33,1.15,0.85,36,72,18,-6,144,6,52.244,0.15,40.244,6,12
34,1.93,0.07,100,190,29,-9,361,9,29.772,0.93,10.771999999999998,10,19
