,((p*n)*(p*n)),((p*n)*n),((p*n)*x),((p*n)+n),((p*n)+x),((p*n)-n),((p*n)-x),(1+p),(1-p),(n*n),(n*x),(n+x),(n-(p*n)),(n-x),(p*n),(x*x),(x-(p*n)),(x-n),expected_post,n,p,post-init,x
0,107.33,145.04,113.96,24.36,21.36,-3.64,-0.64,1.74,0.26,196,154,25,3.64,3,10.36,121,0.64,-3,88.262,14,0.74,77.262,11
1,2.37,10.78,24.64,8.54,17.54,-5.46,-14.46,1.22,0.78,49,112,23,5.46,-9,1.54,256,14.46,9,22.0,7,0.22,6.0,16
2,3.69,30.72,21.12,17.92,12.92,-14.08,-9.08,1.12,0.88,256,176,27,14.08,5,1.92,121,9.08,-5,27.266,16,0.12,16.266,11
3,13.99,63.58,41.14,20.74,14.74,-13.26,-7.26,1.22,0.78,289,187,28,13.26,6,3.74,121,7.26,-6,44.636,17,0.22,33.636,11
4,260.82,274.55,80.75,33.15,21.15,-0.85,11.15,1.95,0.05,289,85,22,0.85,12,16.15,25,-11.15,-12,151.196,17,0.95,146.196,5
5,0.85,3.68,13.8,4.92,15.92,-3.08,-14.08,1.23,0.77,16,60,19,3.08,-11,0.92,225,14.08,11,17.422,4,0.23,2.4220000000000006,15
6,0.41,2.56,8.32,4.64,13.64,-3.36,-12.36,1.16,0.84,16,52,17,3.36,-9,0.64,169,12.36,9,14.568,4,0.16,1.5679999999999996,13
7,208.8,245.65,0.0,31.45,14.45,-2.55,14.45,1.85,0.15,289,0,17,2.55,17,14.45,0,-14.45,-17,130.302,17,0.85,130.302,0
8,85.38,101.64,64.68,20.24,16.24,-1.76,2.24,1.84,0.16,121,77,18,1.76,4,9.24,49,-2.24,-4,62.7,11,0.84,55.7,7
9,3.24,21.6,16.2,13.8,10.8,-10.2,-7.2,1.15,0.85,144,108,21,10.2,3,1.8,81,7.2,-3,20.628,12,0.15,11.628,9
10,3.53,7.52,3.76,5.88,3.88,-2.12,-0.12,1.47,0.53,16,8,6,2.12,2,1.88,4,0.12,-2,6.736,4,0.47,4.736,2
11,21.07,78.03,18.36,21.59,8.59,-12.41,0.59,1.27,0.73,289,68,21,12.41,13,4.59,16,-0.59,-13,44.836,17,0.27,40.836,4
12,13.84,44.64,26.04,15.72,10.72,-8.28,-3.28,1.31,0.69,144,84,19,8.28,5,3.72,49,3.28,-5,30.772,12,0.31,23.772,7
13,68.56,149.04,74.52,26.28,17.28,-9.72,-0.72,1.46,0.54,324,162,27,9.72,9,8.28,81,0.72,-9,87.982,18,0.46,78.982,9
14,121.0,220.0,110.0,31.0,21.0,-9.0,1.0,1.55,0.45,400,200,30,9.0,10,11.0,100,-1.0,-10,125.07,20,0.55,115.07,10
15,6.76,33.8,33.8,15.6,15.6,-10.4,-10.4,1.2,0.8,169,169,26,10.4,0,2.6,169,10.4,0,31.282,13,0.2,18.282,13
16,0.31,3.92,6.16,7.56,11.56,-6.44,-10.44,1.08,0.92,49,77,18,6.44,-4,0.56,121,10.44,4,13.2,7,0.08,2.1999999999999993,11
17,14.44,72.2,64.6,22.8,20.8,-15.2,-13.2,1.2,0.8,361,323,36,15.2,2,3.8,289,13.2,-2,55.318,19,0.2,38.318,17
18,242.74,296.02,62.32,34.58,19.58,-3.42,11.58,1.82,0.18,361,76,23,3.42,15,15.58,16,-11.58,-15,160.204,19,0.82,156.204,4
19,57.15,105.84,30.24,21.56,11.56,-6.44,3.56,1.54,0.46,196,56,18,6.44,10,7.56,16,-3.56,-10,59.828,14,0.54,55.828,4
20,9.61,31.0,40.3,13.1,16.1,-6.9,-9.9,1.31,0.69,100,130,23,6.9,-3,3.1,169,9.9,3,30.132,10,0.31,17.132,13
21,0.11,0.99,3.63,3.33,11.33,-2.67,-10.67,1.11,0.89,9,33,14,2.67,-8,0.33,121,10.67,8,11.65,3,0.11,0.6500000000000004,11
22,9.73,40.56,43.68,16.12,17.12,-9.88,-10.88,1.24,0.76,169,182,27,9.88,-1,3.12,196,10.88,1,36.164,13,0.24,22.164,14
23,57.15,68.04,68.04,16.56,16.56,-1.44,-1.44,1.84,0.16,81,81,18,1.44,0,7.56,81,1.44,0,47.022,9,0.84,38.022,9
24,32.49,34.2,22.8,11.7,9.7,-0.3,1.7,1.95,0.05,36,24,10,0.3,2,5.7,16,-1.7,-2,23.868,6,0.95,19.868,4
25,10.5,12.96,58.32,7.24,21.24,-0.76,-14.76,1.81,0.19,16,72,22,0.76,-14,3.24,324,14.76,14,26.158,4,0.81,8.158000000000001,18
26,41.99,116.64,84.24,24.48,19.48,-11.52,-6.52,1.36,0.64,324,234,31,11.52,5,6.48,169,6.52,-5,76.902,18,0.36,63.902,13
27,10.11,19.08,28.62,9.18,12.18,-2.82,-5.82,1.53,0.47,36,54,15,2.82,-3,3.18,81,5.82,3,20.282,6,0.53,11.282,9
28,0.09,0.9,0.6,3.3,2.3,-2.7,-1.7,1.1,0.9,9,6,5,2.7,1,0.3,4,1.7,-1,2.622,3,0.1,0.6219999999999999,2
29,26.32,46.17,66.69,14.13,18.13,-3.87,-7.87,1.57,0.43,81,117,22,3.87,-4,5.13,169,7.87,4,39.094,9,0.57,26.094,13
30,43.56,132.0,19.8,26.6,9.6,-13.4,3.6,1.33,0.67,400,60,23,13.4,17,6.6,9,-3.6,-17,71.808,20,0.33,68.808,3
31,7.29,40.5,32.4,17.7,14.7,-12.3,-9.3,1.18,0.82,225,180,27,12.3,3,2.7,144,9.3,-3,33.34,15,0.18,21.340000000000003,12
32,11.29,23.52,43.68,10.36,16.36,-3.64,-9.64,1.48,0.52,49,91,20,3.64,-6,3.36,169,9.64,6,26.51,7,0.48,13.510000000000002,13
33,305.55,332.12,209.76,36.48,29.48,-1.52,5.48,1.92,0.08,361,228,31,1.52,7,17.48,144,-5.48,-7,187.374,19,0.92,175.374,12
34,0.07,0.26,4.68,1.26,18.26,-0.74,-17.74,1.26,0.74,1,18,19,0.74,-17,0.26,324,17.74,17,18.242,1,0.26,0.24200000000000088,18
35,92.16,144.0,19.2,24.6,11.6,-5.4,7.6,1.64,0.36,225,30,17,5.4,13,9.6,4,-7.6,-13,80.26,15,0.64,78.26,2
36,101.4,191.33,0.0,29.07,10.07,-8.93,10.07,1.53,0.47,361,0,19,8.93,19,10.07,0,-10.07,-19,101.236,19,0.53,101.236,0
37,155.25,174.44,24.92,26.46,14.46,-1.54,10.46,1.89,0.11,196,28,16,1.54,12,12.46,4,-10.46,-12,95.316,14,0.89,93.316,2
38,111.51,126.72,211.2,22.56,30.56,-1.44,-9.44,1.88,0.12,144,240,32,1.44,-8,10.56,400,9.44,8,88.4,12,0.88,68.4,20
39,143.04,155.48,191.36,24.96,27.96,-1.04,-4.04,1.92,0.08,169,208,29,1.04,-3,11.96,256,4.04,3,99.794,13,0.92,83.794,16
40,85.19,119.99,83.07,22.23,18.23,-3.77,0.23,1.71,0.29,169,117,22,3.77,4,9.23,81,-0.23,-4,73.386,13,0.71,64.386,9
41,13.25,47.32,14.56,16.64,7.64,-9.36,-0.36,1.28,0.72,169,52,17,9.36,9,3.64,16,0.36,-9,29.21,13,0.28,25.21,4
42,13.54,14.72,40.48,7.68,14.68,-0.32,-7.32,1.92,0.08,16,44,15,0.32,-7,3.68,121,7.32,7,20.168,4,0.92,9.168,11
43,41.73,122.74,12.92,25.46,8.46,-12.54,4.46,1.34,0.66,361,38,21,12.54,17,6.46,4,-4.46,-17,66.66,19,0.34,64.66,2
44,0.41,1.28,1.92,2.64,3.64,-1.36,-2.36,1.32,0.68,4,6,5,1.36,-1,0.64,9,2.36,1,4.008,2,0.32,1.008,3
45,39.31,68.97,125.4,17.27,26.27,-4.73,-13.73,1.57,0.43,121,220,31,4.73,-9,6.27,400,13.73,9,57.74,11,0.57,37.74,20
46,7.95,8.46,42.3,5.82,17.82,-0.18,-12.18,1.94,0.06,9,45,18,0.18,-12,2.82,225,12.18,12,20.674,3,0.94,5.6739999999999995,15
47,0.52,1.44,8.64,2.72,12.72,-1.28,-11.28,1.36,0.64,4,24,14,1.28,-10,0.72,144,11.28,10,13.106,2,0.36,1.1059999999999999,12
48,110.25,147.0,189.0,24.5,28.5,-3.5,-7.5,1.75,0.25,196,252,32,3.5,-4,10.5,324,7.5,4,96.538,14,0.75,78.538,18
49,6.4,27.83,15.18,13.53,8.53,-8.47,-3.47,1.23,0.77,121,66,17,8.47,5,2.53,36,3.47,-5,21.248,11,0.23,15.248000000000001,6
50,31.36,56.0,78.4,15.6,19.6,-4.4,-8.4,1.56,0.44,100,140,24,4.4,-4,5.6,196,8.4,4,45.218,10,0.56,31.218000000000004,14
51,61.47,109.76,54.88,21.84,14.84,-6.16,0.84,1.56,0.44,196,98,21,6.16,7,7.84,49,-0.84,-7,66.578,14,0.56,59.578,7
