,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
0,1.92,0.08,1,1,2,0,1,0,0.528,0.92,-0.472,1,1
1,1.81,0.19,0,0,0,0,0,0,0.48,0.81,0.48,0,0
2,1.5,0.5,1,1,2,0,1,0,0.456,0.5,-0.544,1,1
3,1.78,0.22,0,0,0,0,0,0,0.522,0.78,0.522,0,0
4,1.17,0.83,0,0,0,0,0,0,0.544,0.17,0.544,0,0
5,1.31,0.69,0,0,0,0,0,0,0.54,0.31,0.54,0,0
6,1.25,0.75,0,0,0,0,0,0,0.48,0.25,0.48,0,0
7,1.91,0.09,1,1,2,0,1,0,0.5,0.91,-0.5,1,1
8,1.08,0.92,0,0,0,0,0,0,0.482,0.08,0.482,0,0
9,1.51,0.49,0,0,0,0,0,0,0.524,0.51,0.524,0,0
10,1.7,0.3,0,0,0,0,0,0,0.472,0.7,0.472,0,0
11,1.2,0.8,1,1,2,0,1,0,0.512,0.2,-0.488,1,1
12,1.49,0.51,1,1,2,0,1,0,0.506,0.49,-0.494,1,1
13,1.57,0.43,1,1,2,0,1,0,0.484,0.57,-0.516,1,1
14,1.07,0.93,1,1,2,0,1,0,0.472,0.07,-0.528,1,1
15,1.34,0.66,1,1,2,0,1,0,0.498,0.34,-0.502,1,1
16,1.67,0.33,1,1,2,0,1,0,0.514,0.67,-0.486,1,1
17,1.84,0.16,1,1,2,0,1,0,0.496,0.84,-0.504,1,1
18,1.86,0.14,1,1,2,0,1,0,0.512,0.86,-0.488,1,1
19,1.95,0.05,0,0,0,0,0,0,0.466,0.95,0.466,0,0
20,1.69,0.31,1,1,2,0,1,0,0.496,0.69,-0.504,1,1
21,1.08,0.92,1,1,2,0,1,0,0.494,0.08,-0.506,1,1
22,1.21,0.79,0,0,0,0,0,0,0.494,0.21,0.494,0,0
23,1.44,0.56,0,0,0,0,0,0,0.462,0.44,0.462,0,0
24,1.27,0.73,1,1,2,0,1,0,0.47,0.27,-0.53,1,1
25,1.8,0.2,1,1,2,0,1,0,0.482,0.8,-0.518,1,1
26,1.19,0.81,0,0,0,0,0,0,0.502,0.19,0.502,0,0
27,1.55,0.45,1,1,2,0,1,0,0.458,0.55,-0.542,1,1
28,1.23,0.77,1,1,2,0,1,0,0.506,0.23,-0.494,1,1
29,1.82,0.18,1,1,2,0,1,0,0.522,0.82,-0.478,1,1
30,1.43,0.57,1,1,2,0,1,0,0.504,0.43,-0.496,1,1
31,1.57,0.43,0,0,0,0,0,0,0.474,0.57,0.474,0,0
32,1.65,0.35,1,1,2,0,1,0,0.486,0.65,-0.514,1,1
33,1.1,0.9,1,1,2,0,1,0,0.49,0.1,-0.51,1,1
34,1.9,0.1,0,0,0,0,0,0,0.496,0.9,0.496,0,0
35,1.73,0.27,0,0,0,0,0,0,0.48,0.73,0.48,0,0
36,1.86,0.14,0,0,0,0,0,0,0.434,0.86,0.434,0,0
37,1.32,0.68,0,0,0,0,0,0,0.508,0.32,0.508,0,0
38,1.1,0.9,0,0,0,0,0,0,0.536,0.1,0.536,0,0
39,1.41,0.59,1,1,2,0,1,0,0.476,0.41,-0.524,1,1
40,1.22,0.78,1,1,2,0,1,0,0.494,0.22,-0.506,1,1
41,1.32,0.68,1,1,2,0,1,0,0.486,0.32,-0.514,1,1
42,1.34,0.66,0,0,0,0,0,0,0.466,0.34,0.466,0,0
43,1.37,0.63,0,0,0,0,0,0,0.498,0.37,0.498,0,0
44,1.78,0.22,1,1,2,0,1,0,0.512,0.78,-0.488,1,1
45,1.73,0.27,0,0,0,0,0,0,0.51,0.73,0.51,0,0
46,1.94,0.06,1,1,2,0,1,0,0.498,0.94,-0.502,1,1
47,1.37,0.63,1,1,2,0,1,0,0.49,0.37,-0.51,1,1
48,1.64,0.36,0,0,0,0,0,0,0.488,0.64,0.488,0,0
49,1.76,0.24,0,0,0,0,0,0,0.494,0.76,0.494,0,0
50,1.75,0.25,0,0,0,0,0,0,0.518,0.75,0.518,0,0
51,1.72,0.28,0,0,0,0,0,0,0.502,0.72,0.502,0,0
52,1.21,0.79,0,0,0,0,0,0,0.51,0.21,0.51,0,0
53,1.17,0.83,0,0,0,0,0,0,0.522,0.17,0.522,0,0
54,1.71,0.29,0,0,0,0,0,0,0.494,0.71,0.494,0,0
55,1.09,0.91,0,0,0,0,0,0,0.498,0.09,0.498,0,0
56,1.49,0.51,1,1,2,0,1,0,0.494,0.49,-0.506,1,1
57,1.32,0.68,1,1,2,0,1,0,0.474,0.32,-0.526,1,1
58,1.42,0.58,1,1,2,0,1,0,0.446,0.42,-0.554,1,1
59,1.16,0.84,0,0,0,0,0,0,0.506,0.16,0.506,0,0
60,1.1,0.9,1,1,2,0,1,0,0.48,0.1,-0.52,1,1
61,1.1,0.9,0,0,0,0,0,0,0.49,0.1,0.49,0,0
62,1.84,0.16,0,0,0,0,0,0,0.53,0.84,0.53,0,0
63,1.84,0.16,1,1,2,0,1,0,0.488,0.84,-0.512,1,1
64,1.52,0.48,1,1,2,0,1,0,0.5,0.52,-0.5,1,1
65,1.7,0.3,1,1,2,0,1,0,0.534,0.7,-0.46599999999999997,1,1
66,1.21,0.79,0,0,0,0,0,0,0.494,0.21,0.494,0,0
67,1.68,0.32,0,0,0,0,0,0,0.502,0.68,0.502,0,0
68,1.68,0.32,1,1,2,0,1,0,0.468,0.68,-0.532,1,1
69,1.58,0.42,1,1,2,0,1,0,0.492,0.58,-0.508,1,1
70,1.4,0.6,1,1,2,0,1,0,0.506,0.4,-0.494,1,1
71,1.24,0.76,1,1,2,0,1,0,0.514,0.24,-0.486,1,1
72,1.71,0.29,1,1,2,0,1,0,0.516,0.71,-0.484,1,1
73,1.7,0.3,0,0,0,0,0,0,0.508,0.7,0.508,0,0
74,1.65,0.35,1,1,2,0,1,0,0.5,0.65,-0.5,1,1
75,1.25,0.75,0,0,0,0,0,0,0.502,0.25,0.502,0,0
76,1.65,0.35,1,1,2,0,1,0,0.502,0.65,-0.498,1,1
