,(1+p),(1-p),(n*n),(n*x),(n*y),(n+x),(n+y),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-y),(y*y),(y-n),(y-x),expected_post,n,p,post-init,x,y
0,1.28,0.72,361,57,209,22,30,16,8,9,33,14,-16,-8,121,-8,8,61.63,19,0.28,58.63,3,11
1,1.25,0.75,196,28,280,16,34,12,-6,4,40,22,-12,-18,400,6,18,71.44,14,0.25,69.44,2,20
2,1.5,0.5,1,18,11,19,12,-17,-10,324,198,29,17,7,121,10,-7,23.46,1,0.5,5.460000000000001,18,11
3,1.76,0.24,1,13,11,14,12,-12,-10,169,143,24,12,2,121,10,-2,21.45,1,0.76,8.45,13,11
4,1.68,0.32,289,272,323,33,36,1,-2,256,304,35,-1,-3,361,2,3,236.89,17,0.68,220.89,16,19
5,1.32,0.68,36,42,120,13,26,-1,-14,49,140,27,1,-13,400,14,13,44.36,6,0.32,37.36,7,20
6,1.24,0.76,144,48,144,16,24,8,0,16,48,16,-8,-8,144,0,8,38.92,12,0.24,34.92,4,12
7,1.15,0.85,64,160,128,28,24,-12,-8,400,320,36,12,4,256,8,-4,39.01,8,0.15,19.009999999999998,20,16
8,1.08,0.92,121,132,22,23,13,-1,9,144,24,14,1,10,4,-9,-10,13.86,11,0.08,1.8599999999999994,12,2
9,1.77,0.23,225,120,90,23,21,7,9,64,48,14,-7,2,36,-9,-2,76.09,15,0.77,68.09,8,6
10,1.46,0.54,64,0,8,8,9,8,7,0,0,1,-8,-1,1,-7,1,3.68,8,0.46,3.68,0,1
11,1.87,0.13,16,4,64,5,20,3,-12,1,16,17,-3,-15,256,12,15,56.26,4,0.87,55.26,1,16
12,1.51,0.49,324,18,270,19,33,17,3,1,15,16,-17,-14,225,-3,14,137.74,18,0.51,136.74,1,15
13,1.86,0.14,25,15,55,8,16,2,-6,9,33,14,-2,-8,121,6,8,49.71,5,0.86,46.71,3,11
14,1.24,0.76,100,30,70,13,17,7,3,9,21,10,-7,-4,49,-3,4,19.93,10,0.24,16.93,3,7
15,1.85,0.15,361,342,0,37,19,1,19,324,0,18,-1,18,0,-19,-18,18.0,19,0.85,0.0,18,0
16,1.63,0.37,144,108,60,21,17,3,7,81,45,14,-3,4,25,-7,-4,46.04,12,0.63,37.04,9,5
17,1.52,0.48,81,180,0,29,9,-11,9,400,0,20,11,20,0,-9,-20,20.0,9,0.52,0.0,20,0
18,1.61,0.39,64,80,16,18,10,-2,6,100,20,12,2,8,4,-6,-8,19.72,8,0.61,9.719999999999999,10,2
19,1.13,0.87,324,342,18,37,19,-1,17,361,19,20,1,18,1,-17,-18,21.32,18,0.13,2.3200000000000003,19,1
20,1.3,0.7,361,171,247,28,32,10,6,81,117,22,-10,-4,169,-6,4,81.77,19,0.3,72.77,9,13
21,1.67,0.33,121,55,143,16,24,6,-2,25,65,18,-6,-8,169,2,8,100.06,11,0.67,95.06,5,13
22,1.8,0.2,4,38,40,21,22,-17,-18,361,380,39,17,-1,400,18,1,50.72,2,0.8,31.72,19,20
23,1.75,0.25,169,78,78,19,19,7,7,36,36,12,-7,0,36,-7,0,64.33,13,0.75,58.33,6,6
24,1.68,0.32,49,63,21,16,10,-2,4,81,27,12,2,6,9,-4,-6,23.14,7,0.68,14.14,9,3
25,1.54,0.46,1,7,13,8,14,-6,-12,49,91,20,6,-6,169,12,6,14.02,1,0.54,7.02,7,13
26,1.62,0.38,256,208,272,29,33,3,-1,169,221,30,-3,-4,289,1,4,180.76,16,0.62,167.76,13,17
27,1.43,0.57,361,0,247,19,32,19,6,0,0,13,-19,-13,169,-6,13,107.25,19,0.43,107.25,0,13
28,1.72,0.28,1,9,3,10,4,-8,-2,81,27,12,8,6,9,2,-6,11.06,1,0.72,2.0600000000000005,9,3
29,1.8,0.2,36,36,12,12,8,0,4,36,12,8,0,4,4,-4,-4,15.72,6,0.8,9.72,6,2
30,1.34,0.66,100,20,140,12,24,8,-4,4,28,16,-8,-12,196,4,12,49.96,10,0.34,47.96,2,14
31,1.7,0.3,9,15,9,8,6,-2,0,25,15,8,2,2,9,0,-2,11.52,3,0.7,6.52,5,3
32,1.45,0.55,81,144,99,25,20,-7,-2,256,176,27,7,5,121,2,-5,60.97,9,0.45,44.97,16,11
33,1.87,0.13,400,120,220,26,31,14,9,36,66,17,-14,-5,121,-9,5,197.86,20,0.87,191.86,6,11
34,1.54,0.46,100,110,180,21,28,-1,-8,121,198,29,1,-7,324,8,7,109.28,10,0.54,98.28,11,18
35,1.14,0.86,144,192,72,28,18,-4,6,256,96,22,4,10,36,-6,-10,25.77,12,0.14,9.77,16,6
36,1.12,0.88,256,128,304,24,35,8,-3,64,152,27,-8,-11,361,3,11,43.99,16,0.12,35.99,8,19
37,1.24,0.76,324,36,360,20,38,16,-2,4,40,22,-16,-18,400,2,18,86.16,18,0.24,84.16,2,20
38,1.6,0.4,169,39,143,16,24,10,2,9,33,14,-10,-8,121,-2,8,87.74,13,0.6,84.74,3,11
39,1.68,0.32,196,210,140,29,24,-1,4,225,150,25,1,5,100,-4,-5,110.46,14,0.68,95.46,15,10
40,1.48,0.52,1,17,9,18,10,-16,-8,289,153,26,16,8,81,8,-8,21.43,1,0.48,4.43,17,9
41,1.77,0.23,9,12,9,7,6,-1,0,16,12,7,1,1,9,0,-1,10.91,3,0.77,6.91,4,3
42,1.36,0.64,4,18,40,11,22,-7,-18,81,180,29,7,-11,400,18,11,23.32,2,0.36,14.32,9,20
43,1.73,0.27,49,49,105,14,22,0,-8,49,105,22,0,-8,225,8,8,82.36,7,0.73,75.36,7,15
44,1.06,0.94,100,130,80,23,18,-3,2,169,104,21,3,5,64,-2,-5,17.67,10,0.06,4.670000000000002,13,8
45,1.12,0.88,324,270,126,33,25,3,11,225,105,22,-3,8,49,-11,-8,30.53,18,0.12,15.530000000000001,15,7
46,1.57,0.43,1,8,11,9,12,-7,-10,64,88,19,7,-3,121,10,3,14.25,1,0.57,6.25,8,11
47,1.45,0.55,400,180,220,29,31,11,9,81,99,20,-11,-2,121,-9,2,109.98,20,0.45,100.98,9,11
48,1.08,0.92,361,95,76,24,23,14,15,25,20,9,-14,1,16,-15,-1,11.49,19,0.08,6.49,5,4
49,1.2,0.8,256,224,16,30,17,2,15,196,14,15,-2,13,1,-15,-13,17.18,16,0.2,3.1799999999999997,14,1
50,1.46,0.54,225,210,135,29,24,1,6,196,126,23,-1,5,81,-6,-5,76.01,15,0.46,62.010000000000005,14,9
51,1.41,0.59,169,169,52,26,17,0,9,169,52,17,0,9,16,-9,-9,33.79,13,0.41,20.79,13,4
52,1.84,0.16,36,24,84,10,20,2,-8,16,56,18,-2,-10,196,8,10,74.17,6,0.84,70.17,4,14
53,1.76,0.24,169,195,195,28,28,-2,-2,225,225,30,2,0,225,2,0,163.44,13,0.76,148.44,15,15
54,1.75,0.25,361,19,0,20,19,18,19,1,0,1,-18,1,0,-19,-1,1.0,19,0.75,0.0,1,0
55,1.9,0.1,36,84,60,20,16,-8,-4,196,140,24,8,4,100,4,-4,68.22,6,0.9,54.22,14,10
