,G,n,p,post,pre,x,y
0,True,18,0.61,17,45.08,17,4
1,True,8,0.57,1,21.64,1,6
2,True,16,0.22,7,256.6,7,20
3,True,5,0.41,6,41.400000000000006,6,12
4,True,6,0.37,18,48.24,18,8
5,True,19,0.74,9,18.880000000000003,9,2
6,True,11,0.66,12,23.22,12,3
7,True,9,0.53,16,75.22,16,14
8,True,3,0.86,12,18.72,12,16
9,True,18,0.43,19,60.040000000000006,19,4
10,True,3,0.11,13,15.67,13,1
11,True,13,0.29,15,98.07000000000001,15,9
12,True,18,0.4,12,217.2,12,19
13,True,19,0.53,5,94.3,5,10
14,True,4,0.36,5,56.2,5,20
15,True,14,0.82,17,34.64,17,7
16,True,15,0.83,14,39.50000000000001,14,10
17,True,10,0.71,17,37.300000000000004,17,7
18,True,7,0.55,17,35.9,17,6
19,True,14,0.22,0,207.48,0,19
20,True,15,0.47,18,73.65,18,7
21,True,4,0.81,1,7.839999999999998,1,9
22,True,7,0.37,1,58.33,1,13
23,True,9,0.93,7,14.559999999999995,7,12
24,True,13,0.55,1,118.0,1,20
25,True,5,0.3,19,61.0,19,12
26,True,14,0.05,20,232.79999999999998,20,16
27,True,16,0.62,0,54.72,0,9
28,True,15,0.84,12,24.0,12,5
29,True,4,0.71,10,22.76,10,11
30,True,6,0.56,15,41.4,15,10
31,True,17,0.93,12,23.89999999999999,12,10
32,True,15,0.41,20,135.05,20,13
33,True,15,0.08,13,275.2,13,19
34,True,17,0.86,14,23.520000000000003,14,4
35,True,7,0.41,20,20.0,20,0
36,True,16,0.78,5,61.31999999999999,5,16
37,True,1,0.22,15,15.0,15,0
38,True,9,0.48,16,34.72,16,4
39,True,9,0.14,9,109.62,9,13
40,True,18,0.65,5,80.6,5,12
41,True,7,0.58,20,49.400000000000006,20,10
42,True,20,0.9,8,35.99999999999999,8,14
43,True,13,0.57,17,100.85000000000001,17,15
44,True,10,0.27,7,65.4,7,8
45,True,20,0.62,10,55.599999999999994,10,6
46,True,18,0.59,1,119.08000000000001,1,16
47,True,17,0.56,9,68.83999999999999,9,8
48,True,4,0.2,14,26.8,14,4
49,True,8,0.7,17,55.400000000000006,17,16
50,True,10,0.32,10,23.599999999999998,10,2
51,True,5,0.91,17,17.45,17,1
52,True,9,0.12,5,36.68,5,4
53,True,16,0.45,8,34.400000000000006,8,3
54,True,15,0.52,20,142.39999999999998,20,17
55,True,11,0.18,4,67.14000000000001,4,7
56,True,11,0.43,5,55.160000000000004,5,8
57,True,17,0.8,17,71.39999999999999,17,16
58,True,16,0.79,18,31.439999999999998,18,4
59,True,1,0.22,7,21.82,7,19
60,True,5,0.75,3,8.0,3,4
61,True,6,0.55,18,53.099999999999994,18,13
62,True,3,0.77,8,19.04,8,16
63,True,12,0.33,17,177.79999999999998,17,20
64,True,19,0.68,16,40.31999999999999,16,4
65,True,14,0.88,14,30.8,14,10
66,True,2,0.69,12,15.72,12,6
67,True,8,0.61,9,58.92,9,16
68,True,2,0.94,8,10.160000000000002,8,18
69,True,3,0.81,7,8.709999999999999,7,3
70,True,20,0.61,2,41.0,2,5
71,True,2,0.31,13,35.08,13,16
72,True,2,0.84,5,9.8,5,15
73,True,13,0.71,6,28.620000000000005,6,6
74,True,10,0.12,6,85.2,6,9
75,True,9,0.78,15,40.739999999999995,15,13
76,True,19,0.57,15,153.89000000000004,15,17
77,True,19,0.7,8,122.00000000000003,8,20
78,True,18,0.18,11,217.64000000000001,11,14
79,True,15,0.6,2,80.0,2,13
80,True,6,0.73,17,44.540000000000006,17,17
81,True,5,0.27,2,5.65,2,1
82,True,5,0.36,5,5.0,5,0
83,True,9,0.45,9,103.05,9,19
84,True,10,0.14,17,42.8,17,3
85,True,4,0.38,16,65.6,16,20
86,True,12,0.91,14,33.44,14,18
87,True,17,0.22,17,162.85999999999999,17,11
88,True,12,0.21,15,71.88,15,6
89,True,16,0.59,20,46.24,20,4
90,True,4,0.63,4,30.64,4,18
91,True,4,0.2,11,71.80000000000001,11,19
92,True,17,0.44,14,52.080000000000005,14,4
93,True,18,0.79,4,30.459999999999994,4,7
94,True,13,0.66,1,76.14,1,17
95,True,5,0.77,9,11.3,9,2
96,True,11,0.16,8,81.92,8,8
97,True,3,0.28,4,16.96,4,6
98,True,4,0.49,5,35.6,5,15
99,True,10,0.4,13,97.0,13,14
100,True,11,0.7,15,54.60000000000001,15,12
101,True,16,0.44,6,68.72,6,7
102,True,13,0.32,6,120.92,6,13
103,True,6,0.17,2,41.839999999999996,2,8
104,True,16,0.08,8,111.04,8,7
105,True,4,0.14,13,13.0,13,0
106,True,16,0.73,2,14.96,2,3
107,True,19,0.91,9,43.19999999999999,9,20
108,True,8,0.21,0,0.0,0,0
109,True,2,0.14,12,24.04,12,7
110,True,20,0.83,4,4.0,4,0
111,True,8,0.34,20,46.4,20,5
112,True,17,0.45,13,69.10000000000001,13,6
113,True,3,0.08,15,61.92,15,17
114,True,7,0.52,14,34.16,14,6
115,True,3,0.3,15,33.9,15,9
116,True,6,0.85,13,29.200000000000003,13,18
117,True,8,0.58,3,66.84,3,19
118,True,4,0.81,6,13.599999999999998,6,10
119,True,18,0.93,11,26.11999999999999,11,12
120,True,14,0.47,15,104.03999999999999,15,12
121,True,9,0.81,11,12.709999999999999,11,1
122,True,19,0.34,14,139.39999999999998,14,10
123,True,13,0.41,6,75.03,6,9
124,True,15,0.24,8,236.0,8,20
125,True,14,0.7,19,52.60000000000001,19,8
126,True,10,0.32,8,48.8,8,6
127,True,2,0.21,16,30.22,16,9
128,True,16,0.07,16,45.76,16,2
129,True,1,0.76,11,15.559999999999999,11,19
130,True,3,0.93,13,14.26,13,6
131,True,12,0.65,15,15.0,15,0
132,True,18,0.12,6,227.76,6,14
133,True,10,0.16,10,169.6,10,19
134,True,17,0.71,8,106.60000000000001,8,20
135,True,17,0.54,19,151.94,19,17
136,True,10,0.84,18,30.800000000000004,18,8
137,True,16,0.07,1,120.03999999999999,1,8
138,True,6,0.65,19,19.0,19,0
139,True,9,0.27,5,77.27000000000001,5,11
140,True,16,0.72,4,26.400000000000002,4,5
141,True,18,0.85,20,65.9,20,17
142,True,5,0.58,3,17.700000000000003,3,7
143,True,2,0.06,7,23.919999999999998,7,9
144,True,5,0.69,3,9.200000000000001,3,4
145,True,7,0.3,18,115.99999999999999,18,20
146,True,17,0.83,12,23.560000000000002,12,4
147,True,3,0.33,12,30.089999999999996,12,9
148,True,2,0.09,14,35.84,14,12
149,True,1,0.17,0,14.94,0,18
150,True,7,0.63,10,61.8,10,20
151,True,11,0.64,3,26.759999999999998,3,6
152,True,6,0.91,1,10.719999999999997,1,18
153,True,11,0.42,12,88.56,12,12
154,True,7,0.88,8,19.759999999999998,8,14
155,True,8,0.72,6,17.200000000000003,6,5
156,True,18,0.3,9,160.2,9,12
157,True,3,0.9,5,5.6,5,2
158,True,17,0.62,14,97.98,14,13
159,True,16,0.61,9,58.92,9,8
160,True,19,0.18,19,96.9,19,5
161,True,3,0.22,11,34.4,11,10
162,True,20,0.32,1,204.99999999999997,1,15
163,True,3,0.61,15,32.55,15,15
164,True,5,0.83,10,26.150000000000002,10,19
165,True,7,0.79,9,32.519999999999996,9,16
166,True,15,0.1,3,232.5,3,17
167,True,5,0.68,17,45.8,17,18
168,True,9,0.14,5,43.7,5,5
169,True,2,0.2,15,29.4,15,9
170,True,12,0.75,16,16.0,16,0
171,True,13,0.77,18,20.99,18,1
172,True,11,0.52,4,4.0,4,0
173,True,4,0.72,12,15.36,12,3
174,True,20,0.8,18,65.99999999999999,18,12
175,True,12,0.85,1,19.000000000000004,1,10
176,True,6,0.72,1,31.240000000000002,1,18
177,True,14,0.68,9,44.839999999999996,9,8
178,True,1,0.51,12,19.35,12,15
179,True,15,0.28,12,152.39999999999998,12,13
180,True,13,0.69,3,43.30000000000001,3,10
181,True,20,0.34,2,107.6,2,8
182,True,8,0.94,4,13.600000000000009,4,20
183,True,18,0.36,0,230.39999999999998,0,20
184,True,17,0.18,12,12.0,12,0
185,True,18,0.46,9,86.76,9,8
186,True,11,0.93,4,17.859999999999992,4,18
187,True,13,0.84,15,42.040000000000006,15,13
188,True,18,0.84,15,58.20000000000001,15,15
189,True,10,0.64,2,45.199999999999996,2,12
190,True,12,0.51,11,128.6,11,20
191,True,7,0.39,11,92.13,11,19
192,True,10,0.4,19,121.0,19,17
193,True,12,0.42,11,66.68,11,8
194,True,8,0.21,13,13.0,13,0
195,True,17,0.47,19,37.019999999999996,19,2
196,True,20,0.18,1,296.20000000000005,1,18
197,True,16,0.28,15,176.28,15,14
198,True,6,0.87,18,20.34,18,3
199,True,3,0.91,2,3.8899999999999992,2,7
200,True,18,0.76,3,76.44,3,17
201,True,6,0.73,5,37.400000000000006,5,20
202,True,7,0.62,6,48.56,6,16
203,True,4,0.91,4,4.0,4,0
204,True,11,0.62,12,45.44,12,8
205,True,11,0.33,7,147.02999999999997,7,19
206,True,16,0.49,2,67.28,2,8
207,True,10,0.7,11,50.00000000000001,11,13
208,True,13,0.27,8,150.35,8,15
209,True,5,0.37,6,28.05,6,7
210,True,17,0.77,3,69.47,3,17
211,True,6,0.9,1,1.5999999999999999,1,1
212,True,11,0.7,12,61.500000000000014,12,15
213,True,17,0.21,10,211.45,10,15
214,True,12,0.84,15,26.520000000000003,15,6
215,True,13,0.09,18,171.79,18,13
216,True,7,0.91,10,18.189999999999998,10,13
217,True,17,0.94,0,6.120000000000005,0,6
218,True,1,0.3,20,27.0,20,10
219,True,4,0.29,11,28.04,11,6
220,True,15,0.48,19,175.0,19,20
221,True,2,0.52,10,22.48,10,13
222,True,13,0.33,14,92.38999999999999,14,9
223,True,9,0.1,5,53.599999999999994,5,6
224,True,20,0.39,8,69.0,8,5
225,True,16,0.08,0,279.68,0,19
226,True,16,0.65,1,96.19999999999999,1,17
227,True,13,0.65,14,91.35,14,17
228,True,17,0.36,7,115.80000000000001,7,10
