,(1+p),(1-p),(n*n),(n*p*n),(n*p*n*p),(n*p*x),(n*p*y),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n*x),(n*y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-n*p),(x-y),(y*y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
0,1.52,0.48,121,62.92,32.72,22.88,91.52,16.72,9.72,21.72,-5.28,1.72,-10.28,44,176,15,27,5.28,7,-5,16,64,20,-7,-1.72,-12,256,5,10.28,12,122.53,11,5.72,0.52,118.53,4,16
1,1.47,0.53,36,16.92,7.95,50.76,19.74,8.82,20.82,9.82,-3.18,-15.18,-4.18,108,42,24,13,3.18,-12,-1,324,126,25,12,15.18,11,49,1,4.18,-11,50.4,6,2.82,0.47,32.4,18,7
2,1.8,0.2,256,204.8,163.84,12.8,89.6,28.8,13.8,19.8,-3.2,11.8,5.8,16,112,17,23,3.2,15,9,1,7,8,-15,-11.8,-6,49,-9,-5.8,6,132.732,16,12.8,0.8,131.732,1,7
3,1.68,0.32,81,55.08,37.45,42.84,18.36,15.12,13.12,9.12,-2.88,-0.88,3.12,63,27,16,12,2.88,2,6,49,21,10,-2,0.88,4,9,-6,-3.12,-4,46.48,9,6.12,0.68,39.48,7,3
4,1.26,0.74,324,84.24,21.9,60.84,56.16,22.68,17.68,16.68,-13.32,-8.32,-7.32,234,216,31,30,13.32,5,6,169,156,25,-5,8.32,1,144,-6,7.32,-1,218.064,18,4.68,0.26,205.064,13,12
5,1.24,0.76,144,34.56,8.29,25.92,54.72,14.88,11.88,21.88,-9.12,-6.12,-16.12,108,228,21,31,9.12,3,-7,81,171,28,-3,6.12,-10,361,7,16.12,10,201.304,12,2.88,0.24,192.304,9,19
6,1.93,0.07,121,112.53,104.65,153.45,20.46,21.23,25.23,12.23,-0.77,-4.77,8.23,165,22,26,13,0.77,-4,9,225,30,17,4,4.77,13,4,-9,-8.23,-13,77.97,11,10.23,0.93,62.97,15,2
7,1.35,0.65,4,1.4,0.49,0.0,12.6,2.7,0.7,18.7,-1.3,0.7,-17.3,0,36,2,20,1.3,2,-16,0,0,18,-2,-0.7,-18,324,16,17.3,18,25.344,2,0.7,0.35,25.344,0,18
8,1.54,0.46,49,26.46,14.29,45.36,0.0,10.78,15.78,3.78,-3.22,-8.22,3.78,84,0,19,7,3.22,-5,7,144,0,12,5,8.22,12,0,-7,-3.78,-12,27.878,7,3.78,0.54,15.878,12,0
9,1.6,0.4,144,86.4,51.84,14.4,144.0,19.2,9.2,27.2,-4.8,5.2,-12.8,24,240,14,32,4.8,10,-8,4,40,22,-10,-5.2,-18,400,8,12.8,18,145.522,12,7.2,0.6,143.522,2,20
10,1.9,0.1,256,230.4,207.36,216.0,115.2,30.4,29.4,22.4,-1.6,-0.6,6.4,240,128,31,24,1.6,1,8,225,120,23,-1,0.6,7,64,-8,-6.4,-7,150.436,16,14.4,0.9,135.436,15,8
11,1.46,0.54,256,117.76,54.17,51.52,7.36,23.36,14.36,8.36,-8.64,0.36,6.36,112,16,23,17,8.64,9,15,49,7,8,-9,-0.36,6,1,-15,-6.36,-6,78.892,16,7.36,0.46,71.892,7,1
12,1.81,0.19,49,39.69,32.15,22.68,102.06,12.67,9.67,23.67,-1.33,1.67,-12.33,28,126,11,25,1.33,3,-11,16,72,22,-3,-1.67,-14,324,11,12.33,14,50.26,7,5.67,0.81,46.26,4,18
13,1.6,0.4,81,48.6,29.16,10.8,5.4,14.4,7.4,6.4,-3.6,3.4,4.4,18,9,11,10,3.6,7,8,4,2,3,-7,-3.4,1,1,-8,-4.4,-1,32.692,9,5.4,0.6,30.692,2,1
14,1.14,0.86,324,45.36,6.35,15.12,40.32,20.52,8.52,18.52,-15.48,-3.48,-13.48,108,288,24,34,15.48,12,2,36,96,22,-12,3.48,-10,256,-2,13.48,10,277.814,18,2.52,0.14,271.814,6,16
15,1.87,0.13,225,195.75,170.3,52.2,26.1,28.05,17.05,15.05,-1.95,9.05,11.05,60,30,19,17,1.95,11,13,16,8,6,-11,-9.05,2,4,-13,-11.05,-2,112.292,15,13.05,0.87,108.292,4,2
16,1.33,0.67,64,21.12,6.97,2.64,7.92,10.64,3.64,5.64,-5.36,1.64,-0.36,8,24,9,11,5.36,7,5,1,3,4,-7,-1.64,-2,9,-5,0.36,2,28.936,8,2.64,0.33,27.936,1,3
17,1.84,0.16,36,30.24,25.4,25.2,40.32,11.04,10.04,13.04,-0.96,0.04,-2.96,30,48,11,14,0.96,1,-2,25,40,13,-1,-0.04,-3,64,2,2.96,3,30.212,6,5.04,0.84,25.212,5,8
