,G,n,post,pre,x,y
0,True,10,14,39.0,14,1
1,True,8,72,88.0,4,18
2,True,17,48,120.25,3,16
3,True,7,140,152.25,14,10
4,True,20,40,140.0,4,10
5,True,3,85,87.25,5,17
6,True,17,42,114.25,14,3
7,True,16,70,134.0,7,10
8,True,3,45,47.25,5,9
9,True,5,323,329.25,17,19
10,True,13,323,365.25,19,17
11,True,2,51,52.0,3,17
12,True,20,84,184.0,7,12
13,True,9,156,176.25,13,12
14,True,11,342,372.25,18,19
15,True,14,13,62.0,1,13
16,True,11,144,174.25,9,16
17,True,16,190,254.0,19,10
18,True,9,0,20.25,0,7
19,True,6,300,309.0,15,20
20,True,19,56,146.25,14,4
21,True,8,128,144.0,16,8
22,True,11,0,30.25,0,1
23,True,20,187,287.0,11,17
24,True,5,143,149.25,11,13
25,True,2,306,307.0,18,17
26,True,4,30,34.0,15,2
27,True,14,36,85.0,9,4
28,True,10,121,146.0,11,11
29,True,5,60,66.25,6,10
30,True,6,6,15.0,2,3
31,True,5,54,60.25,9,6
32,True,6,110,119.0,10,11
33,True,10,144,169.0,12,12
34,True,18,162,243.0,9,18
35,True,2,342,343.0,19,18
36,True,17,0,72.25,1,0
37,True,20,50,150.0,5,10
38,True,1,36,36.25,4,9
39,True,6,162,171.0,18,9
40,True,8,75,91.0,5,15
41,True,5,160,166.25,10,16
42,True,1,70,70.25,5,14
43,True,3,21,23.25,7,3
44,True,2,76,77.0,4,19
45,True,7,75,87.25,5,15
46,True,7,238,250.25,17,14
47,True,20,30,130.0,3,10
48,True,1,0,0.25,8,0
49,True,5,0,6.25,5,0
50,True,8,12,28.0,12,1
51,True,1,154,154.25,11,14
52,True,9,64,84.25,16,4
53,True,6,105,114.0,15,7
54,True,14,0,49.0,17,0
55,True,7,135,147.25,15,9
56,True,13,16,58.25,1,16
57,True,6,72,81.0,8,9
58,True,13,210,252.25,15,14
59,True,16,22,86.0,2,11
60,True,12,13,49.0,1,13
61,True,11,14,44.25,14,1
62,True,19,306,396.25,18,17
63,True,4,57,61.0,19,3
64,True,7,90,102.25,10,9
65,True,18,0,81.0,0,3
66,True,7,70,82.25,7,10
67,True,20,80,180.0,20,4
68,True,2,28,29.0,14,2
69,True,20,144,244.0,8,18
70,True,16,90,154.0,15,6
71,True,1,153,153.25,17,9
72,True,2,28,29.0,7,4
73,True,2,36,37.0,6,6
74,True,8,171,187.0,9,19
75,True,6,152,161.0,19,8
76,True,3,288,290.25,18,16
77,True,8,108,124.0,9,12
78,True,14,304,353.0,19,16
79,True,13,66,108.25,11,6
80,True,1,42,42.25,14,3
81,True,6,44,53.0,4,11
82,True,5,0,6.25,1,0
83,True,14,140,189.0,14,10
84,True,16,209,273.0,19,11
85,True,12,180,216.0,10,18
86,True,11,260,290.25,20,13
87,True,6,105,114.0,15,7
88,True,3,10,12.25,10,1
89,True,16,247,311.0,13,19
90,True,11,256,286.25,16,16
91,True,1,176,176.25,11,16
92,True,5,306,312.25,17,18
93,True,13,60,102.25,5,12
94,True,5,16,22.25,4,4
95,True,1,52,52.25,13,4
96,True,15,80,136.25,8,10
97,True,20,32,132.0,2,16
98,True,5,240,246.25,15,16
99,True,2,81,82.0,9,9
100,True,15,60,116.25,5,12
101,True,2,136,137.0,8,17
102,True,3,24,26.25,4,6
103,True,4,112,116.0,7,16
104,True,14,0,49.0,8,0
105,True,2,133,134.0,7,19
106,True,13,247,289.25,13,19
107,True,14,34,83.0,2,17
108,True,11,289,319.25,17,17
109,True,19,6,96.25,1,6
110,True,4,28,32.0,7,4
111,True,1,140,140.25,10,14
112,True,16,105,169.0,15,7
113,True,17,12,84.25,4,3
114,True,9,2,22.25,1,2
115,True,10,90,115.0,9,10
116,True,5,39,45.25,13,3
117,True,2,0,1.0,0,8
118,True,9,78,98.25,13,6
119,True,5,16,22.25,8,2
120,True,1,156,156.25,12,13
121,True,20,54,154.0,3,18
122,True,9,48,68.25,12,4
123,True,7,360,372.25,18,20
124,True,10,0,25.0,19,0
125,True,19,84,174.25,7,12
126,True,7,7,19.25,7,1
127,True,16,169,233.0,13,13
128,True,19,90,180.25,9,10
129,True,16,380,444.0,20,19
130,True,1,187,187.25,11,17
131,True,14,12,61.0,6,2
132,True,17,66,138.25,6,11
