,(count*count),(count*x),(count+x),(count-x),(x*x),(x-count),count,expected_post,post-init,x
0,81,18,11,7,4,-7,9,18.0,9.0,2
1,9,9,6,0,9,0,3,11.0,8.0,3
2,225,120,23,7,64,-7,15,18.0,3.0,8
3,81,45,14,4,25,-4,9,15.0,6.0,5
4,100,70,17,3,49,-3,10,14.0,4.0,7
5,25,50,15,-5,100,5,5,6.0,1.0,10
6,225,105,22,8,49,-8,15,19.0,4.0,7
7,400,120,26,14,36,-14,20,25.0,5.0,6
8,0,0,9,-9,81,9,0,2.0,2.0,9
9,256,80,21,11,25,-11,16,22.0,6.0,5
10,25,30,11,-1,36,1,5,10.0,5.0,6
11,1,4,5,-3,16,3,1,8.0,7.0,4
12,400,40,22,18,4,-18,20,29.0,9.0,2
13,169,26,15,11,4,-11,13,22.0,9.0,2
14,225,45,18,12,9,-12,15,23.0,8.0,3
15,121,55,16,6,25,-6,11,17.0,6.0,5
16,36,48,14,-2,64,2,6,9.0,3.0,8
17,9,27,12,-6,81,6,3,5.0,2.0,9
18,121,66,17,5,36,-5,11,16.0,5.0,6
19,36,54,15,-3,81,3,6,8.0,2.0,9
20,256,96,22,10,36,-10,16,21.0,5.0,6
21,0,0,10,-10,100,10,0,1.0,1.0,10
22,289,85,22,12,25,-12,17,23.0,6.0,5
23,64,24,11,5,9,-5,8,16.0,8.0,3
24,9,18,9,-3,36,3,3,8.0,5.0,6
25,16,8,6,2,4,-2,4,13.0,9.0,2
26,0,0,8,-8,64,8,0,3.0,3.0,8
27,4,8,6,-2,16,2,2,9.0,7.0,4
28,0,0,1,-1,1,1,0,10.0,10.0,1
29,324,108,24,12,36,-12,18,23.0,5.0,6
30,225,135,24,6,81,-6,15,17.0,2.0,9
31,25,40,13,-3,64,3,5,8.0,3.0,8
32,81,18,11,7,4,-7,9,18.0,9.0,2
33,121,11,12,10,1,-10,11,21.0,10.0,1
34,361,57,22,16,9,-16,19,27.0,8.0,3
35,36,42,13,-1,49,1,6,10.0,4.0,7
36,289,17,18,16,1,-16,17,27.0,10.0,1
37,121,22,13,9,4,-9,11,20.0,9.0,2
38,0,0,4,-4,16,4,0,7.0,7.0,4
39,225,60,19,11,16,-11,15,22.0,7.0,4
40,169,65,18,8,25,-8,13,19.0,6.0,5
41,49,28,11,3,16,-3,7,14.0,7.0,4
42,1,7,8,-6,49,6,1,5.0,4.0,7
43,225,30,17,13,4,-13,15,24.0,9.0,2
44,81,45,14,4,25,-4,9,15.0,6.0,5
45,25,50,15,-5,100,5,5,6.0,1.0,10
46,49,7,8,6,1,-6,7,17.0,10.0,1
