,G,c1,c2,count,p1,p2,post,pre
0,True,0,0,13,0.62,0.91,13,14.53
1,True,0,0,8,0.52,0.84,8,9.36
2,True,0,0,16,0.52,0.69,16,17.21
3,True,0,0,12,0.11,0.39,12,12.5
4,True,0,0,5,0.55,0.6,5,6.15
5,True,0,0,4,0.68,0.45,4,5.13
6,True,0,0,5,0.22,0.28,5,5.5
7,True,0,0,16,0.76,0.55,16,17.31
8,True,0,0,14,0.12,0.2,14,14.32
9,True,0,0,12,0.11,0.55,12,12.66
10,True,0,0,10,0.37,0.49,10,10.86
11,True,0,0,4,0.44,0.86,4,5.3
12,True,0,0,8,0.39,0.57,8,8.96
13,True,0,0,11,0.46,0.14,11,11.6
14,True,0,0,20,0.35,0.63,20,20.98
15,True,0,0,17,0.65,0.26,17,17.91
16,True,0,0,19,0.9,0.29,19,20.19
17,True,0,0,17,0.93,0.09,17,18.02
18,True,0,0,19,0.31,0.31,19,19.62
19,True,0,0,8,0.88,0.9,8,9.78
20,True,0,0,13,0.7,0.31,13,14.01
21,True,0,0,15,0.36,0.19,15,15.55
22,True,0,0,20,0.63,0.1,20,20.73
23,True,0,0,13,0.06,0.83,13,13.89
24,True,0,0,2,0.26,0.4,2,2.66
25,True,0,0,19,0.33,0.66,19,19.99
26,True,0,0,2,0.22,0.2,2,2.42
27,True,0,0,20,0.67,0.53,20,21.2
28,True,0,0,11,0.75,0.26,11,12.01
29,True,0,0,3,0.13,0.68,3,3.81
30,True,0,0,18,0.34,0.54,18,18.88
31,True,0,0,14,0.83,0.59,14,15.42
32,True,0,0,1,0.7,0.53,1,2.23
33,True,0,0,7,0.71,0.57,7,8.28
34,True,0,0,20,0.69,0.53,20,21.22
35,True,0,0,4,0.93,0.05,4,4.98
36,True,0,0,13,0.44,0.06,13,13.5
37,True,0,0,5,0.63,0.07,5,5.7
38,True,0,0,2,0.77,0.53,2,3.3
39,True,0,0,12,0.25,0.31,12,12.56
40,True,0,0,8,0.95,0.48,8,9.43
41,True,0,0,8,0.36,0.6,8,8.96
42,True,0,0,16,0.66,0.31,16,16.97
43,True,0,0,7,0.83,0.35,7,8.18
44,True,0,0,13,0.43,0.9,13,14.33
45,True,0,0,19,0.68,0.89,19,20.57
46,True,0,0,13,0.37,0.57,13,13.94
47,True,0,0,2,0.65,0.55,2,3.2
48,True,0,0,13,0.5,0.2,13,13.7
49,True,0,0,7,0.39,0.34,7,7.73
50,True,0,0,4,0.92,0.37,4,5.29
51,True,0,0,4,0.74,0.87,4,5.609999999999999
52,True,0,0,9,0.69,0.16,9,9.85
53,True,0,0,5,0.37,0.3,5,5.67
54,True,0,0,2,0.39,0.18,2,2.5700000000000003
55,True,0,0,9,0.14,0.76,9,9.9
56,True,0,0,11,0.88,0.58,11,12.46
57,True,0,0,16,0.7,0.95,16,17.65
58,True,0,0,8,0.58,0.93,8,9.51
59,True,0,0,9,0.28,0.62,9,9.9
60,True,0,0,8,0.47,0.56,8,9.03
61,True,0,0,1,0.56,0.29,1,1.85
62,True,0,0,10,0.42,0.72,10,11.14
63,True,0,0,17,0.73,0.79,17,18.52
64,True,0,0,14,0.5,0.36,14,14.86
65,True,0,0,0,0.34,0.62,0,0.96
66,True,0,0,6,0.63,0.73,6,7.359999999999999
67,True,0,0,18,0.08,0.11,18,18.19
68,True,0,0,13,0.72,0.37,13,14.09
69,True,0,0,0,0.78,0.86,0,1.6400000000000001
70,True,0,0,14,0.43,0.61,14,15.04
71,True,0,0,5,0.74,0.84,5,6.58
72,True,0,0,1,0.86,0.76,1,2.62
73,True,0,0,9,0.35,0.56,9,9.91
