,G,c1,c2,count,p1,p2,post,pre
0,False,0,1,14,0.62,0.91,14,14.0
1,False,1,1,15,0.62,0.91,15,15.0
2,False,1,0,14,0.62,0.91,14,14.0
3,False,0,1,14,0.62,0.91,14,14.0
4,False,1,1,15,0.62,0.91,15,15.0
5,False,1,1,15,0.62,0.91,15,15.0
6,False,1,1,15,0.62,0.91,15,15.0
7,False,1,1,15,0.62,0.91,15,15.0
8,True,0,0,13,0.62,0.91,13,14.53
9,True,0,0,13,0.62,0.91,13,14.53
10,False,1,1,15,0.62,0.91,15,15.0
11,False,1,1,15,0.62,0.91,15,15.0
12,False,1,1,15,0.62,0.91,15,15.0
13,False,0,1,14,0.62,0.91,14,14.0
14,False,1,1,15,0.62,0.91,15,15.0
15,False,0,1,14,0.62,0.91,14,14.0
16,False,0,1,14,0.62,0.91,14,14.0
17,False,1,1,15,0.62,0.91,15,15.0
18,False,1,1,15,0.62,0.91,15,15.0
19,False,1,1,15,0.62,0.91,15,15.0
20,True,0,0,13,0.62,0.91,13,14.53
21,False,0,1,14,0.62,0.91,14,14.0
22,False,0,1,14,0.62,0.91,14,14.0
23,False,1,1,15,0.62,0.91,15,15.0
24,False,1,1,15,0.62,0.91,15,15.0
25,False,1,1,15,0.62,0.91,15,15.0
26,False,1,1,15,0.62,0.91,15,15.0
27,False,1,1,15,0.62,0.91,15,15.0
28,False,1,1,15,0.62,0.91,15,15.0
29,False,0,1,14,0.62,0.91,14,14.0
30,False,1,1,15,0.62,0.91,15,15.0
31,False,0,1,14,0.62,0.91,14,14.0
32,False,1,1,15,0.62,0.91,15,15.0
33,False,0,1,14,0.62,0.91,14,14.0
34,False,0,1,14,0.62,0.91,14,14.0
35,False,0,1,14,0.62,0.91,14,14.0
36,False,0,1,14,0.62,0.91,14,14.0
37,True,0,0,13,0.62,0.91,13,14.53
38,False,1,1,15,0.62,0.91,15,15.0
39,False,0,1,14,0.62,0.91,14,14.0
40,False,0,1,14,0.62,0.91,14,14.0
41,False,0,1,14,0.62,0.91,14,14.0
42,False,1,1,15,0.62,0.91,15,15.0
43,False,1,1,15,0.62,0.91,15,15.0
44,False,1,1,15,0.62,0.91,15,15.0
45,False,0,1,14,0.62,0.91,14,14.0
46,False,1,1,15,0.62,0.91,15,15.0
47,False,0,1,14,0.62,0.91,14,14.0
48,False,1,1,15,0.62,0.91,15,15.0
49,False,1,1,15,0.62,0.91,15,15.0
50,False,1,1,15,0.62,0.91,15,15.0
51,False,1,1,15,0.62,0.91,15,15.0
52,False,1,1,15,0.62,0.91,15,15.0
53,False,1,1,15,0.62,0.91,15,15.0
54,False,1,1,15,0.62,0.91,15,15.0
55,False,0,1,14,0.62,0.91,14,14.0
56,False,0,1,14,0.62,0.91,14,14.0
57,False,1,1,15,0.62,0.91,15,15.0
58,False,1,0,14,0.62,0.91,14,14.0
59,False,1,1,15,0.62,0.91,15,15.0
60,False,1,1,15,0.62,0.91,15,15.0
61,False,1,1,15,0.62,0.91,15,15.0
62,False,0,1,14,0.62,0.91,14,14.0
63,False,0,1,14,0.62,0.91,14,14.0
64,False,1,1,15,0.62,0.91,15,15.0
65,False,1,1,15,0.62,0.91,15,15.0
66,False,0,1,14,0.62,0.91,14,14.0
67,False,1,1,15,0.62,0.91,15,15.0
68,False,0,1,14,0.62,0.91,14,14.0
69,False,1,1,15,0.62,0.91,15,15.0
70,False,0,1,14,0.62,0.91,14,14.0
71,False,1,1,15,0.62,0.91,15,15.0
72,False,0,1,14,0.62,0.91,14,14.0
73,False,1,1,15,0.62,0.91,15,15.0
74,False,0,1,14,0.62,0.91,14,14.0
75,False,0,1,14,0.62,0.91,14,14.0
76,False,1,0,14,0.62,0.91,14,14.0
