,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c1*c1),(c1*c2),(c1+c2),(c1-c2),(c2*c2),(c2-c1),(count*count),(p1*p2),(p1+p2),c1,c2,count,expected_post,p1,p2,post-init
0,0.93,1.28,1.9,0.72,0.1,0,0,0,0,0,0,196,0.25,1.18,0,0,14,15.29,0.28,0.9,1.2899999999999991
1,0.88,1.39,1.81,0.61,0.19,0,0,0,0,0,0,289,0.32,1.2,0,0,17,18.344,0.39,0.81,1.3440000000000012
2,0.57,1.13,1.51,0.87,0.49,0,0,0,0,0,0,256,0.07,0.64,0,0,16,17.108,0.13,0.51,1.1080000000000005
3,0.4,1.3,1.14,0.7,0.86,0,0,0,0,0,0,16,0.04,0.44,0,0,4,5.104,0.3,0.14,1.104
4,0.89,1.18,1.87,0.82,0.13,0,0,0,0,0,0,1,0.16,1.05,0,0,1,2.176,0.18,0.87,1.1760000000000002
5,0.76,1.06,1.74,0.94,0.26,0,0,0,0,0,0,324,0.04,0.8,0,0,18,19.048,0.06,0.74,1.0479999999999983
6,0.77,1.56,1.48,0.44,0.52,0,0,0,0,0,0,1,0.27,1.04,0,0,1,2.352,0.56,0.48,1.3519999999999999
7,0.86,1.55,1.68,0.45,0.32,0,0,0,0,0,0,225,0.37,1.23,0,0,15,16.448,0.55,0.68,1.4480000000000004
8,0.6,1.31,1.42,0.69,0.58,0,0,0,0,0,0,400,0.13,0.73,0,0,20,21.182,0.31,0.42,1.1819999999999986
9,0.86,1.64,1.61,0.36,0.39,0,0,0,0,0,0,169,0.39,1.25,0,0,13,14.468,0.64,0.61,1.468
10,0.91,1.63,1.75,0.37,0.25,0,0,0,0,0,0,400,0.47,1.38,0,0,20,21.506,0.63,0.75,1.5060000000000002
11,0.57,1.05,1.55,0.95,0.45,0,0,0,0,0,0,324,0.03,0.6,0,0,18,19.054,0.05,0.55,1.0539999999999985
12,0.88,1.65,1.66,0.35,0.34,0,0,0,0,0,0,36,0.43,1.31,0,0,6,7.492,0.65,0.66,1.492
13,0.76,1.53,1.48,0.47,0.52,0,0,0,0,0,0,16,0.25,1.01,0,0,4,5.326,0.53,0.48,1.3259999999999996
14,0.95,1.9,1.54,0.1,0.46,0,0,0,0,0,0,4,0.49,1.44,0,0,2,3.468,0.9,0.54,1.468
15,0.69,1.07,1.67,0.93,0.33,0,0,0,0,0,0,16,0.05,0.74,0,0,4,5.062,0.07,0.67,1.0620000000000003
16,0.89,1.82,1.41,0.18,0.59,0,0,0,0,0,0,81,0.34,1.23,0,0,9,10.356,0.82,0.41,1.3559999999999999
17,0.56,1.41,1.25,0.59,0.75,0,0,0,0,0,0,0,0.1,0.66,0,0,0,1.18,0.41,0.25,1.18
18,0.79,1.7,1.3,0.3,0.7,0,0,0,0,0,0,0,0.21,1.0,0,0,0,1.256,0.7,0.3,1.256
19,0.86,1.65,1.59,0.35,0.41,0,0,0,0,0,0,169,0.38,1.24,0,0,13,14.468,0.65,0.59,1.468
20,0.88,1.86,1.17,0.14,0.83,0,0,0,0,0,0,400,0.15,1.03,0,0,20,21.182,0.86,0.17,1.1819999999999986
21,0.99,1.9,1.88,0.1,0.12,0,0,0,0,0,0,16,0.79,1.78,0,0,4,5.812,0.9,0.88,1.8120000000000003
22,0.88,1.13,1.86,0.87,0.14,0,0,0,0,0,0,256,0.11,0.99,0,0,16,17.128,0.13,0.86,1.1280000000000001
23,0.73,1.57,1.37,0.43,0.63,0,0,0,0,0,0,225,0.21,0.94,0,0,15,16.306,0.57,0.37,1.306000000000001
24,0.94,1.89,1.44,0.11,0.56,0,0,0,0,0,0,144,0.39,1.33,0,0,12,13.42,0.89,0.44,1.42
