,G,post,pre,x,y,z
0,True,17,17,12,19,17
1,True,4,4,3,20,4
2,True,8,8,14,17,8
3,True,16,16,6,11,16
4,True,4,4,4,13,4
5,True,9,9,3,11,9
6,True,6,6,6,15,6
7,True,7,7,4,7,7
8,True,12,12,3,16,12
9,True,16,16,9,10,16
10,True,7,7,7,14,7
11,True,2,2,8,12,2
12,True,15,15,14,19,15
13,True,11,11,7,16,11
14,True,11,11,9,19,11
15,True,15,15,5,13,15
16,True,0,0,16,18,0
17,True,4,4,7,15,4
18,True,20,20,1,5,20
19,True,19,19,4,6,19
20,True,2,2,2,4,2
21,True,18,18,7,9,18
22,True,9,9,6,9,9
23,True,18,18,1,11,18
24,True,9,9,1,16,9
25,True,11,11,12,20,11
26,True,1,1,15,17,1
27,True,9,9,2,12,9
28,True,4,4,10,12,4
29,True,9,9,15,20,9
30,True,15,15,1,16,15
31,True,16,16,9,10,16
32,True,19,19,5,17,19
33,True,3,3,4,12,3
34,True,11,11,5,9,11
35,True,20,20,11,14,20
36,True,10,10,6,13,10
37,True,10,10,14,18,10
38,True,18,18,9,15,18
39,True,2,2,3,20,2
40,True,13,13,16,20,13
41,True,1,1,7,10,1
42,True,16,16,12,15,16
43,True,15,15,1,14,15
44,True,9,9,2,7,9
45,True,1,1,6,8,1
46,True,10,10,10,18,10
47,True,15,15,1,3,15
48,True,3,3,4,20,3
49,True,18,18,7,8,18
50,True,13,13,10,12,13
51,True,12,12,4,10,12
52,True,11,11,9,19,11
53,True,17,17,2,8,17
54,True,10,10,1,13,10
55,True,15,15,3,8,15
56,True,1,1,2,14,1
57,True,7,7,2,6,7
58,True,11,11,4,10,11
59,True,9,9,15,18,9
60,True,20,20,9,14,20
61,True,16,16,5,13,16
62,True,11,11,5,20,11
63,True,7,7,17,19,7
64,True,10,10,5,16,10
65,True,17,17,4,15,17
66,True,15,15,9,17,15
67,True,17,17,3,10,17
68,True,16,16,4,17,16
69,True,19,19,8,11,19
70,True,17,17,5,12,17
71,True,14,14,12,20,14
72,True,15,15,11,15,15
73,True,3,3,14,17,3
74,True,11,11,1,17,11
75,True,5,5,6,7,5
76,True,17,17,2,19,17
77,True,7,7,8,18,7
78,True,6,6,10,14,6
79,True,14,14,3,11,14
80,True,13,13,11,14,13
81,True,11,11,4,18,11
82,True,13,13,4,10,13
83,True,5,5,11,14,5
84,True,19,19,5,19,19
85,True,20,20,2,4,20
86,True,2,2,9,19,2
87,True,13,13,7,18,13
88,True,15,15,4,16,15
89,True,19,19,11,16,19
90,True,0,0,4,11,0
91,True,0,0,2,15,0
92,True,16,16,1,9,16
93,True,20,20,6,14,20
94,True,17,17,14,16,17
95,True,5,5,6,11,5
96,True,14,14,7,9,14
97,True,4,4,5,9,4
98,True,7,7,6,11,7
99,True,2,2,7,12,2
100,True,1,1,4,10,1
101,True,3,3,8,16,3
102,True,0,0,8,14,0
103,True,3,3,7,13,3
104,True,6,6,3,12,6
105,True,20,20,12,15,20
106,True,6,6,6,20,6
107,True,9,9,16,17,9
108,True,15,15,5,7,15
109,True,16,16,2,7,16
110,True,2,2,2,4,2
111,True,0,0,3,20,0
112,True,12,12,3,14,12
113,True,19,19,3,20,19
114,True,16,16,1,5,16
115,True,19,19,14,17,19
116,True,11,11,16,20,11
117,True,10,10,9,14,10
118,True,16,16,6,17,16
119,True,19,19,13,17,19
120,True,4,4,8,12,4
121,True,16,16,6,18,16
122,True,4,4,3,13,4
123,True,20,20,5,11,20
124,True,17,17,6,7,17
125,True,1,1,12,14,1
126,True,7,7,3,4,7
127,True,6,6,10,12,6
128,True,20,20,2,3,20
129,True,13,13,6,15,13
130,True,3,3,12,14,3
131,True,5,5,7,19,5
132,True,13,13,3,16,13
133,True,8,8,17,18,8
134,True,18,18,2,19,18
135,True,8,8,7,12,8
136,True,17,17,19,20,17
137,True,3,3,1,3,3
