,G,post,pre,x,y,z
0,True,18,18,13,19,18
1,True,18,18,11,19,18
2,True,18,18,11,19,18
3,True,18,18,11,19,18
4,True,18,18,13,19,18
5,True,18,18,13,19,18
6,True,18,18,11,19,18
7,True,18,18,13,19,18
8,True,18,18,11,19,18
9,True,18,18,13,19,18
10,True,18,18,13,19,18
11,True,18,18,13,19,18
12,True,18,18,11,19,18
13,True,18,18,13,19,18
14,True,18,18,11,19,18
15,True,18,18,13,19,18
16,True,18,18,11,19,18
17,True,18,18,11,19,18
18,True,18,18,11,19,18
19,True,18,18,11,19,18
20,True,18,18,11,19,18
21,True,18,18,11,19,18
22,True,18,18,11,19,18
23,True,18,18,11,19,18
24,True,18,18,11,19,18
25,True,18,18,13,19,18
26,True,18,18,11,19,18
27,True,18,18,11,19,18
28,True,18,18,13,19,18
29,True,18,18,11,19,18
30,True,18,18,11,19,18
31,True,18,18,13,19,18
32,True,18,18,13,19,18
33,True,18,18,13,19,18
34,True,18,18,11,19,18
35,True,18,18,13,19,18
36,True,18,18,11,19,18
37,True,18,18,13,19,18
38,True,18,18,13,19,18
39,True,18,18,13,19,18
40,True,18,18,11,19,18
41,True,18,18,13,19,18
42,True,18,18,11,19,18
43,True,18,18,11,19,18
44,True,18,18,13,19,18
45,True,18,18,13,19,18
46,True,18,18,11,19,18
47,True,18,18,11,19,18
48,True,18,18,13,19,18
49,True,18,18,13,19,18
50,True,18,18,13,19,18
51,True,18,18,11,19,18
52,True,18,18,11,19,18
53,True,18,18,11,19,18
54,True,18,18,13,19,18
55,True,18,18,11,19,18
56,True,18,18,11,19,18
57,True,18,18,13,19,18
58,True,18,18,11,19,18
59,True,18,18,11,19,18
60,True,18,18,13,19,18
61,True,18,18,13,19,18
62,True,18,18,13,19,18
63,True,18,18,13,19,18
64,True,18,18,11,19,18
65,True,18,18,11,19,18
66,True,18,18,13,19,18
67,True,18,18,13,19,18
68,True,18,18,11,19,18
69,True,18,18,11,19,18
70,True,18,18,11,19,18
71,True,18,18,13,19,18
72,True,18,18,11,19,18
73,True,18,18,13,19,18
74,True,18,18,13,19,18
75,True,18,18,11,19,18
76,True,18,18,13,19,18
77,True,18,18,11,19,18
78,True,18,18,11,19,18
79,True,18,18,13,19,18
80,True,18,18,11,19,18
81,True,18,18,11,19,18
82,True,18,18,11,19,18
83,True,18,18,11,19,18
84,True,18,18,11,19,18
85,True,18,18,13,19,18
86,True,18,18,13,19,18
87,True,18,18,11,19,18
88,True,18,18,11,19,18
89,True,18,18,11,19,18
90,True,18,18,13,19,18
91,True,18,18,11,19,18
92,True,18,18,11,19,18
93,True,18,18,11,19,18
94,True,18,18,11,19,18
95,True,18,18,11,19,18
96,True,18,18,11,19,18
97,True,18,18,13,19,18
98,True,18,18,11,19,18
99,True,18,18,11,19,18
100,True,18,18,11,19,18
101,True,18,18,11,19,18
102,True,18,18,11,19,18
103,True,18,18,13,19,18
104,True,18,18,13,19,18
105,True,18,18,11,19,18
106,True,18,18,13,19,18
107,True,18,18,11,19,18
108,True,18,18,13,19,18
109,True,18,18,11,19,18
110,True,18,18,11,19,18
111,True,18,18,13,19,18
112,True,18,18,11,19,18
113,True,18,18,11,19,18
114,True,18,18,11,19,18
115,True,18,18,11,19,18
116,True,18,18,11,19,18
117,True,18,18,11,19,18
118,True,18,18,11,19,18
119,True,18,18,13,19,18
120,True,18,18,11,19,18
121,True,18,18,13,19,18
122,True,18,18,13,19,18
123,True,18,18,11,19,18
124,True,18,18,11,19,18
125,True,18,18,11,19,18
126,True,18,18,11,19,18
127,True,18,18,11,19,18
128,True,18,18,11,19,18
129,True,18,18,11,19,18
130,True,18,18,11,19,18
131,True,18,18,13,19,18
132,True,18,18,13,19,18
