,(x*x),(x*y),(x+y),(x-y),(x-z),(y*y),(y-x),(y-z),(z*x),(z*y),(z*z),(z+x),(z+y),(z-x),(z-y),expected_post,post-init,x,y,z
0,9,27,12,-6,-17,81,6,-11,60,180,400,23,29,17,11,38.194,18.194000000000003,3,9,20
1,25,80,21,-11,-13,256,11,-2,90,288,324,23,34,13,2,73.896,55.896,5,16,18
2,121,209,30,-8,-7,361,8,1,198,342,324,29,37,7,-1,103.65,85.65,11,19,18
3,81,171,28,-10,5,361,10,15,36,76,16,13,23,-5,-15,94.32,90.32,9,19,4
4,16,28,11,-3,-4,49,3,-1,32,56,64,12,15,4,1,19.472,11.472000000000001,4,7,8
5,361,380,39,-1,5,400,1,6,266,280,196,33,34,-5,-6,30.604,16.604,19,20,14
6,169,195,28,-2,9,225,2,11,52,60,16,17,19,-9,-11,31.568,27.568,13,15,4
7,9,48,19,-13,3,256,13,16,0,0,0,3,16,-3,-16,37.08,37.08,3,16,0
8,64,80,18,-2,-8,100,2,-6,128,160,256,24,26,8,6,32.624,16.624000000000002,8,10,16
9,25,50,15,-5,0,100,5,5,25,50,25,10,15,0,-5,30.544,25.544,5,10,5
10,169,182,27,-1,8,196,1,9,65,70,25,18,19,-8,-9,18.432,13.431999999999999,13,14,5
11,25,55,16,-6,0,121,6,6,25,55,25,10,16,0,-6,35.742,30.741999999999997,5,11,5
12,144,156,25,-1,8,169,1,9,48,52,16,16,17,-8,-9,16.57,12.57,12,13,4
13,36,72,18,-6,2,144,6,8,24,48,16,10,16,-2,-8,40.588,36.588,6,12,4
14,4,38,21,-17,-16,361,17,1,36,342,324,20,37,16,-1,51.086,33.086,2,19,18
15,16,48,16,-8,3,144,8,11,4,12,1,5,13,-3,-11,33.896,32.896,4,12,1
16,9,48,19,-13,-4,256,13,9,21,112,49,10,23,4,-9,47.608,40.608,3,16,7
17,36,72,18,-6,6,144,6,12,0,0,0,6,12,-6,-12,37.692,37.692,6,12,0
18,25,100,25,-15,-10,400,15,5,75,300,225,20,35,10,-5,88.72,73.72,5,20,15
19,36,66,17,-5,3,121,5,8,18,33,9,9,14,-3,-8,32.998,29.997999999999998,6,11,3
20,4,18,11,-7,-15,81,7,-8,34,153,289,19,26,15,8,31.626,14.626000000000001,2,9,17
21,121,198,29,-7,-1,324,7,6,132,216,144,23,30,1,-6,87.884,75.884,11,18,12
22,225,270,33,-3,14,324,3,17,15,18,1,16,19,-14,-17,41.62,40.62,15,18,1
23,16,28,11,-3,-9,49,3,-6,52,91,169,17,20,9,6,24.724,11.724,4,7,13
24,36,42,13,-1,-14,49,1,-13,120,140,400,26,27,14,13,25.894,5.893999999999998,6,7,20
25,36,78,19,-7,0,169,7,7,36,78,36,12,19,0,-7,47.47,41.47,6,13,6
26,64,96,20,-4,4,144,4,8,32,48,16,12,16,-4,-8,36.284,32.284,8,12,4
27,9,30,13,-7,-15,100,7,-8,54,180,324,21,28,15,8,37.348,19.348,3,10,18
28,225,300,35,-5,2,400,5,7,195,260,169,28,33,-2,-7,87.22,74.22,15,20,13
29,49,56,15,-1,-1,64,1,0,56,64,64,15,16,1,0,15.052,7.052,7,8,8
30,81,180,29,-11,-6,400,11,5,135,300,225,24,35,6,-5,112.428,97.428,9,20,15
31,64,136,25,-9,-3,289,9,6,88,187,121,19,28,3,-6,81.876,70.876,8,17,11
32,81,126,23,-5,5,196,5,10,36,56,16,13,18,-5,-10,51.732,47.732,9,14,4
33,16,44,15,-7,-12,121,7,-5,64,176,256,20,27,12,5,45.176,29.176000000000002,4,11,16
34,225,255,32,-2,2,289,2,4,195,221,169,28,30,-2,-4,43.502,30.502000000000002,15,17,13
35,36,84,20,-8,-13,196,8,-5,114,266,361,25,33,13,5,66.048,47.048,6,14,19
