,G,flip,p1,post,pre,z
0,True,0,0.79,4,4.21,4
1,True,0,0.75,9,9.25,9
2,True,0,0.22,4,4.78,4
3,True,0,0.59,16,16.41,16
4,True,0,0.43,4,4.57,4
5,True,0,0.74,1,1.26,1
6,True,0,0.05,1,1.95,1
7,True,0,0.52,1,1.48,1
8,True,0,0.47,17,17.53,17
9,True,0,0.93,17,17.07,17
10,True,0,0.4,5,5.6,5
11,True,0,0.36,4,4.64,4
12,True,0,0.15,10,10.85,10
13,True,0,0.81,20,20.19,20
14,True,0,0.64,14,14.36,14
15,True,0,0.13,17,17.87,17
16,True,0,0.75,12,12.25,12
17,True,0,0.39,13,13.61,13
18,True,0,0.28,15,15.72,15
19,True,0,0.87,5,5.13,5
20,True,0,0.77,6,6.23,6
21,True,0,0.16,16,16.84,16
22,True,0,0.51,2,2.49,2
23,True,0,0.61,5,5.39,5
24,True,0,0.12,4,4.88,4
25,True,0,0.7,15,15.3,15
26,True,0,0.88,0,0.12,0
27,True,0,0.47,6,6.53,6
28,True,0,0.39,6,6.61,6
29,True,0,0.48,9,9.52,9
30,True,0,0.22,3,3.7800000000000002,3
31,True,0,0.64,0,0.36,0
32,True,0,0.19,10,10.81,10
33,True,0,0.56,1,1.44,1
34,True,0,0.41,6,6.59,6
35,True,0,0.27,9,9.73,9
36,True,0,0.57,12,12.43,12
37,True,0,0.5,3,3.5,3
38,True,0,0.34,3,3.66,3
39,True,0,0.35,18,18.65,18
40,True,0,0.61,14,14.39,14
41,True,0,0.66,10,10.34,10
42,True,0,0.61,17,17.39,17
43,True,0,0.53,15,15.47,15
44,True,0,0.71,6,6.29,6
45,True,0,0.71,11,11.29,11
46,True,0,0.5,20,20.5,20
47,True,0,0.11,18,18.89,18
48,True,0,0.71,15,15.29,15
49,True,0,0.16,11,11.84,11
50,True,0,0.51,19,19.49,19
51,True,0,0.34,11,11.66,11
52,True,0,0.43,8,8.57,8
53,True,0,0.77,1,1.23,1
