,G,flip,p1,post,pre,z
0,True,0,0.79,5,5.21,5
1,False,1,0.79,4,4.0,4
2,False,1,0.79,4,4.0,4
3,False,1,0.79,4,4.0,4
4,False,1,0.79,4,4.0,4
5,False,1,0.79,4,4.0,4
6,False,1,0.79,4,4.0,4
7,False,1,0.79,4,4.0,4
8,False,1,0.79,4,4.0,4
9,False,1,0.79,4,4.0,4
10,False,1,0.79,4,4.0,4
11,False,1,0.79,4,4.0,4
12,True,0,0.79,5,5.21,5
13,False,1,0.79,4,4.0,4
14,False,1,0.79,4,4.0,4
15,False,1,0.79,4,4.0,4
16,False,1,0.79,4,4.0,4
17,False,1,0.79,4,4.0,4
18,False,1,0.79,4,4.0,4
19,False,1,0.79,4,4.0,4
20,True,0,0.79,5,5.21,5
21,False,1,0.79,4,4.0,4
22,True,0,0.79,5,5.21,5
23,False,1,0.79,4,4.0,4
24,False,1,0.79,4,4.0,4
25,False,1,0.79,4,4.0,4
26,False,1,0.79,4,4.0,4
27,False,1,0.79,4,4.0,4
28,False,1,0.79,4,4.0,4
29,False,1,0.79,4,4.0,4
30,False,1,0.79,4,4.0,4
31,False,1,0.79,4,4.0,4
32,True,0,0.79,5,5.21,5
33,False,1,0.79,4,4.0,4
34,False,1,0.79,4,4.0,4
35,True,0,0.79,5,5.21,5
36,False,1,0.79,4,4.0,4
37,True,0,0.79,5,5.21,5
38,False,1,0.79,4,4.0,4
39,False,1,0.79,4,4.0,4
40,False,1,0.79,4,4.0,4
41,False,1,0.79,4,4.0,4
42,False,1,0.79,4,4.0,4
43,False,1,0.79,4,4.0,4
44,False,1,0.79,4,4.0,4
45,False,1,0.79,4,4.0,4
46,False,1,0.79,4,4.0,4
47,False,1,0.79,4,4.0,4
48,False,1,0.79,4,4.0,4
49,False,1,0.79,4,4.0,4
50,True,0,0.79,5,5.21,5
51,False,1,0.79,4,4.0,4
52,False,1,0.79,4,4.0,4
53,True,0,0.79,5,5.21,5
54,False,1,0.79,4,4.0,4
55,False,1,0.79,4,4.0,4
56,False,1,0.79,4,4.0,4
57,False,1,0.79,4,4.0,4
58,False,1,0.79,4,4.0,4
59,False,1,0.79,4,4.0,4
60,False,1,0.79,4,4.0,4
61,False,1,0.79,4,4.0,4
62,False,1,0.79,4,4.0,4
63,True,0,0.79,5,5.21,5
64,False,1,0.79,4,4.0,4
65,True,0,0.79,5,5.21,5
66,True,0,0.79,5,5.21,5
67,False,1,0.79,4,4.0,4
68,False,1,0.79,4,4.0,4
69,False,1,0.79,4,4.0,4
70,False,1,0.79,4,4.0,4
71,False,1,0.79,4,4.0,4
72,False,1,0.79,4,4.0,4
73,False,1,0.79,4,4.0,4
74,False,1,0.79,4,4.0,4
75,True,0,0.79,5,5.21,5
76,False,1,0.79,4,4.0,4
77,False,1,0.79,4,4.0,4
78,False,1,0.79,4,4.0,4
79,True,0,0.79,5,5.21,5
80,True,0,0.79,5,5.21,5
81,False,1,0.79,4,4.0,4
82,True,0,0.79,5,5.21,5
83,False,1,0.79,4,4.0,4
84,False,1,0.79,4,4.0,4
85,False,1,0.79,4,4.0,4
86,False,1,0.79,4,4.0,4
87,False,1,0.79,4,4.0,4
88,False,1,0.79,4,4.0,4
89,False,1,0.79,4,4.0,4
90,False,1,0.79,4,4.0,4
91,False,1,0.79,4,4.0,4
92,False,1,0.79,4,4.0,4
93,False,1,0.79,4,4.0,4
94,False,1,0.79,4,4.0,4
95,False,1,0.79,4,4.0,4
96,False,1,0.79,4,4.0,4
97,False,1,0.79,4,4.0,4
98,False,1,0.79,4,4.0,4
99,False,1,0.79,4,4.0,4
100,False,1,0.79,4,4.0,4
101,False,1,0.79,4,4.0,4
102,True,0,0.79,5,5.21,5
103,False,1,0.79,4,4.0,4
104,False,1,0.79,4,4.0,4
105,False,1,0.79,4,4.0,4
106,False,1,0.79,4,4.0,4
107,False,1,0.79,4,4.0,4
108,False,1,0.79,4,4.0,4
109,False,1,0.79,4,4.0,4
110,False,1,0.79,4,4.0,4
111,False,1,0.79,4,4.0,4
112,True,0,0.79,5,5.21,5
113,False,1,0.79,4,4.0,4
114,False,1,0.79,4,4.0,4
115,False,1,0.79,4,4.0,4
116,False,1,0.79,4,4.0,4
117,False,1,0.79,4,4.0,4
118,False,1,0.79,4,4.0,4
119,False,1,0.79,4,4.0,4
120,False,1,0.79,4,4.0,4
121,True,0,0.79,5,5.21,5
122,False,1,0.79,4,4.0,4
123,False,1,0.79,4,4.0,4
124,False,1,0.79,4,4.0,4
125,True,0,0.79,5,5.21,5
126,False,1,0.79,4,4.0,4
127,False,1,0.79,4,4.0,4
128,False,1,0.79,4,4.0,4
129,False,1,0.79,4,4.0,4
130,False,1,0.79,4,4.0,4
131,False,1,0.79,4,4.0,4
132,False,1,0.79,4,4.0,4
133,False,1,0.79,4,4.0,4
134,True,0,0.79,5,5.21,5
135,False,1,0.79,4,4.0,4
136,False,1,0.79,4,4.0,4
137,False,1,0.79,4,4.0,4
138,False,1,0.79,4,4.0,4
139,False,1,0.79,4,4.0,4
140,False,1,0.79,4,4.0,4
141,False,1,0.79,4,4.0,4
142,False,1,0.79,4,4.0,4
143,False,1,0.79,4,4.0,4
144,False,1,0.79,4,4.0,4
145,False,1,0.79,4,4.0,4
146,False,1,0.79,4,4.0,4
147,True,0,0.79,5,5.21,5
148,False,1,0.79,4,4.0,4
149,False,1,0.79,4,4.0,4
150,False,1,0.79,4,4.0,4
151,False,1,0.79,4,4.0,4
152,False,1,0.79,4,4.0,4
153,False,1,0.79,4,4.0,4
154,False,1,0.79,4,4.0,4
155,False,1,0.79,4,4.0,4
156,True,0,0.79,5,5.21,5
157,True,0,0.79,5,5.21,5
158,False,1,0.79,4,4.0,4
159,False,1,0.79,4,4.0,4
160,True,0,0.79,5,5.21,5
161,False,1,0.79,4,4.0,4
162,False,1,0.79,4,4.0,4
163,False,1,0.79,4,4.0,4
164,True,0,0.79,5,5.21,5
165,False,1,0.79,4,4.0,4
166,True,0,0.79,5,5.21,5
167,False,1,0.79,4,4.0,4
168,False,1,0.79,4,4.0,4
169,False,1,0.79,4,4.0,4
170,False,1,0.79,4,4.0,4
171,False,1,0.79,4,4.0,4
172,False,1,0.79,4,4.0,4
173,False,1,0.79,4,4.0,4
174,False,1,0.79,4,4.0,4
175,False,1,0.79,4,4.0,4
176,False,1,0.79,4,4.0,4
177,False,1,0.79,4,4.0,4
178,False,1,0.79,4,4.0,4
179,False,1,0.79,4,4.0,4
180,True,0,0.79,5,5.21,5
181,False,1,0.79,4,4.0,4
182,True,0,0.79,5,5.21,5
183,False,1,0.79,4,4.0,4
184,False,1,0.79,4,4.0,4
185,True,0,0.79,5,5.21,5
186,False,1,0.79,4,4.0,4
187,True,0,0.79,5,5.21,5
188,False,1,0.79,4,4.0,4
189,False,1,0.79,4,4.0,4
190,True,0,0.79,5,5.21,5
191,False,1,0.79,4,4.0,4
192,False,1,0.79,4,4.0,4
193,False,1,0.79,4,4.0,4
194,True,0,0.79,5,5.21,5
195,False,1,0.79,4,4.0,4
196,False,1,0.79,4,4.0,4
197,True,0,0.79,5,5.21,5
198,False,1,0.79,4,4.0,4
199,False,1,0.79,4,4.0,4
200,True,0,0.79,5,5.21,5
201,False,1,0.79,4,4.0,4
202,False,1,0.79,4,4.0,4
203,False,1,0.79,4,4.0,4
204,False,1,0.79,4,4.0,4
205,True,0,0.79,5,5.21,5
206,True,0,0.79,5,5.21,5
207,False,1,0.79,4,4.0,4
208,False,1,0.79,4,4.0,4
209,False,1,0.79,4,4.0,4
210,False,1,0.79,4,4.0,4
211,True,0,0.79,5,5.21,5
212,False,1,0.79,4,4.0,4
213,False,1,0.79,4,4.0,4
214,False,1,0.79,4,4.0,4
215,False,1,0.79,4,4.0,4
216,False,1,0.79,4,4.0,4
217,False,1,0.79,4,4.0,4
218,False,1,0.79,4,4.0,4
219,True,0,0.79,5,5.21,5
220,False,1,0.79,4,4.0,4
221,False,1,0.79,4,4.0,4
222,False,1,0.79,4,4.0,4
223,True,0,0.79,5,5.21,5
224,False,1,0.79,4,4.0,4
225,False,1,0.79,4,4.0,4
226,False,1,0.79,4,4.0,4
227,False,1,0.79,4,4.0,4
228,True,0,0.79,5,5.21,5
229,False,1,0.79,4,4.0,4
230,False,1,0.79,4,4.0,4
231,False,1,0.79,4,4.0,4
232,False,1,0.79,4,4.0,4
233,False,1,0.79,4,4.0,4
234,False,1,0.79,4,4.0,4
235,False,1,0.79,4,4.0,4
236,False,1,0.79,4,4.0,4
237,False,1,0.79,4,4.0,4
238,False,1,0.79,4,4.0,4
239,False,1,0.79,4,4.0,4
240,False,1,0.79,4,4.0,4
241,False,1,0.79,4,4.0,4
242,False,1,0.79,4,4.0,4
243,True,0,0.79,5,5.21,5
244,False,1,0.79,4,4.0,4
245,False,1,0.79,4,4.0,4
246,False,1,0.79,4,4.0,4
247,False,1,0.79,4,4.0,4
248,False,1,0.79,4,4.0,4
249,False,1,0.79,4,4.0,4
250,True,0,0.79,5,5.21,5
251,False,1,0.79,4,4.0,4
252,True,0,0.79,5,5.21,5
253,False,1,0.79,4,4.0,4
254,False,1,0.79,4,4.0,4
255,False,1,0.79,4,4.0,4
256,True,0,0.79,5,5.21,5
257,False,1,0.79,4,4.0,4
258,False,1,0.79,4,4.0,4
259,False,1,0.79,4,4.0,4
260,False,1,0.79,4,4.0,4
261,False,1,0.79,4,4.0,4
262,False,1,0.79,4,4.0,4
263,False,1,0.79,4,4.0,4
