,(1+p1),(1-p1),(flip*flip),(z*p1),(z*z),expected_post,flip,p1,post-init,z
0,1.49,0.51,0,9.31,361,19.918,0,0.49,0.9179999999999993,19
1,1.44,0.56,0,3.96,81,10.378,0,0.44,1.3780000000000001,9
2,1.91,0.09,0,0.91,1,1.088,0,0.91,0.08800000000000008,1
3,1.59,0.41,0,4.13,49,7.634,0,0.59,0.6340000000000003,7
4,1.09,0.91,0,1.71,361,29.202,0,0.09,10.202000000000002,19
5,1.16,0.84,0,1.28,64,13.108,0,0.16,5.1080000000000005,8
6,1.76,0.24,0,0.76,1,1.352,0,0.76,0.3520000000000001,1
7,1.29,0.71,0,4.35,225,17.504,0,0.29,2.5040000000000013,15
8,1.77,0.23,0,14.63,361,19.266,0,0.77,0.26599999999999824,19
9,1.53,0.47,0,6.36,144,12.872,0,0.53,0.8719999999999999,12
10,1.77,0.23,0,6.16,64,8.31,0,0.77,0.3100000000000005,8
11,1.69,0.31,0,6.9,100,10.474,0,0.69,0.4740000000000002,10
12,1.27,0.73,0,3.24,144,14.42,0,0.27,2.42,12
13,1.31,0.69,0,5.89,361,21.212,0,0.31,2.2119999999999997,19
14,1.88,0.12,0,2.64,9,3.126,0,0.88,0.1259999999999999,3
15,1.75,0.25,0,6.75,81,9.344,0,0.75,0.3439999999999994,9
16,1.84,0.16,0,3.36,16,4.172,0,0.84,0.1719999999999997,4
17,1.78,0.22,0,5.46,49,7.326,0,0.78,0.3259999999999996,7
18,1.36,0.64,0,3.24,81,10.71,0,0.36,1.7100000000000009,9
19,1.17,0.83,0,1.87,121,15.594,0,0.17,4.593999999999999,11
20,1.29,0.71,0,3.77,169,15.54,0,0.29,2.539999999999999,13
21,1.46,0.54,0,7.82,289,18.234,0,0.46,1.2340000000000018,17
22,1.76,0.24,0,3.8,25,5.312,0,0.76,0.3120000000000003,5
23,1.47,0.53,0,8.93,361,19.986,0,0.47,0.9860000000000007,19
24,1.69,0.31,0,2.07,9,3.504,0,0.69,0.504,3
25,1.57,0.43,0,2.85,25,5.718,0,0.57,0.718,5
26,1.56,0.44,0,10.64,361,19.73,0,0.56,0.7300000000000004,19
27,1.08,0.92,0,0.16,4,13.574,0,0.08,11.574,2
28,1.42,0.58,0,4.62,121,12.474,0,0.42,1.4740000000000002,11
29,1.8,0.2,0,8.8,121,11.212,0,0.8,0.21199999999999974,11
30,1.44,0.56,0,6.6,225,16.266,0,0.44,1.2659999999999982,15
31,1.48,0.52,0,7.68,256,17.206,0,0.48,1.2059999999999995,16
32,1.64,0.36,0,11.52,324,18.584,0,0.64,0.5839999999999996,18
33,1.09,0.91,0,1.08,144,21.792,0,0.09,9.792000000000002,12
34,1.63,0.37,0,2.52,16,4.58,0,0.63,0.5800000000000001,4
35,1.32,0.68,0,3.84,144,13.918,0,0.32,1.9179999999999993,12
36,1.42,0.58,0,6.72,256,17.388,0,0.42,1.3880000000000017,16
37,1.75,0.25,0,1.5,4,2.35,0,0.75,0.3500000000000001,2
38,1.6,0.4,0,6.6,121,11.684,0,0.6,0.6839999999999993,11
39,1.18,0.82,0,1.8,100,14.712,0,0.18,4.712,10
40,1.38,0.62,0,0.0,0,1.644,0,0.38,1.644,0
41,1.18,0.82,0,3.6,400,24.758,0,0.18,4.757999999999999,20
42,1.18,0.82,0,0.54,9,7.724,0,0.18,4.724,3
43,1.3,0.7,0,3.3,121,13.478,0,0.3,2.4779999999999998,11
44,1.77,0.23,0,12.32,256,16.296,0,0.77,0.2959999999999994,16
45,1.14,0.86,0,0.0,0,6.056,0,0.14,6.056,0
46,1.42,0.58,0,7.98,361,20.318,0,0.42,1.3180000000000014,19
47,1.88,0.12,0,11.44,169,13.138,0,0.88,0.1379999999999999,13
48,1.65,0.35,0,2.6,16,4.406,0,0.65,0.4059999999999997,4
49,1.78,0.22,0,10.14,169,13.28,0,0.78,0.27999999999999936,13
50,1.14,0.86,0,0.84,36,12.054,0,0.14,6.054,6
51,1.67,0.33,0,13.4,400,20.518,0,0.67,0.5180000000000007,20
52,1.2,0.8,0,2.2,121,14.986,0,0.2,3.9860000000000007,11
53,1.14,0.86,0,0.98,49,13.384,0,0.14,6.384,7
54,1.23,0.77,0,2.3,100,13.412,0,0.23,3.412000000000001,10
55,1.91,0.09,0,18.2,400,20.088,0,0.91,0.08800000000000097,20
56,1.7,0.3,0,1.4,4,2.442,0,0.7,0.44200000000000017,2
57,1.45,0.55,0,6.3,196,15.276,0,0.45,1.2759999999999998,14
58,1.75,0.25,0,6.75,81,9.308,0,0.75,0.30799999999999983,9
59,1.05,0.95,0,0.35,49,26.298,0,0.05,19.298,7
60,1.18,0.82,0,0.54,9,7.168,0,0.18,4.168,3
61,1.17,0.83,0,0.34,4,6.734,0,0.17,4.734,2
62,1.81,0.19,0,14.58,324,18.248,0,0.81,0.2480000000000011,18
63,1.62,0.38,0,4.34,49,7.61,0,0.62,0.6100000000000003,7
64,1.31,0.69,0,4.96,256,18.166,0,0.31,2.1660000000000004,16
65,1.12,0.88,0,1.8,225,22.81,0,0.12,7.809999999999999,15
66,1.4,0.6,0,0.0,0,1.444,0,0.4,1.444,0
67,1.77,0.23,0,9.24,144,12.326,0,0.77,0.3260000000000005,12
68,1.4,0.6,0,6.4,256,17.494,0,0.4,1.4939999999999998,16
69,1.39,0.61,0,1.56,16,5.684,0,0.39,1.6840000000000002,4
70,1.06,0.94,0,1.08,324,33.794,0,0.06,15.793999999999997,18
71,1.55,0.45,0,2.75,25,5.828,0,0.55,0.8280000000000003,5
72,1.88,0.12,0,9.68,121,11.148,0,0.88,0.1479999999999997,11
73,1.15,0.85,0,1.95,169,18.76,0,0.15,5.760000000000002,13
74,1.84,0.16,0,0.84,1,1.188,0,0.84,0.18799999999999994,1
75,1.95,0.05,0,17.1,324,18.048,0,0.95,0.047999999999998266,18
76,1.21,0.79,0,3.15,225,19.048,0,0.21,4.047999999999998,15
77,1.83,0.17,0,14.94,324,18.24,0,0.83,0.23999999999999844,18
78,1.33,0.67,0,4.62,196,15.932,0,0.33,1.9320000000000004,14
79,1.36,0.64,0,2.52,49,8.664,0,0.36,1.6639999999999997,7
80,1.06,0.94,0,0.12,4,17.542,0,0.06,15.542000000000002,2
81,1.47,0.53,0,8.46,324,19.014,0,0.47,1.0139999999999993,18
82,1.23,0.77,0,0.46,4,5.77,0,0.23,3.7699999999999996,2
83,1.39,0.61,0,0.78,4,3.554,0,0.39,1.5539999999999998,2
84,1.12,0.88,0,1.08,81,16.258,0,0.12,7.257999999999999,9
85,1.9,0.1,0,0.9,1,1.078,0,0.9,0.07800000000000007,1
86,1.6,0.4,0,11.4,361,19.666,0,0.6,0.6660000000000004,19
87,1.92,0.08,0,18.4,400,20.098,0,0.92,0.09799999999999898,20
88,1.35,0.65,0,7.0,400,21.724,0,0.35,1.7240000000000002,20
89,1.36,0.64,0,4.68,169,14.888,0,0.36,1.888,13
90,1.87,0.13,0,6.96,64,8.136,0,0.87,0.13599999999999923,8
91,1.85,0.15,0,8.5,100,10.198,0,0.85,0.1980000000000004,10
92,1.8,0.2,0,8.0,100,10.256,0,0.8,0.2560000000000002,10
93,1.77,0.23,0,0.77,1,1.296,0,0.77,0.29600000000000004,1
94,1.35,0.65,0,0.0,0,1.882,0,0.35,1.882,0
95,1.63,0.37,0,6.3,100,10.558,0,0.63,0.5579999999999998,10
96,1.34,0.66,0,6.12,324,20.008,0,0.34,2.007999999999999,18
97,1.17,0.83,0,3.23,361,23.844,0,0.17,4.844000000000001,19
98,1.28,0.72,0,0.28,1,3.568,0,0.28,2.568,1
99,1.69,0.31,0,6.9,100,10.41,0,0.69,0.41000000000000014,10
100,1.4,0.6,0,2.0,25,6.354,0,0.4,1.354,5
101,1.52,0.48,0,6.24,144,12.888,0,0.52,0.8879999999999999,12
102,1.64,0.36,0,6.4,100,10.58,0,0.64,0.5800000000000001,10
103,1.34,0.66,0,0.34,1,2.938,0,0.34,1.9380000000000002,1
104,1.25,0.75,0,0.5,4,5.108,0,0.25,3.1079999999999997,2
105,1.85,0.15,0,15.3,324,18.19,0,0.85,0.19000000000000128,18
106,1.55,0.45,0,0.0,0,0.856,0,0.55,0.856,0
107,1.75,0.25,0,0.0,0,0.316,0,0.75,0.316,0
108,1.14,0.86,0,1.96,196,20.106,0,0.14,6.106000000000002,14
109,1.71,0.29,0,5.68,64,8.41,0,0.71,0.41000000000000014,8
110,1.7,0.3,0,7.7,121,11.352,0,0.7,0.3520000000000003,11
111,1.68,0.32,0,0.0,0,0.478,0,0.68,0.478,0
112,1.91,0.09,0,18.2,400,20.088,0,0.91,0.08800000000000097,20
113,1.67,0.33,0,10.05,225,15.53,0,0.67,0.5299999999999994,15
114,1.78,0.22,0,14.82,361,19.256,0,0.78,0.2560000000000002,19
115,1.67,0.33,0,0.0,0,0.478,0,0.67,0.478,0
116,1.8,0.2,0,4.0,25,5.228,0,0.8,0.22799999999999976,5
117,1.23,0.77,0,4.14,324,21.43,0,0.23,3.4299999999999997,18
118,1.43,0.57,0,8.17,361,20.266,0,0.43,1.2659999999999982,19
119,1.79,0.21,0,5.53,49,7.218,0,0.79,0.21799999999999997,7
120,1.12,0.88,0,0.36,9,9.456,0,0.12,6.4559999999999995,3
121,1.73,0.27,0,10.95,225,15.314,0,0.73,0.31400000000000006,15
122,1.12,0.88,0,0.0,0,7.828,0,0.12,7.828,0
123,1.76,0.24,0,6.08,64,8.324,0,0.76,0.32399999999999984,8
124,1.72,0.28,0,10.8,225,15.408,0,0.72,0.4079999999999995,15
125,1.64,0.36,0,3.84,36,6.548,0,0.64,0.548,6
126,1.81,0.19,0,6.48,64,8.25,0,0.81,0.25,8
127,1.19,0.81,0,1.9,100,14.364,0,0.19,4.364000000000001,10
128,1.25,0.75,0,3.0,144,15.106,0,0.25,3.106,12
129,1.25,0.75,0,3.0,144,15.002,0,0.25,3.0020000000000007,12
130,1.46,0.54,0,5.98,169,14.226,0,0.46,1.2260000000000009,13
131,1.36,0.64,0,0.0,0,1.576,0,0.36,1.576,0
132,1.49,0.51,0,0.0,0,1.138,0,0.49,1.138,0
133,1.42,0.58,0,1.26,9,4.532,0,0.42,1.532,3
134,1.19,0.81,0,2.47,169,16.976,0,0.19,3.975999999999999,13
135,1.28,0.72,0,3.08,121,13.666,0,0.28,2.6660000000000004,11
136,1.52,0.48,0,7.28,196,14.838,0,0.52,0.8379999999999992,14
137,1.83,0.17,0,11.62,196,14.212,0,0.83,0.21199999999999974,14
138,1.07,0.93,0,0.91,169,26.586,0,0.07,13.585999999999999,13
139,1.11,0.89,0,0.88,64,15.75,0,0.11,7.75,8
140,1.38,0.62,0,2.66,49,8.384,0,0.38,1.3840000000000003,7
141,1.21,0.79,0,0.0,0,3.512,0,0.21,3.512,0
142,1.11,0.89,0,0.22,4,9.316,0,0.11,7.316000000000001,2
143,1.32,0.68,0,2.24,49,9.218,0,0.32,2.218,7
144,1.71,0.29,0,12.07,289,17.41,0,0.71,0.41000000000000014,17
145,1.23,0.77,0,0.0,0,3.43,0,0.23,3.43,0
146,1.72,0.28,0,3.6,25,5.332,0,0.72,0.33199999999999985,5
147,1.83,0.17,0,16.6,400,20.258,0,0.83,0.2579999999999991,20
148,1.49,0.51,0,9.8,400,21.088,0,0.49,1.088000000000001,20
149,1.84,0.16,0,5.04,36,6.184,0,0.84,0.18400000000000016,6
150,1.54,0.46,0,4.86,81,9.926,0,0.54,0.9260000000000002,9
151,1.36,0.64,0,4.32,144,13.728,0,0.36,1.7279999999999998,12
152,1.38,0.62,0,6.46,289,18.616,0,0.38,1.6159999999999997,17
153,1.13,0.87,0,1.3,100,16.756,0,0.13,6.756,10
154,1.47,0.53,0,0.47,1,2.05,0,0.47,1.0499999999999998,1
155,1.91,0.09,0,10.92,144,12.086,0,0.91,0.0860000000000003,12
156,1.33,0.67,0,3.3,100,12.036,0,0.33,2.0359999999999996,10
157,1.23,0.77,0,1.61,49,10.318,0,0.23,3.3179999999999996,7
158,1.6,0.4,0,5.4,81,9.63,0,0.6,0.6300000000000008,9
159,1.8,0.2,0,13.6,289,17.26,0,0.8,0.26000000000000156,17
160,1.46,0.54,0,2.3,25,6.256,0,0.46,1.2560000000000002,5
161,1.14,0.86,0,1.4,100,16.652,0,0.14,6.652000000000001,10
162,1.4,0.6,0,6.8,289,18.364,0,0.4,1.3640000000000008,17
163,1.4,0.6,0,4.4,121,12.478,0,0.4,1.4779999999999998,11
164,1.46,0.54,0,2.76,36,7.11,0,0.46,1.1100000000000003,6
165,1.42,0.58,0,0.84,4,3.344,0,0.42,1.3439999999999999,2
166,1.18,0.82,0,0.9,25,9.574,0,0.18,4.574,5
167,1.11,0.89,0,1.43,169,20.618,0,0.11,7.6179999999999986,13
168,1.82,0.18,0,7.38,81,9.224,0,0.82,0.2240000000000002,9
169,1.42,0.58,0,5.04,144,13.326,0,0.42,1.3260000000000005,12
170,1.74,0.26,0,3.7,25,5.36,0,0.74,0.3600000000000003,5
171,1.55,0.45,0,7.7,196,14.77,0,0.55,0.7699999999999996,14
172,1.36,0.64,0,6.48,324,19.598,0,0.36,1.597999999999999,18
173,1.93,0.07,0,11.16,144,12.08,0,0.93,0.08000000000000007,12
174,1.51,0.49,0,7.14,196,14.912,0,0.51,0.9120000000000008,14
175,1.32,0.68,0,5.44,289,18.936,0,0.32,1.936,17
176,1.87,0.13,0,16.53,361,19.154,0,0.87,0.15399999999999991,19
177,1.8,0.2,0,2.4,9,3.244,0,0.8,0.24400000000000022,3
178,1.59,0.41,0,5.31,81,9.732,0,0.59,0.7319999999999993,9
179,1.46,0.54,0,1.84,16,5.158,0,0.46,1.1580000000000004,4
180,1.55,0.45,0,7.15,169,13.87,0,0.55,0.8699999999999992,13
181,1.14,0.86,0,0.98,49,13.062,0,0.14,6.061999999999999,7
182,1.13,0.87,0,1.82,196,21.22,0,0.13,7.219999999999999,14
183,1.85,0.15,0,7.65,81,9.174,0,0.85,0.1739999999999995,9
184,1.32,0.68,0,0.64,4,3.986,0,0.32,1.9860000000000002,2
185,1.4,0.6,0,5.2,169,14.512,0,0.4,1.5120000000000005,13
186,1.81,0.19,0,12.15,225,15.234,0,0.81,0.23399999999999999,15
187,1.72,0.28,0,12.96,324,18.458,0,0.72,0.4579999999999984,18
188,1.1,0.9,0,0.5,25,14.652,0,0.1,9.652,5
189,1.21,0.79,0,3.57,289,20.618,0,0.21,3.6179999999999986,17
190,1.51,0.49,0,3.06,36,7.0,0,0.51,1.0,6
191,1.47,0.53,0,0.47,1,2.186,0,0.47,1.186,1
192,1.87,0.13,0,17.4,400,20.142,0,0.87,0.14199999999999946,20
193,1.87,0.13,0,16.53,361,19.144,0,0.87,0.14399999999999835,19
194,1.87,0.13,0,0.0,0,0.158,0,0.87,0.158,0
195,1.64,0.36,0,12.16,361,19.502,0,0.64,0.5019999999999989,19
196,1.73,0.27,0,9.49,169,13.276,0,0.73,0.2759999999999998,13
197,1.25,0.75,0,4.25,289,19.866,0,0.25,2.8659999999999997,17
198,1.2,0.8,0,3.4,289,21.214,0,0.2,4.213999999999999,17
199,1.23,0.77,0,3.45,225,18.396,0,0.23,3.396000000000001,15
200,1.45,0.55,0,3.15,49,8.176,0,0.45,1.1760000000000002,7
201,1.62,0.38,0,0.62,1,1.606,0,0.62,0.6060000000000001,1
202,1.66,0.34,0,7.92,144,12.5,0,0.66,0.5,12
203,1.74,0.26,0,4.44,36,6.354,0,0.74,0.3540000000000001,6
204,1.28,0.72,0,3.36,144,14.472,0,0.28,2.4719999999999995,12
205,1.28,0.72,0,5.04,324,20.406,0,0.28,2.405999999999999,18
206,1.56,0.44,0,2.8,25,5.692,0,0.56,0.6920000000000002,5
207,1.19,0.81,0,1.14,36,10.228,0,0.19,4.228,6
208,1.06,0.94,0,0.3,25,19.958,0,0.06,14.957999999999998,5
209,1.18,0.82,0,0.54,9,7.818,0,0.18,4.818,3
210,1.52,0.48,0,1.04,4,2.894,0,0.52,0.8940000000000001,2
211,1.66,0.34,0,7.92,144,12.45,0,0.66,0.4499999999999993,12
212,1.46,0.54,0,1.38,9,4.106,0,0.46,1.1059999999999999,3
213,1.66,0.34,0,0.0,0,0.552,0,0.66,0.552,0
214,1.46,0.54,0,1.38,9,4.086,0,0.46,1.0860000000000003,3
215,1.43,0.57,0,6.88,256,17.316,0,0.43,1.315999999999999,16
216,1.4,0.6,0,2.8,49,8.504,0,0.4,1.5039999999999996,7
217,1.86,0.14,0,13.76,256,16.164,0,0.86,0.16400000000000148,16
218,1.87,0.13,0,4.35,25,5.154,0,0.87,0.15399999999999991,5
219,1.25,0.75,0,0.5,4,5.198,0,0.25,3.1980000000000004,2
220,1.89,0.11,0,14.24,256,16.122,0,0.89,0.12199999999999989,16
221,1.64,0.36,0,7.04,121,11.566,0,0.64,0.5660000000000007,11
222,1.89,0.11,0,9.79,121,11.114,0,0.89,0.11400000000000077,11
223,1.47,0.53,0,0.0,0,1.156,0,0.47,1.156,0
224,1.57,0.43,0,4.56,64,8.744,0,0.57,0.7439999999999998,8
225,1.12,0.88,0,1.56,169,20.646,0,0.12,7.646000000000001,13
226,1.81,0.19,0,2.43,9,3.216,0,0.81,0.2160000000000002,3
227,1.76,0.24,0,4.56,36,6.298,0,0.76,0.29800000000000004,6
228,1.32,0.68,0,0.96,9,5.182,0,0.32,2.1820000000000004,3
229,1.24,0.76,0,1.68,49,10.012,0,0.24,3.0120000000000005,7
230,1.21,0.79,0,1.68,64,11.856,0,0.21,3.856,8
231,1.4,0.6,0,5.6,196,15.552,0,0.4,1.5519999999999996,14
232,1.22,0.78,0,0.0,0,3.372,0,0.22,3.372,0
233,1.3,0.7,0,2.7,81,11.382,0,0.3,2.3819999999999997,9
234,1.76,0.24,0,14.44,361,19.278,0,0.76,0.2779999999999987,19
235,1.5,0.5,0,4.5,81,10.09,0,0.5,1.0899999999999999,9
