,G,flip,p1,post,pre,x,z
0,True,0,0.78,2,2,0,2
1,True,0,0.3,4,4,13,4
2,True,0,0.15,9,9,16,9
3,True,0,0.81,8,8,4,8
4,True,0,0.83,5,5,20,5
5,True,0,0.4,17,17,9,17
6,True,0,0.32,16,16,13,16
7,True,0,0.41,4,4,6,4
8,True,0,0.25,0,0,5,0
9,True,0,0.72,6,6,12,6
10,True,0,0.59,20,20,12,20
11,True,0,0.1,1,1,2,1
12,True,0,0.84,1,1,3,1
13,True,0,0.63,8,8,11,8
14,True,0,0.1,18,18,14,18
15,True,0,0.52,14,14,15,14
16,True,0,0.36,6,6,17,6
17,True,0,0.76,13,13,6,13
18,True,0,0.25,3,3,15,3
19,True,0,0.42,10,10,11,10
20,True,0,0.2,13,13,11,13
21,True,0,0.75,20,20,11,20
22,True,0,0.84,7,7,17,7
23,True,0,0.42,6,6,7,6
24,True,0,0.47,14,14,11,14
25,True,0,0.22,1,1,17,1
26,True,0,0.61,14,14,4,14
27,True,0,0.19,19,19,12,19
28,True,0,0.9,0,0,4,0
29,True,0,0.36,5,5,5,5
30,True,0,0.92,5,5,12,5
31,True,0,0.56,19,19,16,19
32,True,0,0.83,13,13,12,13
33,True,0,0.12,6,6,2,6
34,True,0,0.76,6,6,3,6
35,True,0,0.49,9,9,1,9
36,True,0,0.82,12,12,14,12
37,True,0,0.63,17,17,9,17
38,True,0,0.66,13,13,17,13
39,True,0,0.83,7,7,6,7
40,True,0,0.43,8,8,3,8
41,True,0,0.07,4,4,17,4
42,True,0,0.27,20,20,5,20
43,True,0,0.44,15,15,11,15
44,True,0,0.43,10,10,5,10
45,True,0,0.53,11,11,11,11
46,True,0,0.65,2,2,7,2
47,True,0,0.63,11,11,4,11
48,True,0,0.43,3,3,0,3
49,True,0,0.44,13,13,1,13
50,True,0,0.5,1,1,9,1
51,True,0,0.28,18,18,5,18
52,True,0,0.41,10,10,17,10
53,True,0,0.11,17,17,18,17
54,True,0,0.21,4,4,10,4
55,True,0,0.39,0,0,6,0
56,True,0,0.28,20,20,14,20
57,True,0,0.14,19,19,2,19
58,True,0,0.9,13,13,19,13
59,True,0,0.42,3,3,16,3
60,True,0,0.7,2,2,20,2
61,True,0,0.84,5,5,19,5
62,True,0,0.22,10,10,20,10
63,True,0,0.36,16,16,19,16
64,True,0,0.7,10,10,15,10
65,True,0,0.8,4,4,8,4
66,True,0,0.34,3,3,17,3
67,True,0,0.52,13,13,20,13
68,True,0,0.69,0,0,0,0
69,True,0,0.64,4,4,7,4
70,True,0,0.87,17,17,14,17
71,True,0,0.11,5,5,20,5
72,True,0,0.73,3,3,2,3
73,True,0,0.65,0,0,18,0
74,True,0,0.2,8,8,5,8
75,True,0,0.45,10,10,1,10
76,True,0,0.76,16,16,17,16
77,True,0,0.39,8,8,0,8
