,G,flip,p1,post,pre,x,z
0,True,0,0.49,10,10,5,10
1,False,1,0.49,9,9,4,9
2,True,0,0.49,10,10,5,10
3,False,1,0.49,9,9,4,9
4,False,1,0.49,9,9,4,9
5,True,0,0.49,10,10,5,10
6,True,0,0.49,10,10,5,10
7,False,1,0.49,9,9,4,9
8,False,1,0.49,9,9,4,9
9,True,0,0.49,10,10,5,10
10,False,1,0.49,9,9,4,9
11,False,1,0.49,9,9,4,9
12,True,0,0.49,10,10,5,10
13,False,1,0.49,9,9,4,9
14,False,1,0.49,9,9,4,9
15,False,1,0.49,9,9,4,9
16,True,0,0.49,10,10,5,10
17,False,1,0.49,9,9,4,9
18,False,1,0.49,9,9,4,9
19,True,0,0.49,10,10,5,10
20,True,0,0.49,10,10,5,10
21,True,0,0.49,10,10,5,10
22,False,1,0.49,9,9,4,9
23,True,0,0.49,10,10,5,10
24,False,1,0.49,9,9,4,9
25,True,0,0.49,10,10,5,10
26,False,1,0.49,9,9,4,9
27,True,0,0.49,10,10,5,10
28,False,1,0.49,9,9,4,9
29,True,0,0.49,10,10,5,10
30,True,0,0.49,10,10,5,10
31,False,1,0.49,9,9,4,9
32,True,0,0.49,10,10,5,10
33,False,1,0.49,9,9,4,9
34,False,1,0.49,9,9,4,9
35,False,1,0.49,9,9,4,9
36,False,1,0.49,9,9,4,9
37,True,0,0.49,10,10,5,10
38,True,0,0.49,10,10,5,10
39,False,1,0.49,9,9,4,9
40,True,0,0.49,10,10,5,10
41,True,0,0.49,10,10,5,10
42,False,1,0.49,9,9,4,9
43,False,1,0.49,9,9,4,9
44,False,1,0.49,9,9,4,9
45,True,0,0.49,10,10,5,10
46,False,1,0.49,9,9,4,9
47,False,1,0.49,9,9,4,9
48,True,0,0.49,10,10,5,10
49,False,1,0.49,9,9,4,9
50,True,0,0.49,10,10,5,10
51,True,0,0.49,10,10,5,10
52,True,0,0.49,10,10,5,10
53,True,0,0.49,10,10,5,10
54,True,0,0.49,10,10,5,10
55,False,1,0.49,9,9,4,9
56,True,0,0.49,10,10,5,10
57,False,1,0.49,9,9,4,9
58,False,1,0.49,9,9,4,9
59,True,0,0.49,10,10,5,10
60,False,1,0.49,9,9,4,9
61,False,1,0.49,9,9,4,9
62,True,0,0.49,10,10,5,10
63,False,1,0.49,9,9,4,9
64,True,0,0.49,10,10,5,10
65,False,1,0.49,9,9,4,9
66,True,0,0.49,10,10,5,10
67,False,1,0.49,9,9,4,9
68,False,1,0.49,9,9,4,9
69,False,1,0.49,9,9,4,9
70,True,0,0.49,10,10,5,10
71,False,1,0.49,9,9,4,9
72,True,0,0.49,10,10,5,10
73,False,1,0.49,9,9,4,9
74,True,0,0.49,10,10,5,10
75,True,0,0.49,10,10,5,10
76,False,1,0.49,9,9,4,9
77,True,0,0.49,10,10,5,10
78,True,0,0.49,10,10,5,10
79,True,0,0.49,10,10,5,10
80,True,0,0.49,10,10,5,10
81,True,0,0.49,10,10,5,10
82,False,1,0.49,9,9,4,9
83,True,0,0.49,10,10,5,10
84,False,1,0.49,9,9,4,9
85,False,1,0.49,9,9,4,9
86,False,1,0.49,9,9,4,9
87,False,1,0.49,9,9,4,9
88,False,1,0.49,9,9,4,9
89,False,1,0.49,9,9,4,9
90,False,1,0.49,9,9,4,9
91,True,0,0.49,10,10,5,10
92,False,1,0.49,9,9,4,9
93,True,0,0.49,10,10,5,10
94,False,1,0.49,9,9,4,9
95,True,0,0.49,10,10,5,10
96,False,1,0.49,9,9,4,9
97,False,1,0.49,9,9,4,9
98,False,1,0.49,9,9,4,9
99,False,1,0.49,9,9,4,9
100,True,0,0.49,10,10,5,10
101,False,1,0.49,9,9,4,9
102,True,0,0.49,10,10,5,10
103,True,0,0.49,10,10,5,10
104,False,1,0.49,9,9,4,9
105,False,1,0.49,9,9,4,9
106,False,1,0.49,9,9,4,9
107,True,0,0.49,10,10,5,10
108,False,1,0.49,9,9,4,9
109,False,1,0.49,9,9,4,9
110,True,0,0.49,10,10,5,10
111,False,1,0.49,9,9,4,9
112,False,1,0.49,9,9,4,9
113,True,0,0.49,10,10,5,10
114,False,1,0.49,9,9,4,9
115,True,0,0.49,10,10,5,10
116,True,0,0.49,10,10,5,10
117,True,0,0.49,10,10,5,10
118,False,1,0.49,9,9,4,9
119,True,0,0.49,10,10,5,10
120,False,1,0.49,9,9,4,9
