,(1+p1),(1-p1),(flip*flip),(x*p1),(x*x),(x-z),(z*p1),(z*x),(z*z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
0,1.89,0.11,0,12.46,196,5,8.01,126,81,23,-5,9.106,0,0.89,0.10599999999999987,14,9
1,1.11,0.89,0,0.33,9,-6,0.99,27,81,12,6,16.698,0,0.11,7.698,3,9
2,1.89,0.11,0,7.12,64,7,0.89,8,1,9,-7,1.09,0,0.89,0.09000000000000008,8,1
3,1.52,0.48,0,1.56,9,-12,7.8,45,225,18,12,15.946,0,0.52,0.9459999999999997,3,15
4,1.46,0.54,0,7.36,256,12,1.84,64,16,20,-12,5.066,0,0.46,1.0659999999999998,16,4
5,1.64,0.36,0,10.88,289,0,10.88,289,289,34,0,17.552,0,0.64,0.5519999999999996,17,17
6,1.74,0.26,0,3.7,25,-12,12.58,85,289,22,12,17.32,0,0.74,0.3200000000000003,5,17
7,1.1,0.9,0,0.3,9,-15,1.8,54,324,21,15,26.978,0,0.1,8.978000000000002,3,18
8,1.38,0.62,0,0.0,0,-1,0.38,0,1,1,1,2.69,0,0.38,1.69,0,1
9,1.45,0.55,0,0.0,0,-19,8.55,0,361,19,19,20.186,0,0.45,1.186,0,19
10,1.07,0.93,0,1.4,400,1,1.33,380,361,39,-1,32.72,0,0.07,13.719999999999999,20,19
11,1.88,0.12,0,9.68,121,10,0.88,11,1,12,-10,1.118,0,0.88,0.1180000000000001,11,1
12,1.76,0.24,0,5.32,49,-6,9.88,91,169,20,6,13.306,0,0.76,0.30599999999999916,7,13
13,1.27,0.73,0,3.78,196,-1,4.05,210,225,29,1,17.456,0,0.27,2.4559999999999995,14,15
14,1.63,0.37,0,10.71,289,10,4.41,119,49,24,-10,7.578,0,0.63,0.5780000000000003,17,7
15,1.84,0.16,0,16.8,400,16,3.36,80,16,24,-16,4.18,0,0.84,0.17999999999999972,20,4
16,1.58,0.42,0,4.06,49,0,4.06,49,49,14,0,7.75,0,0.58,0.75,7,7
17,1.13,0.87,0,0.39,9,-11,1.82,42,196,17,11,20.64,0,0.13,6.640000000000001,3,14
18,1.07,0.93,0,0.42,36,0,0.42,36,36,12,0,19.094,0,0.07,13.094000000000001,6,6
19,1.19,0.81,0,0.38,4,-4,1.14,12,36,8,4,10.384,0,0.19,4.384,2,6
20,1.76,0.24,0,11.4,225,12,2.28,45,9,18,-12,3.264,0,0.76,0.2639999999999998,15,3
21,1.09,0.91,0,1.53,289,14,0.27,51,9,20,-14,13.976,0,0.09,10.976,17,3
22,1.79,0.21,0,7.11,81,0,7.11,81,81,18,0,9.236,0,0.79,0.23600000000000065,9,9
23,1.71,0.29,0,9.23,169,-2,10.65,195,225,28,2,15.436,0,0.71,0.43599999999999994,13,15
24,1.53,0.47,0,4.24,64,8,0.0,0,0,8,-8,0.896,0,0.53,0.896,8,0
25,1.83,0.17,0,13.28,256,-1,14.11,272,289,33,1,17.188,0,0.83,0.18799999999999883,16,17
26,1.47,0.53,0,7.05,225,0,7.05,225,225,30,0,16.136,0,0.47,1.1359999999999992,15,15
27,1.9,0.1,0,5.4,36,6,0.0,0,0,6,-6,0.132,0,0.9,0.132,6,0
28,1.56,0.44,0,5.6,100,-1,6.16,110,121,21,1,11.856,0,0.56,0.8559999999999999,10,11
29,1.6,0.4,0,10.8,324,2,9.6,288,256,34,-2,16.728,0,0.6,0.7280000000000015,18,16
30,1.4,0.6,0,4.4,121,-9,8.0,220,400,31,9,21.636,0,0.4,1.6359999999999992,11,20
31,1.63,0.37,0,7.56,144,0,7.56,144,144,24,0,12.63,0,0.63,0.6300000000000008,12,12
32,1.29,0.71,0,5.8,400,16,1.16,80,16,24,-16,6.572,0,0.29,2.572,20,4
33,1.48,0.52,0,6.72,196,3,5.28,154,121,25,-3,12.016,0,0.48,1.016,14,11
34,1.89,0.11,0,15.13,289,15,1.78,34,4,19,-15,2.1,0,0.89,0.10000000000000009,17,2
35,1.76,0.24,0,3.8,25,5,0.0,0,0,5,-5,0.328,0,0.76,0.328,5,0
36,1.11,0.89,0,0.55,25,1,0.44,20,16,9,-1,11.962,0,0.11,7.962,5,4
37,1.3,0.7,0,0.6,4,-15,5.1,34,289,19,15,19.216,0,0.3,2.216000000000001,2,17
38,1.57,0.43,0,0.57,1,-16,9.69,17,289,18,16,17.82,0,0.57,0.8200000000000003,1,17
39,1.23,0.77,0,4.37,361,5,3.22,266,196,33,-5,17.57,0,0.23,3.5700000000000003,19,14
40,1.86,0.14,0,9.46,121,0,9.46,121,121,22,0,11.156,0,0.86,0.15600000000000058,11,11
41,1.54,0.46,0,1.08,4,2,0.0,0,0,2,-2,0.84,0,0.54,0.84,2,0
42,1.53,0.47,0,5.3,100,-4,7.42,140,196,24,4,14.858,0,0.53,0.8580000000000005,10,14
43,1.63,0.37,0,6.93,121,-2,8.19,143,169,24,2,13.6,0,0.63,0.5999999999999996,11,13
44,1.88,0.12,0,3.52,16,-4,7.04,32,64,12,4,8.14,0,0.88,0.14000000000000057,4,8
45,1.49,0.51,0,9.8,400,1,9.31,380,361,39,-1,19.996,0,0.49,0.9959999999999987,20,19
46,1.74,0.26,0,12.58,289,15,1.48,34,4,19,-15,2.4,0,0.74,0.3999999999999999,17,2
47,1.81,0.19,0,0.0,0,-3,2.43,0,9,3,3,3.244,0,0.81,0.24400000000000022,0,3
48,1.53,0.47,0,7.95,225,5,5.3,150,100,25,-5,10.934,0,0.53,0.9339999999999993,15,10
49,1.72,0.28,0,10.08,196,-2,11.52,224,256,30,2,16.434,0,0.72,0.43400000000000105,14,16
50,1.17,0.83,0,2.72,256,9,1.19,112,49,23,-9,11.936,0,0.17,4.936,16,7
51,1.92,0.08,0,0.0,0,-3,2.76,0,9,3,3,3.108,0,0.92,0.1080000000000001,0,3
52,1.39,0.61,0,5.46,196,7,2.73,98,49,21,-7,8.642,0,0.39,1.6419999999999995,14,7
53,1.69,0.31,0,4.14,36,-11,11.73,102,289,23,11,17.434,0,0.69,0.43400000000000105,6,17
54,1.43,0.57,0,2.15,25,-8,5.59,65,169,18,8,14.278,0,0.43,1.2780000000000005,5,13
55,1.94,0.06,0,14.1,225,8,6.58,105,49,22,-8,7.064,0,0.94,0.06400000000000006,15,7
56,1.77,0.23,0,7.7,100,1,6.93,90,81,19,-1,9.258,0,0.77,0.2579999999999991,10,9
57,1.65,0.35,0,0.0,0,-20,13.0,0,400,20,20,20.444,0,0.65,0.44399999999999906,0,20
58,1.56,0.44,0,1.12,4,1,0.56,2,1,3,-1,1.768,0,0.56,0.768,2,1
59,1.78,0.22,0,1.56,4,-6,6.24,16,64,10,6,8.258,0,0.78,0.2579999999999991,2,8
60,1.06,0.94,0,0.42,49,-9,0.96,112,256,23,9,32.212,0,0.06,16.212000000000003,7,16
61,1.42,0.58,0,2.52,36,-11,7.14,102,289,23,11,18.422,0,0.42,1.4220000000000006,6,17
62,1.44,0.56,0,4.4,100,1,3.96,90,81,19,-1,10.286,0,0.44,1.2859999999999996,10,9
63,1.24,0.76,0,3.12,169,-5,4.32,234,324,31,5,21.1,0,0.24,3.1000000000000014,13,18
64,1.77,0.23,0,6.93,81,-3,9.24,108,144,21,3,12.3,0,0.77,0.3000000000000007,9,12
65,1.7,0.3,0,0.0,0,-16,11.2,0,256,16,16,16.544,0,0.7,0.5440000000000005,0,16
66,1.73,0.27,0,9.49,169,8,3.65,65,25,18,-8,5.37,0,0.73,0.3700000000000001,13,5
67,1.07,0.93,0,0.56,64,-10,1.26,144,324,26,10,30.65,0,0.07,12.649999999999999,8,18
68,1.66,0.34,0,11.22,289,13,2.64,68,16,21,-13,4.548,0,0.66,0.548,17,4
69,1.44,0.56,0,7.92,324,11,3.08,126,49,25,-11,8.282,0,0.44,1.282,18,7
70,1.74,0.26,0,14.06,361,15,2.96,76,16,23,-15,4.356,0,0.74,0.35599999999999987,19,4
71,1.12,0.88,0,0.48,16,-14,2.16,72,324,22,14,25.558,0,0.12,7.558,4,18
72,1.46,0.54,0,5.52,144,11,0.46,12,1,13,-11,2.066,0,0.46,1.0659999999999998,12,1
73,1.76,0.24,0,0.76,1,0,0.76,1,1,2,0,1.314,0,0.76,0.31400000000000006,1,1
74,1.42,0.58,0,8.4,400,8,5.04,240,144,32,-8,13.418,0,0.42,1.4179999999999993,20,12
75,1.26,0.74,0,3.12,144,6,1.56,72,36,18,-6,8.89,0,0.26,2.8900000000000006,12,6
76,1.64,0.36,0,2.56,16,-10,8.96,56,196,18,10,14.556,0,0.64,0.5559999999999992,4,14
77,1.14,0.86,0,1.4,100,-5,2.1,150,225,25,5,20.674,0,0.14,5.6739999999999995,10,15
78,1.14,0.86,0,0.84,36,0,0.84,36,36,12,0,12.154,0,0.14,6.154,6,6
79,1.13,0.87,0,1.82,196,14,0.0,0,0,14,-14,6.874,0,0.13,6.874,14,0
80,1.2,0.8,0,3.0,225,0,3.0,225,225,30,0,19.124,0,0.2,4.123999999999999,15,15
81,1.76,0.24,0,0.76,1,-8,6.84,9,81,10,8,9.326,0,0.76,0.3260000000000005,1,9
82,1.5,0.5,0,5.0,100,9,0.5,10,1,11,-9,2.07,0,0.5,1.0699999999999998,10,1
83,1.75,0.25,0,12.75,289,4,9.75,221,169,30,-4,13.382,0,0.75,0.3819999999999997,17,13
84,1.63,0.37,0,11.97,361,3,10.08,304,256,35,-3,16.556,0,0.63,0.5560000000000009,19,16
85,1.87,0.13,0,1.74,4,-1,2.61,6,9,5,1,3.138,0,0.87,0.1379999999999999,2,3
86,1.49,0.51,0,9.8,400,8,5.88,240,144,32,-8,13.058,0,0.49,1.0579999999999998,20,12
87,1.73,0.27,0,0.73,1,-11,8.76,12,144,13,11,12.382,0,0.73,0.3819999999999997,1,12
88,1.93,0.07,0,0.0,0,-12,11.16,0,144,12,12,12.076,0,0.93,0.07600000000000051,0,12
89,1.22,0.78,0,1.32,36,2,0.88,24,16,10,-2,7.408,0,0.22,3.4080000000000004,6,4
90,1.84,0.16,0,15.96,361,11,6.72,152,64,27,-11,8.218,0,0.84,0.21799999999999997,19,8
91,1.17,0.83,0,3.23,361,9,1.7,190,100,29,-9,14.486,0,0.17,4.486000000000001,19,10
92,1.53,0.47,0,7.42,196,10,2.12,56,16,18,-10,5.002,0,0.53,1.0019999999999998,14,4
93,1.83,0.17,0,9.13,121,-7,14.94,198,324,29,7,18.236,0,0.83,0.23600000000000065,11,18
94,1.54,0.46,0,5.4,100,-2,6.48,120,144,22,2,12.856,0,0.54,0.8559999999999999,10,12
95,1.31,0.69,0,5.58,324,1,5.27,306,289,35,-1,19.28,0,0.31,2.280000000000001,18,17
96,1.37,0.63,0,2.22,36,-5,4.07,66,121,17,5,12.59,0,0.37,1.5899999999999999,6,11
97,1.07,0.93,0,0.42,36,-1,0.49,42,49,13,1,19.97,0,0.07,12.969999999999999,6,7
98,1.53,0.47,0,9.54,324,6,6.36,216,144,30,-6,12.892,0,0.53,0.8919999999999995,18,12
99,1.91,0.09,0,6.37,49,-13,18.2,140,400,27,13,20.072,0,0.91,0.07199999999999918,7,20
100,1.71,0.29,0,4.97,49,4,2.13,21,9,10,-4,3.426,0,0.71,0.42600000000000016,7,3
101,1.87,0.13,0,13.92,256,4,10.44,192,144,28,-4,12.134,0,0.87,0.13400000000000034,16,12
102,1.18,0.82,0,3.24,324,-1,3.42,342,361,37,1,23.268,0,0.18,4.268000000000001,18,19
103,1.7,0.3,0,13.3,361,13,4.2,114,36,25,-13,6.47,0,0.7,0.46999999999999975,19,6
104,1.61,0.39,0,8.54,196,8,3.66,84,36,20,-8,6.688,0,0.61,0.6879999999999997,14,6
105,1.49,0.51,0,5.88,144,-7,9.31,228,361,31,7,20.078,0,0.49,1.0779999999999994,12,19
106,1.74,0.26,0,12.58,289,-1,13.32,306,324,35,1,18.326,0,0.74,0.3260000000000005,17,18
107,1.71,0.29,0,7.81,121,9,1.42,22,4,13,-9,2.382,0,0.71,0.3820000000000001,11,2
108,1.61,0.39,0,6.71,121,-3,8.54,154,196,25,3,14.684,0,0.61,0.6839999999999993,11,14
109,1.52,0.48,0,9.36,324,4,7.28,252,196,32,-4,14.9,0,0.52,0.9000000000000004,18,14
110,1.7,0.3,0,0.7,1,-13,9.8,14,196,15,13,14.448,0,0.7,0.4480000000000004,1,14
111,1.79,0.21,0,6.32,64,1,5.53,56,49,15,-1,7.276,0,0.79,0.2759999999999998,8,7
112,1.63,0.37,0,1.89,9,-7,6.3,30,100,13,7,10.574,0,0.63,0.5739999999999998,3,10
113,1.68,0.32,0,9.52,196,13,0.68,14,1,15,-13,1.456,0,0.68,0.45599999999999996,14,1
114,1.11,0.89,0,0.99,81,4,0.55,45,25,14,-4,13.388,0,0.11,8.388,9,5
115,1.94,0.06,0,9.4,100,-2,11.28,120,144,22,2,12.07,0,0.94,0.07000000000000028,10,12
116,1.17,0.83,0,2.38,196,14,0.0,0,0,14,-14,4.99,0,0.17,4.99,14,0
117,1.4,0.6,0,2.8,49,-13,8.0,140,400,27,13,21.326,0,0.4,1.3260000000000005,7,20
118,1.38,0.62,0,7.22,361,6,4.94,247,169,32,-6,14.618,0,0.38,1.6180000000000003,19,13
119,1.4,0.6,0,3.6,81,-9,7.2,162,324,27,9,19.474,0,0.4,1.4740000000000002,9,18
120,1.94,0.06,0,0.0,0,0,0.0,0,0,0,0,0.072,0,0.94,0.072,0,0
121,1.63,0.37,0,11.97,361,11,5.04,152,64,27,-11,8.55,0,0.63,0.5500000000000007,19,8
122,1.35,0.65,0,2.8,64,-11,6.65,152,361,27,11,20.75,0,0.35,1.75,8,19
123,1.4,0.6,0,4.8,144,9,1.2,36,9,15,-9,4.614,0,0.4,1.6139999999999999,12,3
124,1.08,0.92,0,1.44,324,2,1.28,288,256,34,-2,26.684,0,0.08,10.684000000000001,18,16
125,1.94,0.06,0,2.82,9,-2,4.7,15,25,8,2,5.07,0,0.94,0.07000000000000028,3,5
126,1.11,0.89,0,0.88,64,6,0.22,16,4,10,-6,10.186,0,0.11,8.186,8,2
127,1.13,0.87,0,1.04,64,8,0.0,0,0,8,-8,6.83,0,0.13,6.83,8,0
128,1.85,0.15,0,15.3,324,-1,16.15,342,361,37,1,19.18,0,0.85,0.17999999999999972,18,19
129,1.89,0.11,0,0.89,1,-8,8.01,9,81,10,8,9.126,0,0.89,0.12599999999999945,1,9
130,1.23,0.77,0,4.37,361,5,3.22,266,196,33,-5,17.284,0,0.23,3.283999999999999,19,14
131,1.21,0.79,0,1.47,49,-1,1.68,56,64,15,1,11.856,0,0.21,3.856,7,8
132,1.73,0.27,0,7.3,100,9,0.73,10,1,11,-9,1.394,0,0.73,0.3939999999999999,10,1
133,1.41,0.59,0,4.51,121,5,2.46,66,36,17,-5,7.352,0,0.41,1.3520000000000003,11,6
134,1.36,0.64,0,0.36,1,-9,3.6,10,100,11,9,11.802,0,0.36,1.8019999999999996,1,10
135,1.71,0.29,0,3.55,25,-11,11.36,80,256,21,11,16.388,0,0.71,0.3880000000000017,5,16
136,1.06,0.94,0,0.66,121,7,0.24,44,16,15,-7,19.554,0,0.06,15.553999999999998,11,4
137,1.46,0.54,0,0.92,4,-1,1.38,6,9,5,1,4.19,0,0.46,1.1900000000000004,2,3
138,1.82,0.18,0,11.48,196,6,6.56,112,64,22,-6,8.178,0,0.82,0.17800000000000082,14,8
139,1.89,0.11,0,8.01,81,-6,13.35,135,225,24,6,15.118,0,0.89,0.11800000000000033,9,15
140,1.37,0.63,0,5.92,256,15,0.37,16,1,17,-15,2.644,0,0.37,1.6440000000000001,16,1
141,1.67,0.33,0,2.68,16,-9,8.71,52,169,17,9,13.492,0,0.67,0.4920000000000009,4,13
142,1.29,0.71,0,5.51,361,8,3.19,209,121,30,-8,13.488,0,0.29,2.4879999999999995,19,11
143,1.66,0.34,0,0.66,1,-14,9.9,15,225,16,14,15.516,0,0.66,0.516,1,15
144,1.36,0.64,0,7.2,400,16,1.44,80,16,24,-16,5.776,0,0.36,1.7759999999999998,20,4
145,1.32,0.68,0,3.2,100,-4,4.48,140,196,24,4,16.008,0,0.32,2.007999999999999,10,14
146,1.32,0.68,0,3.84,144,9,0.96,36,9,15,-9,5.04,0,0.32,2.04,12,3
147,1.64,0.36,0,8.96,196,3,7.04,154,121,25,-3,11.56,0,0.64,0.5600000000000005,14,11
148,1.11,0.89,0,2.09,361,3,1.76,304,256,35,-3,24.564,0,0.11,8.564,19,16
