,G,p,post,pre,x,y,z
0,True,0.09,6,6,6,3,1
1,True,0.82,9,9,9,5,1
2,True,0.19,11,11,11,3,1
3,True,0.76,19,19,19,11,1
4,True,0.67,15,15,15,6,1
5,True,0.78,16,16,16,0,1
6,True,0.79,0,0,0,7,1
7,True,0.65,3,3,3,13,1
8,True,0.51,10,10,10,13,1
9,True,0.72,16,16,16,9,1
10,True,0.24,2,2,2,6,1
11,True,0.25,9,9,9,2,1
12,True,0.76,10,10,10,4,1
13,True,0.37,0,0,0,20,1
14,True,0.77,16,16,16,11,1
15,True,0.52,5,5,5,0,1
16,True,0.8,12,12,12,6,1
17,True,0.27,15,15,15,7,1
18,True,0.29,1,1,1,14,1
19,True,0.29,13,13,13,1,1
20,True,0.54,8,8,8,8,1
21,True,0.11,3,3,3,14,1
22,True,0.85,14,14,14,12,1
23,True,0.68,18,18,18,15,1
24,True,0.06,18,18,18,9,1
25,True,0.13,10,10,10,7,1
26,True,0.77,5,5,5,6,1
27,True,0.87,11,11,11,16,1
28,True,0.27,16,16,16,5,1
29,True,0.05,3,3,3,14,1
30,True,0.88,13,13,13,20,1
31,True,0.64,8,8,8,6,1
32,True,0.86,11,11,11,6,1
33,True,0.08,5,5,5,5,1
34,True,0.73,16,16,16,9,1
35,True,0.7,14,14,14,9,1
36,True,0.82,19,19,19,16,1
37,True,0.33,7,7,7,11,1
38,True,0.84,15,15,15,12,1
39,True,0.13,16,16,16,19,1
40,True,0.7,7,7,7,17,1
41,True,0.51,14,14,14,11,1
42,True,0.52,6,6,6,9,1
43,True,0.44,18,18,18,10,1
44,True,0.92,20,20,20,14,1
45,True,0.64,2,2,2,3,1
46,True,0.07,20,20,20,12,1
47,True,0.76,3,3,3,12,1
48,True,0.69,20,20,20,6,1
49,True,0.39,9,9,9,15,1
50,True,0.12,20,20,20,10,1
51,True,0.16,16,16,16,10,1
52,True,0.56,2,2,2,20,1
53,True,0.15,6,6,6,3,1
54,True,0.82,6,6,6,3,1
55,True,0.44,2,2,2,17,1
56,True,0.87,3,3,3,2,1
57,True,0.28,3,3,3,9,1
58,True,0.55,4,4,4,14,1
59,True,0.18,1,1,1,11,1
60,True,0.83,0,0,0,5,1
61,True,0.25,5,5,5,7,1
62,True,0.18,16,16,16,10,1
63,True,0.52,6,6,6,12,1
64,True,0.63,15,15,15,17,1
65,True,0.57,16,16,16,13,1
66,True,0.15,12,12,12,18,1
67,True,0.78,9,9,9,5,1
68,True,0.35,17,17,17,19,1
69,True,0.22,11,11,11,18,1
70,True,0.71,20,20,20,8,1
71,True,0.67,16,16,16,1,1
72,True,0.51,6,6,6,14,1
73,True,0.93,9,9,9,8,1
74,True,0.55,14,14,14,14,1
75,True,0.38,4,4,4,4,1
76,True,0.35,10,10,10,1,1
77,True,0.43,16,16,16,8,1
78,True,0.64,14,14,14,1,1
79,True,0.5,15,15,15,17,1
80,True,0.72,5,5,5,7,1
81,True,0.35,17,17,17,4,1
82,True,0.92,18,18,18,1,1
83,True,0.5,11,11,11,0,1
84,True,0.54,18,18,18,20,1
85,True,0.55,16,16,16,14,1
86,True,0.77,13,13,13,7,1
87,True,0.67,15,15,15,0,1
88,True,0.65,10,10,10,6,1
89,True,0.85,12,12,12,13,1
90,True,0.26,18,18,18,10,1
91,True,0.46,4,4,4,19,1
92,True,0.85,3,3,3,1,1
93,True,0.52,20,20,20,18,1
94,True,0.36,2,2,2,17,1
95,True,0.2,17,17,17,2,1
96,True,0.93,1,1,1,20,1
97,True,0.81,16,16,16,13,1
98,True,0.4,19,19,19,12,1
99,True,0.45,14,14,14,6,1
100,True,0.83,16,16,16,2,1
101,True,0.85,7,7,7,17,1
102,True,0.81,16,16,16,7,1
103,True,0.5,12,12,12,8,1
104,True,0.62,16,16,16,5,1
105,True,0.09,13,13,13,20,1
106,True,0.53,1,1,1,2,1
107,True,0.59,4,4,4,19,1
108,True,0.53,2,2,2,4,1
109,True,0.37,14,14,14,12,1
110,True,0.79,19,19,19,11,1
111,True,0.36,3,3,3,20,1
112,True,0.9,16,16,16,12,1
113,True,0.17,8,8,8,20,1
114,True,0.28,19,19,19,6,1
115,True,0.66,12,12,12,15,1
116,True,0.31,8,8,8,12,1
117,True,0.76,11,11,11,3,1
118,True,0.47,15,15,15,1,1
119,True,0.37,15,15,15,10,1
120,True,0.49,16,16,16,14,1
121,True,0.36,8,8,8,12,1
122,True,0.4,9,9,9,5,1
123,True,0.51,15,15,15,15,1
124,True,0.88,4,4,4,13,1
125,True,0.29,3,3,3,20,1
126,True,0.53,11,11,11,20,1
127,True,0.73,3,3,3,14,1
128,True,0.64,11,11,11,0,1
129,True,0.75,7,7,7,18,1
130,True,0.48,19,19,19,12,1
131,True,0.57,0,0,0,13,1
132,True,0.35,9,9,9,5,1
133,True,0.45,9,9,9,9,1
134,True,0.48,18,18,18,12,1
135,True,0.37,10,10,10,9,1
136,True,0.18,0,0,0,19,1
137,True,0.26,20,20,20,17,1
138,True,0.28,13,13,13,14,1
139,True,0.76,2,2,2,11,1
140,True,0.55,0,0,0,0,1
141,True,0.22,14,14,14,11,1
142,True,0.37,5,5,5,10,1
143,True,0.06,11,11,11,19,1
144,True,0.23,18,18,18,6,1
145,True,0.43,0,0,0,17,1
146,True,0.32,9,9,9,6,1
147,True,0.3,9,9,9,12,1
148,True,0.18,1,1,1,0,1
149,True,0.9,0,0,0,18,1
150,True,0.82,6,6,6,12,1
151,True,0.29,15,15,15,16,1
152,True,0.94,10,10,10,18,1
153,True,0.66,9,9,9,17,1
154,True,0.62,4,4,4,16,1
155,True,0.51,8,8,8,13,1
156,True,0.42,10,10,10,4,1
157,True,0.08,14,14,14,3,1
158,True,0.71,0,0,0,4,1
159,True,0.62,2,2,2,14,1
160,True,0.84,1,1,1,17,1
161,True,0.83,0,0,0,19,1
162,True,0.56,17,17,17,12,1
163,True,0.61,8,8,8,18,1
164,True,0.77,2,2,2,16,1
165,True,0.14,2,2,2,2,1
166,True,0.34,13,13,13,20,1
167,True,0.57,13,13,13,11,1
168,True,0.31,20,20,20,20,1
169,True,0.58,13,13,13,11,1
170,True,0.25,15,15,15,13,1
171,True,0.46,20,20,20,5,1
172,True,0.23,17,17,17,6,1
173,True,0.93,14,14,14,15,1
174,True,0.39,6,6,6,2,1
175,True,0.81,8,8,8,9,1
176,True,0.12,0,0,0,9,1
177,True,0.7,10,10,10,3,1
178,True,0.64,16,16,16,7,1
179,True,0.7,18,18,18,19,1
180,True,0.46,18,18,18,17,1
181,True,0.65,16,16,16,2,1
182,True,0.43,19,19,19,9,1
183,True,0.89,13,13,13,18,1
184,True,0.31,16,16,16,6,1
185,True,0.86,15,15,15,4,1
186,True,0.58,4,4,4,6,1
187,True,0.08,15,15,15,17,1
188,True,0.1,0,0,0,4,1
189,True,0.47,15,15,15,18,1
190,True,0.12,0,0,0,0,1
191,True,0.54,19,19,19,5,1
192,True,0.48,18,18,18,16,1
193,True,0.86,9,9,9,16,1
194,True,0.88,20,20,20,15,1
195,True,0.25,18,18,18,19,1
196,True,0.81,17,17,17,20,1
197,True,0.42,9,9,9,15,1
198,True,0.31,1,1,1,14,1
199,True,0.39,4,4,4,20,1
200,True,0.31,20,20,20,17,1
201,True,0.47,8,8,8,1,1
202,True,0.64,15,15,15,2,1
203,True,0.15,1,1,1,5,1
204,True,0.91,15,15,15,17,1
205,True,0.31,14,14,14,10,1
206,True,0.54,3,3,3,11,1
207,True,0.93,14,14,14,6,1
208,True,0.51,15,15,15,14,1
209,True,0.65,19,19,19,15,1
210,True,0.19,8,8,8,19,1
211,True,0.57,1,1,1,15,1
212,True,0.55,18,18,18,16,1
213,True,0.33,12,12,12,13,1
214,True,0.32,0,0,0,6,1
215,True,0.34,11,11,11,1,1
216,True,0.27,14,14,14,7,1
217,True,0.7,2,2,2,9,1
218,True,0.59,14,14,14,12,1
219,True,0.51,11,11,11,6,1
220,True,0.06,17,17,17,0,1
221,True,0.57,8,8,8,14,1
222,True,0.27,17,17,17,15,1
223,True,0.61,17,17,17,10,1
224,True,0.86,7,7,7,14,1
225,True,0.84,14,14,14,1,1
226,True,0.49,5,5,5,15,1
227,True,0.17,2,2,2,14,1
228,True,0.77,11,11,11,16,1
229,True,0.1,11,11,11,14,1
230,True,0.45,14,14,14,3,1
231,True,0.48,7,7,7,8,1
232,True,0.7,9,9,9,11,1
233,True,0.7,8,8,8,5,1
234,True,0.91,19,19,19,6,1
235,True,0.42,7,7,7,6,1
236,True,0.39,15,15,15,7,1
