,G,p,post,pre,x,y,z
0,True,0.09,10,10,10,4,1
1,True,0.09,10,10,10,4,1
2,True,0.09,10,10,10,4,1
3,True,0.09,10,10,10,4,1
4,True,0.09,10,10,10,4,1
5,True,0.09,10,10,10,4,1
6,True,0.09,10,10,10,4,1
7,True,0.09,10,10,10,4,1
8,True,0.09,10,10,10,4,1
9,True,0.09,10,10,10,4,1
10,True,0.09,10,10,10,4,1
11,True,0.09,10,10,10,4,1
12,True,0.09,10,10,10,4,1
13,False,0.09,6,6,6,4,0
14,True,0.09,10,10,10,4,1
15,True,0.09,10,10,10,4,1
16,True,0.09,10,10,10,4,1
17,True,0.09,10,10,10,4,1
18,True,0.09,10,10,10,4,1
19,True,0.09,10,10,10,4,1
20,True,0.09,10,10,10,4,1
21,True,0.09,10,10,10,4,1
22,True,0.09,10,10,10,4,1
23,True,0.09,10,10,10,4,1
24,True,0.09,10,10,10,4,1
25,True,0.09,10,10,10,4,1
26,True,0.09,10,10,10,4,1
27,True,0.09,10,10,10,4,1
28,True,0.09,10,10,10,4,1
29,True,0.09,10,10,10,4,1
30,True,0.09,10,10,10,4,1
31,True,0.09,10,10,10,4,1
32,True,0.09,10,10,10,4,1
33,True,0.09,10,10,10,4,1
34,True,0.09,10,10,10,4,1
35,True,0.09,10,10,10,4,1
36,True,0.09,10,10,10,4,1
37,True,0.09,10,10,10,4,1
38,False,0.09,6,6,6,4,0
39,True,0.09,10,10,10,4,1
40,True,0.09,10,10,10,4,1
41,True,0.09,10,10,10,4,1
42,True,0.09,10,10,10,4,1
43,True,0.09,10,10,10,4,1
44,True,0.09,10,10,10,4,1
45,False,0.09,6,6,6,4,0
46,True,0.09,10,10,10,4,1
47,True,0.09,10,10,10,4,1
48,True,0.09,10,10,10,4,1
49,True,0.09,10,10,10,4,1
50,True,0.09,10,10,10,4,1
51,True,0.09,10,10,10,4,1
52,True,0.09,10,10,10,4,1
53,True,0.09,10,10,10,4,1
54,True,0.09,10,10,10,4,1
55,True,0.09,10,10,10,4,1
56,True,0.09,10,10,10,4,1
57,True,0.09,10,10,10,4,1
58,True,0.09,10,10,10,4,1
59,True,0.09,10,10,10,4,1
60,True,0.09,10,10,10,4,1
61,True,0.09,10,10,10,4,1
62,True,0.09,10,10,10,4,1
63,False,0.09,6,6,6,4,0
64,True,0.09,10,10,10,4,1
65,True,0.09,10,10,10,4,1
66,True,0.09,10,10,10,4,1
67,True,0.09,10,10,10,4,1
68,True,0.09,10,10,10,4,1
69,True,0.09,10,10,10,4,1
70,True,0.09,10,10,10,4,1
71,True,0.09,10,10,10,4,1
72,True,0.09,10,10,10,4,1
73,True,0.09,10,10,10,4,1
74,True,0.09,10,10,10,4,1
75,True,0.09,10,10,10,4,1
76,True,0.09,10,10,10,4,1
77,True,0.09,10,10,10,4,1
78,True,0.09,10,10,10,4,1
79,False,0.09,6,6,6,4,0
80,True,0.09,10,10,10,4,1
81,True,0.09,10,10,10,4,1
82,True,0.09,10,10,10,4,1
83,True,0.09,10,10,10,4,1
84,True,0.09,10,10,10,4,1
85,True,0.09,10,10,10,4,1
86,True,0.09,10,10,10,4,1
87,True,0.09,10,10,10,4,1
88,True,0.09,10,10,10,4,1
89,True,0.09,10,10,10,4,1
90,False,0.09,6,6,6,4,0
91,True,0.09,10,10,10,4,1
92,True,0.09,10,10,10,4,1
93,True,0.09,10,10,10,4,1
94,True,0.09,10,10,10,4,1
95,True,0.09,10,10,10,4,1
96,True,0.09,10,10,10,4,1
97,True,0.09,10,10,10,4,1
98,True,0.09,10,10,10,4,1
99,True,0.09,10,10,10,4,1
100,True,0.09,10,10,10,4,1
101,True,0.09,10,10,10,4,1
102,True,0.09,10,10,10,4,1
103,True,0.09,10,10,10,4,1
104,True,0.09,10,10,10,4,1
105,True,0.09,10,10,10,4,1
106,True,0.09,10,10,10,4,1
107,True,0.09,10,10,10,4,1
108,True,0.09,10,10,10,4,1
109,True,0.09,10,10,10,4,1
110,True,0.09,10,10,10,4,1
111,True,0.09,10,10,10,4,1
112,True,0.09,10,10,10,4,1
113,False,0.09,6,6,6,4,0
114,True,0.09,10,10,10,4,1
115,True,0.09,10,10,10,4,1
116,True,0.09,10,10,10,4,1
117,True,0.09,10,10,10,4,1
118,True,0.09,10,10,10,4,1
119,True,0.09,10,10,10,4,1
120,True,0.09,10,10,10,4,1
121,True,0.09,10,10,10,4,1
122,True,0.09,10,10,10,4,1
123,True,0.09,10,10,10,4,1
124,True,0.09,10,10,10,4,1
125,True,0.09,10,10,10,4,1
126,True,0.09,10,10,10,4,1
127,True,0.09,10,10,10,4,1
128,True,0.09,10,10,10,4,1
129,True,0.09,10,10,10,4,1
130,True,0.09,10,10,10,4,1
131,True,0.09,10,10,10,4,1
132,True,0.09,10,10,10,4,1
133,True,0.09,10,10,10,4,1
134,True,0.09,10,10,10,4,1
135,True,0.09,10,10,10,4,1
136,True,0.09,10,10,10,4,1
137,True,0.09,10,10,10,4,1
138,True,0.09,10,10,10,4,1
139,True,0.09,10,10,10,4,1
140,True,0.09,10,10,10,4,1
141,True,0.09,10,10,10,4,1
142,True,0.09,10,10,10,4,1
143,True,0.09,10,10,10,4,1
144,True,0.09,10,10,10,4,1
145,True,0.09,10,10,10,4,1
146,True,0.09,10,10,10,4,1
147,True,0.09,10,10,10,4,1
148,True,0.09,10,10,10,4,1
149,True,0.09,10,10,10,4,1
150,True,0.09,10,10,10,4,1
151,True,0.09,10,10,10,4,1
152,True,0.09,10,10,10,4,1
153,True,0.09,10,10,10,4,1
154,True,0.09,10,10,10,4,1
155,True,0.09,10,10,10,4,1
156,True,0.09,10,10,10,4,1
157,True,0.09,10,10,10,4,1
158,True,0.09,10,10,10,4,1
159,True,0.09,10,10,10,4,1
160,True,0.09,10,10,10,4,1
161,True,0.09,10,10,10,4,1
162,True,0.09,10,10,10,4,1
163,True,0.09,10,10,10,4,1
164,True,0.09,10,10,10,4,1
165,True,0.09,10,10,10,4,1
166,True,0.09,10,10,10,4,1
167,True,0.09,10,10,10,4,1
168,True,0.09,10,10,10,4,1
169,True,0.09,10,10,10,4,1
170,False,0.09,6,6,6,4,0
171,True,0.09,10,10,10,4,1
172,True,0.09,10,10,10,4,1
173,True,0.09,10,10,10,4,1
174,True,0.09,10,10,10,4,1
175,True,0.09,10,10,10,4,1
176,True,0.09,10,10,10,4,1
177,True,0.09,10,10,10,4,1
