,G,n,post,pre,z
0,True,17,3,5,3
1,True,6,17,19,17
2,True,9,0,2,0
3,True,15,15,17,15
4,True,11,9,11,9
5,True,17,3,5,3
6,True,13,5,7,5
7,True,12,18,20,18
8,True,4,12,14,12
9,True,16,4,6,4
10,True,1,9,11,9
11,True,8,7,9,7
12,True,15,17,19,17
13,True,6,7,9,7
14,True,19,14,16,14
15,True,5,17,19,17
16,True,1,16,18,16
17,True,18,11,13,11
18,True,7,15,17,15
19,True,15,15,17,15
20,True,13,12,14,12
21,True,1,3,5,3
22,True,18,1,3,1
23,True,13,16,18,16
24,True,16,9,11,9
25,True,18,15,17,15
26,True,2,11,13,11
27,True,3,6,8,6
28,True,6,3,5,3
29,True,1,9,11,9
30,True,14,20,22,20
31,True,9,16,18,16
32,True,10,19,21,19
33,True,6,2,4,2
34,True,11,19,21,19
35,True,3,14,16,14
36,True,5,19,21,19
37,True,19,4,6,4
38,True,13,8,10,8
39,True,14,9,11,9
40,True,9,16,18,16
41,True,18,6,8,6
42,True,20,17,19,17
43,True,20,18,20,18
44,True,12,2,4,2
45,True,16,0,2,0
46,True,4,3,5,3
47,True,19,15,17,15
48,True,4,6,8,6
49,True,13,1,3,1
50,True,19,14,16,14
51,True,6,9,11,9
52,True,13,20,22,20
53,True,1,20,22,20
54,True,4,3,5,3
55,True,4,1,3,1
56,True,11,17,19,17
57,True,8,1,3,1
58,True,9,4,6,4
59,True,18,3,5,3
60,True,12,9,11,9
61,True,16,10,12,10
62,True,12,1,3,1
63,True,4,2,4,2
64,True,2,15,17,15
65,True,16,0,2,0
66,True,14,9,11,9
67,True,19,6,8,6
68,True,1,4,6,4
69,True,5,7,9,7
70,True,13,19,21,19
71,True,18,7,9,7
72,True,4,19,21,19
73,True,3,14,16,14
74,True,19,11,13,11
75,True,11,6,8,6
76,True,16,10,12,10
77,True,6,5,7,5
78,True,10,10,12,10
79,True,11,1,3,1
80,True,1,2,4,2
81,True,11,9,11,9
82,True,2,6,8,6
83,True,19,11,13,11
84,True,4,17,19,17
85,True,12,6,8,6
86,True,19,8,10,8
87,True,6,18,20,18
88,True,18,9,11,9
89,True,16,8,10,8
90,True,11,16,18,16
91,True,7,19,21,19
92,True,20,14,16,14
93,True,18,1,3,1
94,True,14,19,21,19
95,True,12,9,11,9
96,True,11,12,14,12
97,True,8,4,6,4
98,True,3,9,11,9
99,True,3,6,8,6
100,True,18,0,2,0
101,True,11,9,11,9
102,True,6,3,5,3
103,True,15,16,18,16
104,True,7,18,20,18
105,True,15,7,9,7
106,True,11,10,12,10
107,True,20,7,9,7
108,True,2,1,3,1
109,True,16,18,20,18
110,True,19,4,6,4
111,True,5,18,20,18
112,True,13,19,21,19
113,True,17,3,5,3
114,True,12,4,6,4
115,True,17,19,21,19
116,True,7,7,9,7
117,True,18,7,9,7
118,True,12,19,21,19
119,True,8,5,7,5
120,True,3,7,9,7
121,True,6,3,5,3
122,True,19,9,11,9
123,True,10,8,10,8
124,True,7,17,19,17
125,True,11,9,11,9
126,True,4,7,9,7
127,True,14,15,17,15
128,True,6,18,20,18
129,True,12,1,3,1
130,True,9,18,20,18
131,True,3,1,3,1
132,True,14,18,20,18
133,True,20,19,21,19
134,True,18,3,5,3
135,True,1,8,10,8
136,True,2,10,12,10
137,True,4,12,14,12
138,True,9,20,22,20
139,True,3,17,19,17
140,True,4,0,2,0
141,True,3,16,18,16
142,True,20,7,9,7
143,True,12,1,3,1
144,True,19,12,14,12
145,True,20,12,14,12
146,True,16,4,6,4
147,True,1,2,4,2
148,True,13,6,8,6
149,True,18,15,17,15
150,True,15,11,13,11
151,True,19,12,14,12
152,True,12,5,7,5
153,True,7,16,18,16
154,True,3,18,20,18
155,True,16,16,18,16
156,True,2,13,15,13
157,True,10,5,7,5
158,True,9,14,16,14
159,True,1,2,4,2
