,G,b,c,p,post,pre,rounds
0,True,8,1,0.41,16,17,16
1,True,18,20,0.73,13,14,13
2,True,12,20,0.74,3,4,3
3,True,5,6,0.36,19,20,19
4,True,18,13,0.9,6,7,6
5,True,2,20,0.15,9,10,9
6,True,18,11,0.94,3,4,3
7,True,1,9,0.21,11,12,11
8,True,19,11,0.23,9,10,9
9,True,5,19,0.12,15,16,15
10,True,13,20,0.57,10,11,10
11,True,3,0,0.39,15,16,15
12,True,6,9,0.65,3,4,3
13,True,15,12,0.27,6,7,6
14,True,4,11,0.87,8,9,8
15,True,12,19,0.54,19,20,19
16,True,6,10,0.07,15,16,15
17,True,13,15,0.41,7,8,7
18,True,10,12,0.5,12,13,12
19,True,19,3,0.24,16,17,16
20,True,18,5,0.53,9,10,9
21,True,17,8,0.74,10,11,10
22,True,2,15,0.21,4,5,4
23,True,3,9,0.79,13,14,13
24,True,18,15,0.2,12,13,12
25,True,7,3,0.5,14,15,14
26,True,1,6,0.18,14,15,14
27,True,9,16,0.56,19,20,19
28,True,9,12,0.63,2,3,2
29,True,17,2,0.56,3,4,3
30,True,11,4,0.69,2,3,2
31,True,4,7,0.2,16,17,16
32,True,16,18,0.78,17,18,17
33,True,2,8,0.08,15,16,15
34,True,19,20,0.9,2,3,2
35,True,12,10,0.06,17,18,17
36,True,1,6,0.87,14,15,14
37,True,20,12,0.24,13,14,13
38,True,15,2,0.55,9,10,9
39,True,3,4,0.64,11,12,11
40,True,20,14,0.44,20,21,20
41,True,16,1,0.84,12,13,12
42,True,10,8,0.41,14,15,14
43,True,13,2,0.86,5,6,5
44,True,8,20,0.57,8,9,8
45,True,12,7,0.89,0,1,0
46,True,1,4,0.3,13,14,13
47,True,18,0,0.66,0,1,0
48,True,20,16,0.66,15,16,15
49,True,17,18,0.85,8,9,8
50,True,15,2,0.53,13,14,13
51,True,16,18,0.76,7,8,7
52,True,10,7,0.88,20,21,20
53,True,19,7,0.94,19,20,19
54,True,18,7,0.39,9,10,9
55,True,14,12,0.68,11,12,11
56,True,18,1,0.43,6,7,6
57,True,3,17,0.88,3,4,3
58,True,11,6,0.25,16,17,16
59,True,9,2,0.56,16,17,16
60,True,11,9,0.34,16,17,16
61,True,9,1,0.51,4,5,4
62,True,1,5,0.65,15,16,15
63,True,19,18,0.71,6,7,6
64,True,10,17,0.83,6,7,6
65,True,3,15,0.06,2,3,2
66,True,4,11,0.07,1,2,1
67,True,14,8,0.33,16,17,16
68,True,14,2,0.84,11,12,11
69,True,17,5,0.74,10,11,10
70,True,11,17,0.06,3,4,3
71,True,2,3,0.36,10,11,10
72,True,8,11,0.79,20,21,20
73,True,5,11,0.77,5,6,5
74,True,3,0,0.26,6,7,6
75,True,1,6,0.27,12,13,12
76,True,9,5,0.34,4,5,4
77,True,10,4,0.17,12,13,12
78,True,17,12,0.38,7,8,7
79,True,12,14,0.76,13,14,13
80,True,2,9,0.26,7,8,7
81,True,15,16,0.08,4,5,4
82,True,1,4,0.12,5,6,5
83,True,11,18,0.59,18,19,18
84,True,16,13,0.57,16,17,16
85,True,2,5,0.63,4,5,4
86,True,20,4,0.77,0,1,0
87,True,2,20,0.94,19,20,19
88,True,10,14,0.88,7,8,7
89,True,15,6,0.79,0,1,0
90,True,1,18,0.68,7,8,7
91,True,13,1,0.78,19,20,19
92,True,13,9,0.37,8,9,8
93,True,5,11,0.66,12,13,12
94,True,19,16,0.31,8,9,8
95,True,19,3,0.39,1,2,1
96,True,13,19,0.47,0,1,0
97,True,7,0,0.22,2,3,2
98,True,15,0,0.53,3,4,3
99,True,11,3,0.65,0,1,0
100,True,17,19,0.89,2,3,2
101,True,17,4,0.75,17,18,17
102,True,18,10,0.07,15,16,15
103,True,13,18,0.21,5,6,5
104,True,1,2,0.25,17,18,17
105,True,12,19,0.44,6,7,6
106,True,4,12,0.92,8,9,8
107,True,14,6,0.35,12,13,12
108,True,17,13,0.29,17,18,17
109,True,8,17,0.59,3,4,3
110,True,17,8,0.73,8,9,8
111,True,11,2,0.38,15,16,15
112,True,11,1,0.11,20,21,20
113,True,7,9,0.54,3,4,3
114,True,12,2,0.44,0,1,0
115,True,20,9,0.87,17,18,17
116,True,15,15,0.71,3,4,3
117,True,8,13,0.09,0,1,0
118,True,15,14,0.87,1,2,1
119,True,5,14,0.1,2,3,2
120,True,14,17,0.48,8,9,8
121,True,8,6,0.22,1,2,1
122,True,3,13,0.44,13,14,13
123,True,4,12,0.52,8,9,8
124,True,10,0,0.49,0,1,0
125,True,15,10,0.83,9,10,9
126,True,15,20,0.26,13,14,13
127,True,14,3,0.83,13,14,13
128,True,10,4,0.16,0,1,0
129,True,20,0,0.36,8,9,8
130,True,3,14,0.09,20,21,20
131,True,8,16,0.81,20,21,20
132,True,17,3,0.3,2,3,2
133,True,20,7,0.72,19,20,19
134,True,12,14,0.06,17,18,17
135,True,11,18,0.13,14,15,14
136,True,8,19,0.84,20,21,20
137,True,2,14,0.31,14,15,14
138,True,4,13,0.67,5,6,5
139,True,15,12,0.73,0,1,0
140,True,8,9,0.63,15,16,15
141,True,6,4,0.5,2,3,2
142,True,18,1,0.33,12,13,12
143,True,18,3,0.93,11,12,11
144,True,17,15,0.25,2,3,2
145,True,3,6,0.77,17,18,17
146,True,11,0,0.79,12,13,12
147,True,20,6,0.83,4,5,4
148,True,20,8,0.19,19,20,19
149,True,18,9,0.31,14,15,14
150,True,4,15,0.33,9,10,9
151,True,5,7,0.64,0,1,0
152,True,7,15,0.34,10,11,10
153,True,11,20,0.75,13,14,13
154,True,19,1,0.51,17,18,17
155,True,12,3,0.91,18,19,18
156,True,11,0,0.29,7,8,7
157,True,13,17,0.18,7,8,7
158,True,11,2,0.55,18,19,18
159,True,10,12,0.21,19,20,19
160,True,3,18,0.86,10,11,10
161,True,17,15,0.2,10,11,10
162,True,20,9,0.08,17,18,17
163,True,16,19,0.5,11,12,11
164,True,10,4,0.36,9,10,9
165,True,16,7,0.53,17,18,17
166,True,12,15,0.31,17,18,17
167,True,9,7,0.31,16,17,16
168,True,11,10,0.63,3,4,3
169,True,1,19,0.32,18,19,18
170,True,3,0,0.41,2,3,2
171,True,3,13,0.7,6,7,6
172,True,14,2,0.31,1,2,1
173,True,8,10,0.42,4,5,4
