,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(flip1*flip1),(flip1*flip2),(flip1+flip2),(flip1-flip2),(flip2*flip2),(flip2-flip1),(p1*p2),(p1+p2),(x*x),expected_post,flip1,flip2,p1,p2,post-init,x
0,0.86,1.2,1.83,0.8,0.17,0,0,0,0,0,0,0.17,1.03,169,14.164,0,0,0.2,0.83,1.1639999999999997,13
1,0.94,1.82,1.69,0.18,0.31,0,0,0,0,0,0,0.57,1.51,256,25.666,0,0,0.82,0.69,9.666,16
2,0.82,1.54,1.6,0.46,0.4,0,0,0,0,0,0,0.32,1.14,400,21.988,0,0,0.54,0.6,1.9879999999999995,20
3,0.56,1.27,1.4,0.73,0.6,0,0,0,0,0,0,0.11,0.67,196,14.324,0,0,0.27,0.4,0.32399999999999984,14
4,0.85,1.83,1.11,0.17,0.89,0,0,0,0,0,0,0.09,0.94,1,1.682,0,0,0.83,0.11,0.6819999999999999,1
5,0.56,1.37,1.3,0.63,0.7,0,0,1,-1,1,1,0.11,0.67,324,18.076,0,1,0.37,0.3,0.07600000000000051,18
6,0.6,1.36,1.37,0.64,0.63,0,0,0,0,0,0,0.13,0.73,9,3.342,0,0,0.36,0.37,0.3420000000000001,3
7,0.3,1.21,1.12,0.79,0.88,0,0,0,0,0,0,0.03,0.33,256,16.044,0,0,0.21,0.12,0.04400000000000048,16
8,0.92,1.37,1.87,0.63,0.13,0,0,0,0,0,0,0.32,1.24,324,22.73,0,0,0.37,0.87,4.73,18
9,0.65,1.62,1.08,0.38,0.92,0,0,1,-1,1,1,0.05,0.7,0,0.084,0,1,0.62,0.08,0.084,0
10,0.65,1.4,1.41,0.6,0.59,0,0,1,-1,1,1,0.16,0.81,81,9.234,0,1,0.4,0.41,0.23399999999999999,9
11,0.97,1.73,1.89,0.27,0.11,0,0,1,-1,1,1,0.65,1.62,289,32.174,0,1,0.73,0.89,15.174,17
12,0.67,1.2,1.59,0.8,0.41,0,0,1,-1,1,1,0.12,0.79,4,2.092,0,1,0.2,0.59,0.09200000000000008,2
13,0.9,1.55,1.77,0.45,0.23,0,0,0,0,0,0,0.42,1.32,100,13.762,0,0,0.55,0.77,3.7620000000000005,10
14,0.56,1.36,1.31,0.64,0.69,0,0,0,0,0,0,0.11,0.67,400,20.248,0,0,0.36,0.31,0.2480000000000011,20
15,0.8,1.38,1.67,0.62,0.33,0,0,1,-1,1,1,0.25,1.05,9,3.426,0,1,0.38,0.67,0.42600000000000016,3
16,0.8,1.65,1.43,0.35,0.57,0,0,1,-1,1,1,0.28,1.08,16,4.994,0,1,0.65,0.43,0.9939999999999998,4
