,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(p1*p2),(p1+p2),(x*x),[x==1],expected_post,p1,p2,post-init,x
0,0.98,1.7,1.93,0.3,0.07,0.65,1.63,0,0,0.07,0.7,0.93,0.07,0
1,0.49,1.36,1.21,0.64,0.79,0.08,0.57,0,0,0.77,0.36,0.21,0.77,0
2,0.94,1.67,1.81,0.33,0.19,0.54,1.48,0,0,0.202,0.67,0.81,0.202,0
3,0.78,1.58,1.47,0.42,0.53,0.27,1.05,0,0,0.506,0.58,0.47,0.506,0
4,0.78,1.17,1.73,0.83,0.27,0.12,0.9,0,0,0.276,0.17,0.73,0.276,0
5,0.96,1.88,1.66,0.12,0.34,0.58,1.54,0,0,0.348,0.88,0.66,0.348,0
6,0.71,1.22,1.63,0.78,0.37,0.14,0.85,0,0,0.36,0.22,0.63,0.36,0
7,0.97,1.83,1.8,0.17,0.2,0.66,1.63,0,0,0.18,0.83,0.8,0.18,0
8,0.39,1.25,1.19,0.75,0.81,0.05,0.44,0,0,0.822,0.25,0.19,0.822,0
9,0.87,1.21,1.84,0.79,0.16,0.18,1.05,0,0,0.15,0.21,0.84,0.15,0
10,0.85,1.78,1.32,0.22,0.68,0.25,1.1,0,0,0.672,0.78,0.32,0.672,0
11,0.81,1.61,1.51,0.39,0.49,0.31,1.12,0,0,0.478,0.61,0.51,0.478,0
12,0.98,1.81,1.88,0.19,0.12,0.71,1.69,0,0,0.126,0.81,0.88,0.126,0
13,0.91,1.89,1.17,0.11,0.83,0.15,1.06,0,0,0.802,0.89,0.17,0.802,0
14,0.89,1.59,1.72,0.41,0.28,0.42,1.31,0,0,0.266,0.59,0.72,0.266,0
15,0.71,1.43,1.49,0.57,0.51,0.21,0.92,0,0,0.528,0.43,0.49,0.528,0
16,0.95,1.7,1.83,0.3,0.17,0.58,1.53,0,0,0.126,0.7,0.83,0.126,0
17,0.77,1.46,1.57,0.54,0.43,0.26,1.03,0,0,0.428,0.46,0.57,0.428,0
18,0.92,1.88,1.32,0.12,0.68,0.28,1.2,0,0,0.686,0.88,0.32,0.686,0
19,0.34,1.26,1.11,0.74,0.89,0.03,0.37,0,0,0.862,0.26,0.11,0.862,0
20,0.36,1.16,1.24,0.84,0.76,0.04,0.4,0,0,0.742,0.16,0.24,0.742,0
21,0.59,1.26,1.44,0.74,0.56,0.11,0.7,0,0,0.538,0.26,0.44,0.538,0
22,0.76,1.31,1.65,0.69,0.35,0.2,0.96,0,0,0.298,0.31,0.65,0.298,0
23,0.96,1.64,1.9,0.36,0.1,0.58,1.54,0,0,0.094,0.64,0.9,0.094,0
24,0.32,1.21,1.14,0.79,0.86,0.03,0.35,0,0,0.856,0.21,0.14,0.856,0
25,0.89,1.59,1.73,0.41,0.27,0.43,1.32,0,0,0.248,0.59,0.73,0.248,0
26,0.82,1.49,1.65,0.51,0.35,0.32,1.14,0,0,0.376,0.49,0.65,0.376,0
27,0.84,1.74,1.38,0.26,0.62,0.28,1.12,0,0,0.644,0.74,0.38,0.644,0
