,G,n,p,post,pre,x
0,True,5,0.39,10,14.875,10
1,True,4,0.19,6,7.52,6
2,True,18,0.76,5,128.12,5
3,True,9,0.28,20,31.340000000000003,20
4,True,13,0.14,9,20.830000000000002,9
5,True,9,0.71,0,28.755,0
6,True,17,0.3,8,51.349999999999994,8
7,True,14,0.07,9,15.86,9
8,True,19,0.29,7,59.345,7
9,True,10,0.83,4,45.49999999999999,4
10,True,5,0.06,15,15.75,15
11,True,6,0.65,8,19.700000000000003,8
12,True,2,0.18,3,3.36,3
13,True,9,0.37,7,21.985,7
14,True,15,0.44,19,68.5,19
15,True,20,0.69,10,148.0,10
16,True,14,0.41,3,43.17999999999999,3
17,True,15,0.08,1,10.0,1
18,True,4,0.14,16,17.12,16
19,True,6,0.51,3,12.18,3
20,True,6,0.26,0,4.68,0
21,True,11,0.39,10,33.595,10
22,True,14,0.37,0,36.26,0
23,True,15,0.49,17,72.125,17
24,True,10,0.27,14,27.5,14
25,True,11,0.84,3,53.82,3
26,True,10,0.38,17,36.0,17
27,True,8,0.95,1,31.4,1
28,True,7,0.34,19,27.330000000000002,19
29,True,9,0.49,5,24.845,5
30,True,14,0.35,13,47.3,13
31,True,19,0.9,2,164.45000000000002,2
32,True,9,0.48,2,21.44,2
33,True,4,0.31,15,17.48,15
34,True,8,0.64,14,34.480000000000004,14
35,True,7,0.9,5,27.05,5
36,True,10,0.75,6,43.5,6
37,True,5,0.79,9,18.875,9
38,True,14,0.43,4,46.14,4
39,True,15,0.1,12,23.25,12
40,True,1,0.19,17,17.095,17
41,True,19,0.72,14,143.96,14
42,True,1,0.08,12,12.04,12
43,True,1,0.5,7,7.25,7
44,True,14,0.68,16,82.64000000000001,16
45,True,15,0.35,10,49.375,10
46,True,14,0.45,1,45.1,1
47,True,16,0.84,1,108.52,1
48,True,8,0.91,3,32.120000000000005,3
49,True,13,0.68,3,60.46,3
50,True,2,0.57,2,3.1399999999999997,2
51,True,8,0.82,8,34.239999999999995,8
52,True,19,0.89,15,175.645,15
53,True,20,0.91,6,188.0,6
54,True,16,0.34,7,50.52,7
55,True,8,0.22,17,24.04,17
56,True,19,0.2,0,36.1,0
57,True,11,0.66,12,51.93000000000001,12
58,True,1,0.78,20,20.39,20
59,True,4,0.28,7,9.24,7
60,True,7,0.41,18,28.044999999999998,18
61,True,3,0.14,20,20.63,20
62,True,17,0.41,4,63.245,4
63,True,4,0.95,12,19.6,12
64,True,12,0.93,18,84.96000000000001,18
65,True,16,0.41,17,69.47999999999999,17
66,True,18,0.41,17,83.42,17
67,True,1,0.67,19,19.335,19
68,True,17,0.72,4,108.04,4
69,True,20,0.54,13,121.0,13
70,True,9,0.65,15,41.325,15
71,True,7,0.94,2,25.03,2
72,True,16,0.27,9,43.56,9
73,True,6,0.07,1,2.2600000000000002,1
74,True,9,0.68,2,29.54,2
75,True,15,0.68,6,82.50000000000001,6
76,True,18,0.48,9,86.76,9
77,True,16,0.52,11,77.56,11
78,True,12,0.53,2,40.160000000000004,2
79,True,5,0.64,7,15.0,7
80,True,15,0.68,16,92.50000000000001,16
81,True,20,0.63,13,139.0,13
82,True,5,0.58,2,9.25,2
83,True,15,0.8,8,98.0,8
84,True,13,0.41,9,43.645,9
85,True,17,0.83,13,132.935,13
86,True,9,0.89,3,39.045,3
87,True,12,0.48,6,40.56,6
88,True,16,0.38,20,68.64,20
89,True,6,0.34,15,21.12,15
90,True,11,0.69,9,50.745,9
91,True,16,0.95,2,123.6,2
92,True,16,0.71,4,94.88,4
93,True,14,0.43,14,56.14,14
94,True,16,0.33,9,51.24,9
95,True,10,0.17,19,27.5,19
96,True,11,0.43,1,27.014999999999997,1
97,True,16,0.09,11,22.52,11
98,True,17,0.46,12,78.47,12
99,True,16,0.91,14,130.48000000000002,14
100,True,18,0.46,0,74.52000000000001,0
101,True,4,0.14,16,17.12,16
102,True,4,0.64,15,20.12,15
103,True,8,0.43,9,22.759999999999998,9
104,True,5,0.54,12,18.75,12
105,True,13,0.05,10,14.225000000000001,10
106,True,2,0.56,1,2.12,1
107,True,2,0.06,8,8.12,8
108,True,2,0.16,14,14.32,14
109,True,11,0.22,20,33.31,20
110,True,15,0.43,17,65.375,17
111,True,9,0.24,13,22.72,13
112,True,5,0.24,18,21.0,18
113,True,19,0.16,16,44.879999999999995,16
114,True,12,0.38,3,30.360000000000003,3
115,True,18,0.41,8,74.42,8
116,True,15,0.8,1,91.0,1
117,True,6,0.57,5,15.26,5
118,True,2,0.33,7,7.66,7
119,True,10,0.7,8,43.0,8
120,True,16,0.69,7,95.32,7
121,True,4,0.36,12,14.879999999999999,12
122,True,17,0.2,7,35.900000000000006,7
123,True,13,0.38,15,47.11,15
124,True,18,0.36,8,66.32,8
125,True,15,0.35,17,56.375,17
126,True,13,0.64,2,56.08,2
127,True,15,0.07,11,18.875,11
