,generated_inv,post,sampling_time,learning_time,verifying_time,total_time
Geo0,z + [flip == 0] * ((1-p1))**(1) * (p1)**(-1)*1,z,12.005661010742188,0.8536841869354248,2.6468892097473145,15.506457805633545
Geo1,z + [flip == 0] * ((1-p1))**(1) * (p1)**(-1)*1,z,20.302597999572754,5.202347755432129,3.572932243347168,29.093879222869873
Geo2,z + [flip == 0] * ((1-p1))**(1) * (p1)**(-1)*1,z,10.7829430103302,2.168174982070923,0.12107515335083008,13.072295904159546
Mart,rounds + [b > 0] * (p)**(-1)*1,rounds,24.095565795898438,3.8271477222442627,0.05226016044616699,27.975109815597534
Fair,count + [ c1 + c2 == 0] * ((p1+p2))**(1) * (((p1+p2)-p1*p2))**(-1)*1,count,5.781710147857666,1.6160621643066406,0.29566287994384766,7.693524122238159
BiasDir,x + [x == y] * (-0.20000000298023224)*(x*x) + (-0.20000000298023224)*(y*y) + (-0.20000000298023224)*(x*y) + (-0.20000000298023224)*x + (-0.20000000298023224)*y+0.5,x,23.97229528427124,0.335252046585083,0.25121283531188965,24.558850049972534
Prinsys,[x==1] * 1 + [x == 0] * (-1)*p2+1,[x==1] * 1,1.597038984298706,0.1707770824432373,1.2517139911651611,3.019623279571533
RevBin,z + [x > 0] * (p)**(-1) * (x)**(1)*1,z,234.64141988754272,3.1300840377807617,0.1439039707183838,237.91626811027527
Detm,count + [x <= 10] * (-1)*x+11,count,0.09457612037658691,0.7179110050201416,0.06020689010620117,0.8727929592132568
Bin0,x + [n > 0] * [y == 0.000 ]*(1*0)+[y != 0.000 ]*((p)**(1) * (n)**(1) * (y)**(1)*1),x,72.79516792297363,5.094233751296997,1.1474182605743408,79.03705215454102
Bin1,x + [n < M] * (1)*(M*p) + (-1)*(n*p)+0,x,25.66661810874939,12.029714822769165,0.21848392486572266,37.91498112678528
Bin2,x + [n > 0] * (0.5)*(n*p*n) + (-1.0)*(n*p*y) + (1.0)*(n*y) + (0.5)*n*p+-0.0,x,128.45769381523132,81.248455286026,40.8793671131134,250.5905749797821
Sum0,x + [n > 0] * (0.5)*((p*n)*n) + (0.5)*(p*n)+0.0,x,102.12352895736694,34.61868381500244,26.73709487915039,163.4800078868866
Gambler0,z + [(x > 0) & (y > x)] * ((y-x))**(1) * (x)**(1)*1,z,112.01935482025146,3.5187551975250244,9.973703861236572,125.512051820755
GeoAr0,x + [z != 0] * ((1+p))**(-3) * ((1-p))**(2) * ((1+(1/p)))**(25) * ((1-(1/p)))**(1) * ((p+(1/p)))**(-14) * (((p+(1/p))-p*(1/p)))**(10) * (p)**(-7) * ((1/p))**(-25)*100000000,x,11.561724185943604,3.1304008960723877,9.96492075920105,24.657310962677002
