,generated_subinv,pre,post,sampling_time,learning_time,verifying_time,total_time
Geo0_0,z + [flip == 0] * 0,z,z,8.076075792312622,12.01148009300232,3.6246259212493896,23.712849855422974
Geo0_1,z + [flip == 0] *  (-1.000000*p1 + 1.000000*1),[flip == 0]*(1 - p1),z,8.697559118270874,26.12563419342041,0.19476079940795898,35.018105030059814
Geo0_2,z + [flip == 0] *  (-1.000000*p1 + 1.000000*1),z + [flip == 0]*(1 - p1),z,8.694854021072388,28.043672800064087,0.0978238582611084,36.836535930633545
Geo1_0,z + [flip == 0] * 0,z,z,8.799662113189697,13.655359029769897,0.025886058807373047,22.48101806640625
Geo2_0,z + [flip == 0] * 0,z,z,8.194464206695557,14.486403942108154,0.046684980392456055,22.72769570350647
Mart_0,rounds + [b > 0] * 0,rounds,rounds,16.612977981567383,21.318031787872314,0.15625405311584473,38.0880241394043
Mart_1,rounds + [b > 0] *  (1.000000*1),rounds + [b > 0] * 1,rounds,17.677144050598145,31.48716902732849,0.11021590232849121,49.274943828582764
Fair_0,count + [ c1 + c2 == 0] * 0,count,count,6.714115142822266,11.7290940284729,0.4026029109954834,18.8460431098938
Fair_1,count + [ c1 + c2 == 0] *  (1.000000*p1 + 1.000000*p2),count + [c1 + c2 == 0] * (p1 + p2),count,8.735015869140625,25.84067392349243,0.27412986755371094,34.850059032440186
BiasDir_0,x + [x == y] *  (0.100000*p + -0.500000*x + -0.500000*y + 0.100000*1),[x != y] * x,x,13.754672288894653,22.468115091323853,3.6735801696777344,39.89700102806091
BiasDir_1,x + [x == y] *  (-0.500000*x + -0.500000*y + 0.500000*1),[x == y] * 0.5,x,12.326221227645874,27.118243932724,0.10164284706115723,39.546250104904175
Prinsys_0,[x==1] * 1 + [x == 0] * 0,[x==1] * 1,[x==1] * 1,1.1073222160339355,5.8518829345703125,0.3323967456817627,7.291747808456421
RevBin_0,z + [x > 0] *  (p^-1.000000*x^1.000000*1),[x > 0] * (x) + z,z,18.176231861114502,71.15707516670227,2.173860788345337,91.55071091651917
RevBin_1,z + [x > 0] * 0,z,z,15.62316107749939,18.74743914604187,0.056437015533447266,34.42974400520325
Detm_0,count + [x <= 10] * 0,count,count,5.994940757751465,10.313817024230957,0.039286136627197266,16.34852910041809
Detm_1,count + [x <= 10] *  (1.000000*1),count + [x <= 10]*(1),count,3.954288959503174,17.671672105789185,0.03415274620056152,21.660267114639282
Bin0_0,"x + [n > 0] * We are not able to verify an (sub)invariant. 
 We have learned the         following candidates for (sub)invariant: 
 (4.000000*p + 4.000000*n + 3.000000*x + 4.000000*y + 3.000000*1)
 (3.700000*p + 3.600000*n + 3.300000*x + 3.600000*y + 3.300000*1)
 (3.680000*p + 3.610000*n + 3.310000*x + 3.590000*y + 3.290000*1)
 (p^1.000000*n^1.000000*y^1.000000*2)
 (4.000000*p + 4.000000*n + 2.000000*x + 4.000000*y + 3.000000*1)
 (4.000000*p + 4.200000*n + 2.300000*x + 3.700000*y + 3.400000*1)
 (4.020000*p + 4.220000*n + 2.250000*x + 3.700000*y + 3.410000*1)
 (p^2.000000*n^1.000000*y^1.000000*2)
 (4.000000*p + 4.000000*n + 1.000000*x + 4.000000*y + 3.000000*1)
 (4.200000*p + 4.400000*n + 1.200000*x + 3.800000*y + 3.500000*1)
 (4.160000*p + 4.410000*n + 1.170000*x + 3.810000*y + 3.470000*1)
 (4.000000*p + 5.000000*n + 4.000000*y + 4.000000*1)
 (4.200000*p + 4.500000*n + 0.400000*x + 3.900000*y + 3.500000*1)
 (4.240000*p + 4.510000*n + 0.370000*x + 3.860000*y + 3.520000*1)
 (1)",(n > 0) * (p * n * y) +  x,x,27.90152096748352,239.15664553642273,9.726053953170776,276.91232109069824
Bin0_1,x + [n > 0] * 0,x,x,16.685330152511597,21.471946001052856,0.43563103675842285,38.59433603286743
Bin1_0,x + [n < M] * 0,x,x,8.54929494857788,17.864720821380615,0.10049200057983398,26.515511989593506
Bin1_1,"x + [n < M] * We are not able to verify an (sub)invariant. 
 We have learned the         following candidates for (sub)invariant: 
 (1.000000*p + -1.000000*n + 1.000000*M)
 (1.000000*p + -0.100000*x + -0.600000*n + 0.800000*M + 0.300000*1)
 (0.960000*p + -0.140000*x + -0.560000*n + 0.830000*M + 0.280000*1)
 (p^1.000000*M^1.000000*1)
 (2.000000*p + -1.000000*n + 1.000000*M)
 (1.700000*p + -0.100000*x + -1.100000*n + 1.000000*M)
 (1.720000*p + -0.090000*x + -1.080000*n + 1.040000*M + -0.030000*1)
 (p^1.000000*M^1.000000*2)
 (1.000000*p + -1.000000*n + 1.000000*M + -1.000000*1)
 (0.700000*p + -1.000000*n + 1.000000*M + -0.600000*1)
 (0.670000*p + -1.040000*n + 1.020000*M + -0.570000*1)
 (1)
 (0.900000*p + -1.000000*n + 1.100000*M + -1.200000*1)
 (0.880000*p + 0.030000*x + -1.040000*n + 1.060000*M + -1.250000*1)
 (1.100000*p + -1.000000*n + 1.000000*M + -1.000000*1)
 (1.120000*p + -0.010000*x + -1.040000*n + 1.040000*M + -1.030000*1)",x + [n < M] * (-p*n + p*M),x,15.724690675735474,234.42534065246582,6.611560821533203,256.8177499771118
Bin2_0,x + [n > 0] * 0,x,x,16.712584972381592,21.636993169784546,0.7811048030853271,39.132694244384766
Bin2_1,"x + [n > 0] * We are not able to verify an (sub)invariant. 
 We have learned the         following candidates for (sub)invariant: 
 (3.000000*p + 4.000000*n + 3.000000*x + 4.000000*y + 3.000000*1)
 (2.900000*p + 3.700000*n + 3.200000*x + 3.700000*y + 3.400000*1)
 (2.880000*p + 3.720000*n + 3.190000*x + 3.690000*y + 3.380000*1)
 (n^1.000000*y^1.000000*1)
 (1.000000*p + 4.000000*n + 2.000000*x + 4.000000*y + 4.000000*1)
 (1.500000*p + 4.200000*n + 1.700000*x + 3.800000*y + 3.500000*1)
 (1.490000*p + 4.200000*n + 1.680000*x + 3.810000*y + 3.500000*1)
 (p^-1.000000*n^1.000000*y^1.000000*2)
 (4.000000*n + 4.000000*y + 4.000000*1)
 (0.100000*p + 4.400000*n + 3.900000*y + 3.500000*1)
 (0.090000*p + 4.420000*n + 0.010000*x + 3.870000*y + 3.550000*1)
 (p^-1.000000*n^1.000000*1)
 (-1.000000*p + 5.000000*n + 4.000000*y + 4.000000*1)
 (-1.100000*p + 4.500000*n + -0.400000*x + 4.100000*y + 3.600000*1)
 (-1.060000*p + 4.550000*n + -0.350000*x + 4.060000*y + 3.570000*1)
 (p^-1.000000*n^2.000000*y^1.000000*2)",x + (n > 0) * (1-p) *n*y,x,27.921778678894043,250.66952323913574,13.431164979934692,292.16480803489685
Sum0_0,"x + [n > 0] * We are not able to verify an (sub)invariant. 
 We have learned the         following candidates for (sub)invariant: 
 (3.000000*p + 3.000000*(p*n) + 3.000000*n + 2.000000*x + 2.000000*1)
 (2.800000*p + 3.500000*(p*n) + 3.100000*n + 2.300000*x + 2.500000*1)
 (2.840000*p + 3.460000*(p*n) + 3.140000*n + 2.320000*x + 2.480000*1)
 ((p*n)^1.000000*n^1.000000*1)
 (3.000000*p + 4.000000*(p*n) + 4.000000*n + 1.000000*x + 3.000000*1)
 (3.300000*p + 4.400000*(p*n) + 4.000000*n + 1.400000*x + 2.800000*1)
 (3.280000*p + 4.360000*(p*n) + 3.970000*n + 1.370000*x + 2.810000*1)
 (p^1.000000*(p*n)^1.000000*n^1.000000*2)
 (3.000000*p + 5.000000*(p*n) + 4.000000*n + 3.000000*1)
 (3.300000*p + 4.600000*(p*n) + 4.200000*n + -0.100000*x + 2.800000*1)
 (3.260000*p + 4.550000*(p*n) + 4.200000*n + -0.050000*x + 2.830000*1)
 (3.000000*p + 5.000000*(p*n) + 4.000000*n + 1.000000*x + 3.000000*1)
 (3.100000*p + 4.600000*(p*n) + 4.300000*n + 0.500000*x + 2.700000*1)
 (3.080000*p + 4.610000*(p*n) + 4.290000*n + 0.510000*x + 2.710000*1)",x + [n > 0]*(p*n*n/2),x,27.101126194000244,239.25396132469177,8.814823865890503,275.3265058994293
Sum0_0,x + [n > 0] *  (1.000000*(p*n)),x + [n > 0]*(p*n/2),x,19.595048427581787,76.7086250782013,5.944891929626465,102.28668522834778
Gambler0_0,z + [(x > 0) & (y > x)] * 0,z,z,6.986937999725342,12.559538125991821,0.43372106552124023,19.981269121170044
Gambler0_1,z + [(x > 0) & (y > x)] *  (x^1.000000*(y-x)^1.000000*1),x * (y-x),z,7.312320947647095,28.866435050964355,8.285165071487427,44.46449112892151
GeoAr0_0,"x + [z != 0] * We are not able to verify an (sub)invariant. 
 We have learned the         following candidates for (sub)invariant: 
 (-3.000000*p + 2.000000*x + 1.000000*y)
 (-3.000000*p + 2.000000*x + 1.400000*y + 0.100000*z + 0.100000*1)
 (-3.010000*p + 2.000000*x + 1.450000*y + 0.110000*z + 0.110000*1)
 (p^-2.000000*1)
 (-3.000000*p + 1.000000*y + 1.000000*z + 1.000000*1)
 (-3.400000*p + 0.100000*x + 0.900000*y + 1.100000*z + 1.100000*1)
 (-3.360000*p + 0.110000*x + 0.880000*y + 1.140000*z + 1.140000*1)
 (-3.000000*p + 1.000000*y + 2.000000*z + 2.000000*1)
 (-3.500000*p + -0.200000*x + 0.500000*y + 2.400000*z + 2.400000*1)
 (-3.490000*p + -0.160000*x + 0.510000*y + 2.400000*z + 2.400000*1)
 (-4.000000*p + 2.000000*z + 2.000000*1)
 (-3.500000*p + -0.100000*x + 0.400000*y + 1.800000*z + 1.800000*1)
 (-3.540000*p + -0.060000*x + 0.400000*y + 1.810000*z + 1.810000*1)
 (-3.000000*p + 2.000000*z + 2.000000*1)
 (-3.200000*p + 0.300000*y + 1.600000*z + 1.600000*1)
 (-3.170000*p + -0.040000*x + 0.300000*y + 1.580000*z + 1.580000*1)",x + [z != 0]*(y*(1-p)/p),x,15.804859161376953,263.44184494018555,8.800259828567505,288.17145705223083
GeoAr0_1,x + [z != 0] * 0,x,x,8.514217138290405,40.97903609275818,0.3858957290649414,49.88605523109436
DepRV_0,"x*y + [n > 0] * We are not able to verify an (sub)invariant. 
 We have learned the         following candidates for (sub)invariant: 
 (3.000000*n + 2.000000*x + 2.000000*y + 3.000000*1)
 (3.200000*n + 2.400000*x + 2.400000*y + 2.700000*1)
 (3.240000*n + 2.370000*x + 2.430000*y + 2.690000*1)
 (n^1.000000*2)
 (4.000000*n + 1.000000*x + 1.000000*y + 3.000000*1)
 (4.100000*n + 1.500000*x + 1.400000*y + 3.200000*1)
 (4.090000*n + 1.490000*x + 1.400000*y + 3.200000*1)
 (4.400000*n + 0.800000*x + 0.600000*y + 3.400000*1)
 (4.360000*n + 0.780000*x + 0.570000*y + 3.440000*1)
 (n^1.000000*1)
 (4.000000*n + 4.000000*1)
 (4.500000*n + 0.400000*x + 0.100000*y + 3.600000*1)
 (4.490000*n + 0.350000*x + 0.070000*y + 3.590000*1)",x*y + (n>0)*(1/4*(n*n)),x*y,27.51817011833191,245.0715789794922,7.035658359527588,279.7534680366516
DepRV_1,x*y + [n > 0] * 0,x*y,x*y,16.075510025024414,17.040232181549072,0.16763615608215332,33.283926010131836
LinExp_0,z + [n > 0] *  (n^1.000000*2),z + [n>0]*2*n,z,29.18481206893921,28.60752820968628,0.6845638751983643,58.47717809677124
LinExp_1,z + [n > 0] *  (1.000000*n + 1.000000*1),z + [n>0]*2,z,53.71637678146362,30.913997888565063,0.34731411933898926,84.98041296005249
Duel_0,"t + [c == 1] * We are not able to verify an (sub)invariant. 
 We have learned the         following candidates for (sub)invariant: 
 (-1.000000*p2 + -1.000000*t)
 (0.400000*p1 + -0.900000*p2 + 0.300000*c + -0.800000*t + 0.300000*1)
 (0.390000*p1 + -0.880000*p2 + 0.300000*c + -0.830000*t + 0.300000*1)
 (p1^1.000000*p2^1.000000*0)
 (0.100000*p1 + -1.000000*p2 + 0.400000*c + -0.900000*t + 0.400000*1)
 (0.080000*p1 + -0.970000*p2 + 0.420000*c + -0.940000*t + 0.420000*1)
 (0.100000*p1 + -1.000000*p2 + 0.500000*c + -1.000000*t + 0.500000*1)
 (0.080000*p1 + -1.030000*p2 + 0.470000*c + -0.960000*t + 0.470000*1)
 (p1^2.000000*p2^1.000000*0)
 (-1.000000*p2 + 1.000000*c + -1.000000*t + 1.000000*1)
 (0.050000*p1 + -1.030000*p2 + 0.500000*c + -0.990000*t + 0.500000*1)
 (0.080000*p1 + -1.030000*p2 + 0.470000*c + -0.980000*t + 0.470000*1)",1 + c*(-p2/(p1 + p2 - p1 * p2)),t,17.227454900741577,268.32423734664917,15.967368364334106,301.7610409259796
